seed,mode,mean_mse,max_mse,route_accuracy,mean_active_cells,total_cells,execution_fraction_vs_dense,single_cell_baseline_mse,wrong_semantics_baseline_mse,dense_all_cells_baseline_mse
90611,simultaneous,1.7322415145442089e-06,2.8769650568026607e-06,1.0,2.875,12,0.23958333333333334,0.09085466616474748,0.007125355431928835,0.4446586649988417
90611,sequential,2.1079464744332404e-06,3.589928218842733e-06,1.0,3.046875,12,0.25390625,0.11206078504222818,0.008618881661982448,0.6774594141889498
90612,simultaneous,1.7014887692063721e-06,2.954148594436103e-06,1.0,3.0,12,0.25,0.09316636447027782,0.00751387832407346,0.39065510964241834
90612,sequential,1.8981215067896526e-06,3.2714281069699123e-06,1.0,3.0,12,0.25,0.10047720467699575,0.006884667386456387,0.6313189441274107
90613,simultaneous,1.7726997278019506e-06,3.095241279454171e-06,1.0,2.890625,12,0.24088541666666666,0.09072740667702515,0.007022267251203213,0.39213375148823404
90613,sequential,1.9976491639274662e-06,3.3804065813619002e-06,1.0,3.0625,12,0.2552083333333333,0.10068047587844832,0.007522659269234651,0.48377765042913967
