seed,target_cell,certificate_rank,learner_replay_accesses,learner_raw_history_retained,safe_fit_error,unsafe_fit_error,safe_reported_relative_fit_error,safe_protected_change,unsafe_protected_change,safe_historical_composition_mse,unsafe_historical_composition_mse,unrelated_cell_parameter_drift,route_key_drift
90611,3,6,0,0,2.393893260323764e-31,1.3866454670706477e-31,1.013037990571054e-30,5.510933987778413e-17,0.1742343730451825,3.24990647230219e-32,0.11269936675661962,0.0,0.0
90612,5,6,0,0,1.6676308907846292e-31,2.0059876924465982e-31,5.283856848777034e-31,5.2494903943136565e-17,0.1709467309667484,5.140828627596137e-32,0.07512041755826097,0.0,0.0
90613,7,6,0,0,1.065716343992215e-31,9.393663745368301e-32,3.9040885450627345e-31,1.0454380862525422e-16,0.21005715947631967,5.07723281589085e-32,0.10208055278295897,0.0,0.0
