replicate,condition,arm,family,branch,nll,parent_nll,utility
0,STORY_ONLY,parent,STORY,0,5.475803226232529,5.47608345746994,0.0002802312374114
0,STORY_ONLY,parent,ARITHMETIC,0,7.753108501434326,7.76528537273407,0.0121768712997436
0,STORY_ONLY,capacity-shadow,STORY,0,5.475863605737686,5.47608345746994,0.000219851732254
0,STORY_ONLY,capacity-shadow,STORY,1,5.4759432673454285,5.47608345746994,0.0001401901245117
0,STORY_ONLY,capacity-shadow,ARITHMETIC,0,7.760175913572311,7.76528537273407,0.0051094591617584
0,STORY_ONLY,capacity-shadow,ARITHMETIC,1,7.749143749475479,7.76528537273407,0.0161416232585906
0,STORY_ONLY,geometry-shadow,STORY,0,5.476118683815002,5.47608345746994,-3.522634506225586e-05
0,STORY_ONLY,geometry-shadow,STORY,1,5.476198196411133,5.47608345746994,-0.0001147389411926
0,STORY_ONLY,geometry-shadow,ARITHMETIC,0,7.770291209220886,7.76528537273407,-0.0050058364868164
0,STORY_ONLY,geometry-shadow,ARITHMETIC,1,7.737487763166428,7.76528537273407,0.0277976095676422
0,DUPLICATED_STORY,parent,STORY,0,5.475645899772644,5.47608345746994,0.0004375576972961
0,DUPLICATED_STORY,parent,ARITHMETIC,0,7.756668537855148,7.76528537273407,0.0086168348789215
0,DUPLICATED_STORY,capacity-shadow,STORY,0,5.475853472948074,5.47608345746994,0.0002299845218658
0,DUPLICATED_STORY,capacity-shadow,STORY,1,5.475875496864319,5.47608345746994,0.0002079606056213
0,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,0,7.758037120103836,7.76528537273407,0.0072482526302337
0,DUPLICATED_STORY,capacity-shadow,ARITHMETIC,1,7.75088506937027,7.76528537273407,0.0144003033638
0,DUPLICATED_STORY,geometry-shadow,STORY,0,5.476085662841797,5.47608345746994,-2.205371856689453e-06
0,DUPLICATED_STORY,geometry-shadow,STORY,1,5.476006805896759,5.47608345746994,7.665157318115234e-05
0,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,0,7.772360563278198,7.76528537273407,-0.0070751905441284
0,DUPLICATED_STORY,geometry-shadow,ARITHMETIC,1,7.740149796009064,7.76528537273407,0.0251355767250061
0,STORY_ARITHMETIC,parent,STORY,0,5.744787275791168,5.47608345746994,-0.268703818321228
0,STORY_ARITHMETIC,parent,ARITHMETIC,0,6.923494130373001,7.76528537273407,0.8417912423610687
0,STORY_ARITHMETIC,capacity-shadow,STORY,0,5.6851014494895935,5.47608345746994,-0.2090179920196533
0,STORY_ARITHMETIC,capacity-shadow,STORY,1,5.685982286930084,5.47608345746994,-0.209898829460144
0,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,0,6.99861204624176,7.76528537273407,0.7666733264923096
0,STORY_ARITHMETIC,capacity-shadow,ARITHMETIC,1,6.998005330562592,7.76528537273407,0.7672800421714783
0,STORY_ARITHMETIC,geometry-shadow,STORY,0,6.256196886301041,5.47608345746994,-0.7801134288311005
0,STORY_ARITHMETIC,geometry-shadow,STORY,1,5.475290477275848,5.47608345746994,0.0007929801940917
0,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,0,6.6782079339027405,7.76528537273407,1.0870774388313291
0,STORY_ARITHMETIC,geometry-shadow,ARITHMETIC,1,7.776637583971024,7.76528537273407,-0.0113522112369537
0,WEAK_ARITHMETIC,parent,STORY,0,5.480185329914093,5.47608345746994,-0.0041018724441528
0,WEAK_ARITHMETIC,parent,ARITHMETIC,0,7.629335850477219,7.76528537273407,0.1359495222568512
0,WEAK_ARITHMETIC,capacity-shadow,STORY,0,5.480909794569016,5.47608345746994,-0.0048263370990753
0,WEAK_ARITHMETIC,capacity-shadow,STORY,1,5.479834645986557,5.47608345746994,-0.0037511885166168
