replicate,arm,tokens,phase,ppl,nll,fixed4_ppl,clm01_start_ppl,textnca_frozen_ppl,ppl_vs_fixed4,ppl_vs_clm01,ppl_vs_textnca,health
1,fixed4,100000,saturation_search,16.58348116274926,2.8084070892333983,,,,,1.1017049815117594,1.068520374800719,RED
1,fixed4,200000,saturation_search,16.263064468176143,2.788896553039551,,,,,1.0804184575843423,1.0478750251773405,YELLOW
1,fixed4,300000,saturation_search,16.00214198889653,2.772722587585449,,,,,1.0630843651588957,1.031063055325073,YELLOW
1,fixed4,400000,saturation_search,15.770205932890926,2.758122459411621,,,,,1.0476759532708333,1.0161187623228538,YELLOW
1,fixed4,500000,saturation_search,15.620882645470257,2.7486086502075193,,,,,1.0377558280575219,1.0064974425604138,YELLOW
1,fixed4,600000,saturation_search,15.446781512242874,2.7374006652832032,,,,,1.0261896144331895,0.9952796164415393,GREEN
1,fixed4,700000,saturation_search,15.367976499810466,2.7322858963012697,,,,,1.0209542917700625,0.9902019876497271,GREEN
1,fixed4,800000,saturation_search,15.028327729885705,2.7099369354248046,,,,,0.9983901064751811,0.9683174612720071,GREEN
1,fixed4,900000,saturation_search,14.793645959701717,2.6941977615356447,,,,,0.9827992861435328,0.953196254175926,GREEN
1,fixed4,1000000,saturation_search,14.870394295680416,2.6993722763061525,,,,,0.9878979758119241,0.9581413655141594,GREEN
1,fixed4,1100000,saturation_search,14.534691582323696,2.676538314819336,,,,,0.9655959423617411,0.9365110946695019,GREEN
1,fixed4,1200000,saturation_search,14.405957305689242,2.667641822814941,,,,,0.9570436250004098,0.9282163828313066,GREEN
1,fixed4,1300000,saturation_search,14.37862961288825,2.665743049621582,,,,,0.9552281403626184,0.9264555826550598,GREEN
1,fixed4,1400000,saturation_search,14.190986937940833,2.6526070404052735,,,,,0.9427623095937372,0.9143652368829189,GREEN
1,fixed4,1500000,saturation_search,14.226431617617997,2.6551016159057617,,,,,0.9451170371557726,0.9166490373733979,GREEN
1,fixed4,1600000,saturation_search,14.133994206018953,2.6485828323364258,,,,,0.93897606133548,0.9106930347272655,GREEN
1,fixed4,1700000,saturation_search,13.910549785068474,2.6326475296020506,,,,,0.924131781703462,0.8962958816761052,GREEN
1,fixed4,1800000,saturation_search,13.723601192303756,2.6191170654296876,,,,,0.9117120615063452,0.8842502575728782,GREEN
1,fixed4,1900000,saturation_search,13.71479914168068,2.618475479125977,,,,,0.9111273071400097,0.883683116672938,GREEN
1,fixed4,2000000,saturation_search,13.502250106757788,2.602856346130371,,,,,0.897006850265366,0.8699879840146941,GREEN
1,fixed4,2100000,saturation_search,13.415946829255912,2.5964440612792967,,,,,0.8912733887676567,0.8644272208963942,GREEN
1,fixed4,2200000,saturation_search,13.485287566906456,2.601599281311035,,,,,0.8958799629447904,0.8688950398215152,GREEN
1,fixed4,2300000,saturation_search,13.579826245254507,2.6085853271484374,,,,,0.9021605340661025,0.8749864329994768,GREEN
1,marginal_growth,2400000,post_birth,13.338025838835536,2.590619041442871,,,,,0.8860967951159396,0.8594065521313917,GREEN
1,marginal_growth,2500000,post_birth,13.206189324392566,2.5806856079101563,,,,,0.8773383840633059,0.85091195437821,GREEN
1,marginal_growth,2600000,post_birth,13.021827941123602,2.5666270217895506,,,,,0.865090542228863,0.8390330314659428,GREEN
1,marginal_growth,2700000,post_birth,13.045576116867515,2.5684490814208982,,,,,0.866668225663488,0.8405631932816489,GREEN
1,marginal_growth,2800000,post_birth,12.92353012142459,2.559049690246582,,,,,0.8585602367657733,0.8326994262285327,GREEN
1,marginal_growth,2900000,post_birth,12.813522328742337,2.5505010452270507,,,,,0.8512519923740355,0.8256113144675425,GREEN
1,marginal_growth,3000000,post_birth,12.792341604122695,2.5488466796875,,,,,0.8498448746768233,0.8242465807553008,GREEN
1,marginal_growth,3100000,post_birth,12.762132545687887,2.5464823913574217,,,,,0.8478379697430651,0.8223001260800517,GREEN
1,marginal_growth,3200000,post_birth,12.658976709020264,2.538366584777832,,,,,0.8409849273683426,0.8156535051337475,GREEN
1,marginal_growth,3300000,post_birth,12.660159873322739,2.5384600448608396,,,,,0.8410635295624893,0.8157297397404337,GREEN
