replicate,window,directional_cancellation,pc1_variance_ratio,split_balance,oracle_mean_gradient_cosine,routing_purity_posthoc,interference_story_to_math,interference_math_to_story,window_conflict_pass,mean_probe_loss
0,0,0.5723926424980164,0.3790253698825836,0.5,0.4965341687202453,1.0,-0.0159177780151367,0.0003633499145507,0,6.665260404348373
0,1,0.6623528003692627,0.5395662784576416,0.375,0.0974176824092865,0.875,-0.0028715133666992,-0.0002856254577636,0,6.654913902282715
0,2,0.6167844533920288,0.4479514956474304,0.3125,0.5826224088668823,0.8125,-0.0179605484008789,-0.0017075538635253,0,6.651400566101074
1,0,0.705987811088562,0.5338774919509888,0.375,0.0826862007379531,0.875,-0.0031461715698242,0.000673770904541,0,6.583290934562683
1,1,0.6964401602745056,0.531173050403595,0.3125,0.3466386795043945,0.8125,-0.0119972229003906,-0.001347541809082,0,6.585751384496689
1,2,0.7515439391136169,0.5045246481895447,0.3125,-0.1061692237854003,0.8125,0.0030426979064941,0.0016427040100097,1,6.570211827754974
2,0,0.6469621658325195,0.4119510352611542,0.5,0.3378397524356842,1.0,-0.0088515281677246,0.0007262229919433,0,6.685283213853836
2,1,0.7027901411056519,0.4777279198169708,0.4375,-0.0242719799280166,0.9375,0.0001349449157714,2.431869506835937e-05,0,6.635949015617371
2,2,0.6933179497718811,0.5182195901870728,0.375,0.4897415339946747,0.875,-0.0120677947998046,0.0016512870788574,0,6.676973342895508
