replicate,arm,step,domain,branch,nll,parent_nll
1,differentiation-fork,100,ARITHMETIC,0,7.631981432437897,7.598399251699448
1,differentiation-fork,100,ARITHMETIC,1,6.6157421469688416,7.598399251699448
1,differentiation-fork,200,STORY,0,5.425047397613525,5.422553688287735
1,differentiation-fork,200,STORY,1,6.511036574840546,5.422553688287735
1,differentiation-fork,200,ARITHMETIC,0,7.608766347169876,7.598399251699448
1,differentiation-fork,200,ARITHMETIC,1,6.5951787531375885,7.598399251699448
1,differentiation-fork,400,STORY,0,5.423350661993027,5.422553688287735
1,differentiation-fork,400,STORY,1,6.397752821445465,5.422553688287735
1,differentiation-fork,400,ARITHMETIC,0,7.60139063000679,7.598399251699448
1,differentiation-fork,400,ARITHMETIC,1,6.591448873281479,7.598399251699448
2,unified,0,STORY,0,5.398255467414856,5.398255467414856
2,unified,0,ARITHMETIC,0,7.819498240947723,7.819498240947723
2,unified,50,STORY,0,5.642730981111527,5.398255467414856
2,unified,50,ARITHMETIC,0,7.145269453525543,7.819498240947723
2,unified,100,STORY,0,5.635872840881348,5.398255467414856
2,unified,100,ARITHMETIC,0,7.092183738946915,7.819498240947723
2,unified,200,STORY,0,5.6900275349617,5.398255467414856
2,unified,200,ARITHMETIC,0,7.050834834575653,7.819498240947723
2,unified,400,STORY,0,5.728004366159439,5.398255467414856
2,unified,400,ARITHMETIC,0,6.986493021249771,7.819498240947723
2,capacity-fork,0,STORY,0,5.399122834205627,5.398255467414856
2,capacity-fork,0,STORY,1,5.398501604795456,5.398255467414856
2,capacity-fork,0,ARITHMETIC,0,7.842982590198517,7.819498240947723
2,capacity-fork,0,ARITHMETIC,1,7.795311629772186,7.819498240947723
2,capacity-fork,50,STORY,0,5.542187422513962,5.398255467414856
2,capacity-fork,50,STORY,1,5.563128888607025,5.398255467414856
2,capacity-fork,50,ARITHMETIC,0,7.27765229344368,7.819498240947723
2,capacity-fork,50,ARITHMETIC,1,7.249995499849319,7.819498240947723
2,capacity-fork,100,STORY,0,5.473835378885269,5.398255467414856
2,capacity-fork,100,STORY,1,6.0193285048007965,5.398255467414856
2,capacity-fork,100,ARITHMETIC,0,7.367166787385939,7.819498240947723
2,capacity-fork,100,ARITHMETIC,1,6.8811081647872925,7.819498240947723
2,capacity-fork,200,STORY,0,5.678561568260193,5.398255467414856
2,capacity-fork,200,STORY,1,5.736010700464249,5.398255467414856
2,capacity-fork,200,ARITHMETIC,0,7.048568397760391,7.819498240947723
2,capacity-fork,200,ARITHMETIC,1,7.006803959608078,7.819498240947723
2,capacity-fork,400,STORY,0,5.766898542642593,5.398255467414856
2,capacity-fork,400,STORY,1,5.674425542354584,5.398255467414856
2,capacity-fork,400,ARITHMETIC,0,6.960607022047043,7.819498240947723
2,capacity-fork,400,ARITHMETIC,1,7.042542546987534,7.819498240947723
2,differentiation-fork,0,STORY,0,5.399122834205627,5.398255467414856
2,differentiation-fork,0,STORY,1,5.398501604795456,5.398255467414856
2,differentiation-fork,0,ARITHMETIC,0,7.842982590198517,7.819498240947723
