replicate,arm,initial_child_distance,final_child_distance,distance_growth_ratio,routing_purity_posthoc,branch0_updates,branch1_updates,wall_seconds,identity_pass,identity_assignment,story_margin,arithmetic_margin,normalized_story_margin,normalized_arithmetic_margin,normalized_identity_margin,opposite_preference,routing_purity_pass,conflict_confirmed
0,unified,0.0,0.7755878567695618,0.0,,400,0,9.118474582000031,,,,,,,,,,0
0,capacity-fork,0.0399999991059303,0.2287785559892654,5.719464027571619,,200,200,10.905391903000009,1.0,"[0, 1]",0.2841455638408661,0.2254780828952789,0.0520302082830083,0.0289570879009492,0.0404936480919787,1.0,,0
0,differentiation-fork,0.0399999991059303,1.171724557876587,29.293114601666808,0.96,216,184,18.180492239999975,1.0,"[1, 0]",1.0643909871578217,1.101770132780075,0.1949018102122958,0.14149514743023,0.1681984788212629,1.0,1.0,0
1,unified,0.0,0.7996274828910828,0.0,,400,0,8.767150442999991,,,,,,,,,,0
1,capacity-fork,0.0399999991059303,0.1423189043998718,3.5579726895236825,,200,200,10.47999649000002,0.0,"[0, 1]",0.0376262962818145,0.0458530783653259,0.006938851774411,0.0060345708150398,0.0064867112947254,1.0,,0
1,differentiation-fork,0.0399999991059303,1.3424559831619265,33.56140032920391,0.9325,173,227,17.586140760000035,1.0,"[0, 1]",0.9744021594524384,1.0099417567253113,0.1796943313916957,0.1329150684599034,0.1563046999257996,1.0,1.0,0
2,unified,0.0,1.0395148992538452,0.0,,400,0,8.741980732999991,,,,,,,,,,0
2,capacity-fork,0.0400000028312206,0.2088823765516281,5.222059044170671,,200,200,10.29522575499999,1.0,"[1, 0]",0.0924730002880096,0.0819355249404907,0.01713016378091,0.0104783609402743,0.0138042623605922,1.0,,0
2,differentiation-fork,0.0400000028312206,1.4975054264068604,37.43763301031654,0.91,236,164,17.040768135999997,1.0,"[1, 0]",0.9268077313899994,1.088282585144043,0.1716865266907855,0.1391755009861276,0.1554310138384565,1.0,1.0,0
