run,topology,variant,random_depth,low_step_init,step_embedding_init_scale,stability_loss,stability_weight,parameters,final_ppl_2m,final_nll_2m,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,peak_vram_gib,avg_recurrent_iterations,initial_step_embedding_rms,final_step_embedding_rms,step_embedding_rms_growth_ratio,depth_robustness_ratio_2_to_4,ppl_depth2,ppl_depth3,ppl_depth4
1d-A,1d,A,False,False,1.0,False,0.0,1170816,47.45951279444928,3.859876985351245,60.91819391100006,32830.91424085799,30.45909695550003,0.14668560028076172,12.0,0.01942833699285984,0.018017539754509926,0.9273845600440017,1.935833067095628,92.25870956858155,52.15226507668349,47.65840151031167
1d-B,1d,B,True,False,1.0,False,0.0,1170816,48.68396213031177,3.885349656144778,50.72782647499986,39426.092915407244,25.36391323749993,0.14781665802001953,8.952,0.01942833699285984,0.020086823031306267,1.0338930727158187,1.0205923855467207,49.59660525509466,48.59589975142356,48.89096612619634
1d-C,1d,C,True,True,0.25,False,0.0,1170816,48.58907284167962,3.8833986669778815,49.772458222995226,40182.86561293422,24.886229111497613,0.14781665802001953,8.952,0.00485708424821496,0.008943755179643631,1.841383579650811,1.0262853147024347,49.641868876962334,48.37043672534251,48.747281403076244
1d-D,1d,D,True,True,0.25,True,0.1,1170816,46.10098306938179,3.8308342744906745,51.09512651899706,39142.67634226141,25.54756325949853,0.14781665802001953,8.952,0.00485708424821496,0.008322585374116898,1.7134941353293498,1.022305544330779,47.155523642523505,46.126643745625415,46.32409820851005
1d-E,1d,E,False,True,0.25,False,0.0,1170816,47.11497325331851,3.852590853969256,61.26413095199939,32645.529593278738,30.632065475999696,0.14668560028076172,12.0,0.00485708424821496,0.005943702068179846,1.2237181330268734,1.857368021762391,87.82812430449141,51.38648559872612,47.286333820453315
1d-F,1d,F,False,False,1.0,True,0.1,1170816,46.09513330469208,3.830707376201948,64.64094111799898,30940.143590253345,32.32047055899949,0.14812183380126953,12.0,0.01942833699285984,0.01890779659152031,0.9732071560457883,1.468237756143249,68.07917429395074,47.54888130086835,46.367949611090495
1d-G,1d,G,False,True,0.25,True,0.1,1170816,45.52551546662339,3.818272948265076,65.81499347299655,30388.212388421594,32.907496736498274,0.14812183380126953,12.0,0.00485708424821496,0.00796339102089405,1.6395414643714894,1.4857639703718184,67.9604618023518,47.19538807894224,45.74108886578023
1d-H,1d,H,True,False,1.0,True,0.1,1170816,46.46767451081664,3.8387568990389513,51.43309701099918,38885.46706748559,25.71654850549959,0.14781665802001953,8.952,0.01942833699285984,0.019004397094249725,0.9781793007416992,1.0184533321193383,47.31839038769383,46.46102957827944,46.635630298726916
2d-A,2d,A,False,False,1.0,False,0.0,1173632,47.61286213888017,3.863102937738101,85.14459163700388,23489.454368711762,42.57229581850194,0.4531702995300293,12.0,0.02032395638525486,0.01857704296708107,0.9140465869410552,1.790568968899472,85.12265932053745,51.70243576560531,47.53944740417117
2d-B,2d,B,True,False,1.0,False,0.0,1173632,49.07503201739963,3.893350392580032,69.02677329499994,28974.264687885578,34.51338664749997,0.458707332611084,8.952,0.02032395638525486,0.021570730954408646,1.0613450720676771,1.0186501755224908,49.77115384375472,48.859907983843286,49.062587295702684
2d-C,2d,C,True,True,0.25,False,0.0,1173632,48.75446109710273,3.886796702941259,66.01636872299923,30295.51668301965,33.008184361499616,0.458707332611084,8.952,0.005080989096313715,0.0106247179210186,2.0910727654831796,1.022650875898871,49.62411134079241,48.5249780842115,48.79371505250763
2d-D,2d,D,True,True,0.25,True,0.1,1173632,46.47428115086365,3.838899066050848,68.07620261500244,29378.84199138989,34.03810130750122,0.458707332611084,8.952,0.005080989096313715,0.010464244522154331,2.0594896630945727,1.0201889866036327,47.11102569140064,46.17872405017874,46.33729093190536
2d-E,2d,E,False,True,0.25,False,0.0,1173632,47.352256417456815,3.8576144725084314,84.40477392699847,23695.342182064207,42.20238696349924,0.4531702995300293,12.0,0.005080989096313715,0.0061257206834852695,1.2056157900298414,1.7798690153881693,84.11470458045513,51.23249856386164,47.25892964775875
2d-F,2d,F,False,False,1.0,True,0.1,1173632,46.38832864781543,3.837047889828682,86.56308416999764,23104.537219033038,43.28154208499882,0.45737218856811523,12.0,0.02032395638525486,0.01963500864803791,0.9661016918085504,1.466307771413807,67.86518053756448,48.10257161614663,46.28303952322997
2d-G,2d,G,False,True,0.25,True,0.1,1173632,45.97494017520731,3.828096469243368,87.04221159000087,22977.357347268433,43.52110579500044,0.45737218856811523,12.0,0.005080989096313715,0.007898385636508465,1.5544976552377934,1.507868872399801,69.10602342973458,47.91515788829161,45.83026063781731
2d-H,2d,H,True,False,1.0,True,0.1,1173632,46.80656961704887,3.84602356950442,66.75763576300085,29959.11968932342,33.378817881500424,0.458707332611084,8.952,0.02032395638525486,0.021331816911697388,1.0495897800279543,1.0164044218595973,47.422523822283935,46.657140408264304,46.79503298826967
