topology,variant,source_011_model,ppl_013,ppl_011,ppl_ratio_013_to_011,cost_013,cost_011,cost_ratio_013_to_011
1d,A,minicells-v2-fixed,47.45951279444928,47.45951279444928,1.0,30.45909695550003,30.46021429850009,0.9999633179534093
1d,D,minicells-v2-stable,46.10098306938179,46.10098306938179,1.0,25.54756325949853,25.640526835499315,0.9963743500046935
2d,A,minicells-2d-k4-fixed,47.61286213888017,47.61286213888017,1.0,42.57229581850194,40.50796905950165,1.0509610036476533
2d,D,minicells-2d-k4-stable,46.47428115086365,46.47428115086365,1.0,34.03810130750122,31.86152433299958,1.0683136485170397
