arm,audited_cell_updates,gradient_analytic_rho_p95,gradient_float_commit_rho_p95,optimizer_raw_rho_p95,matched_safe_float_commit_rho_p95,committed_rho_p95,committed_excess_factor_p95,committed_excess_factor_max
current_adamw_grad_projection,512,7.773223462960156e-07,0.015485967304937688,0.15541607836926102,5.377890335042555e-06,0.15541607836926102,1243.6282813715875,1491.688267857125
adamw_no_decay_grad_projection,512,7.751148350425925e-07,0.015471042169330585,0.1554174830806443,5.454627970087691e-06,0.1554174830806443,1243.6270089188968,1491.6373207890204
sgd_no_decay_grad_projection,512,7.552189959455243e-07,0.015314531009536447,0.015314544172929512,0.011399897362409511,0.015314544172929512,0.010533924116101576,0.010585465109716264
sgd_with_decay_grad_projection,512,7.556115858790172e-07,0.015299421985405653,0.425481349553795,0.009846357040604476,0.425481349553795,3.9528000563241994,3.965894971777047
adamw_final_update_projection,512,7.770612499279357e-07,0.015494225526299314,0.15536179158631913,5.4340229693437605e-06,5.4359845575760425e-06,0.010528424404522401,0.010635069784097288
