rank,stage,expert_id,usage,gradient_disagreement,pressure,routed_samples,eligible
1,1,s1-e1,0.09780208333333333,0.6168457269668579,0.15813088052595656,9389,yes
2,0,s0-e2,0.09523958333333334,0.6078684329986572,0.1531327196136117,9143,yes
3,1,s1-e0,0.09111458333333333,0.592147707939148,0.14506787501399715,8747,yes
4,0,s0-e3,0.08926041666666666,0.608590841293335,0.14358348874002694,8569,yes
5,2,s2-e1,0.08622916666666666,0.6268787384033203,0.1402843978802363,8278,yes
6,0,s0-e1,0.08578125,0.5973960757255554,0.1370266321208328,8235,yes
7,2,s2-e0,0.08342708333333333,0.6422568559646606,0.13700869957730175,8009,yes
8,2,s2-e2,0.08266666666666667,0.6305029988288879,0.13478824790318808,7936,yes
9,2,s2-e3,0.08101041666666667,0.6410326361656189,0.1329407376193752,7777,yes
10,1,s1-e3,0.0734375,0.62267005443573,0.11916483212262392,7050,yes
11,1,s1-e2,0.07097916666666666,0.6108336448669434,0.11433562975128492,6814,yes
12,0,s0-e0,0.06305208333333333,0.6179514527320862,0.10201520982695121,6053,yes
