rank,stage,expert_id,usage,gradient_disagreement,legacy_pressure,fisher_per_route,weight_grad_saliency,geometry_separation,marginal_score,routed_samples,eligible
1,0,s0-e3,0.09013541666666666,0.7232843041419983,0.15532894878896572,0.9444512637848383,1.4850855658757978e-05,0.3337336778640747,0.0024974950520587264,17306,yes
2,0,s0-e2,0.091890625,0.7172321081161499,0.1577975316848606,0.7868825416994398,1.3353984810167482e-05,0.25839589536190033,0.0020396126236457823,17643,yes
3,2,s2-e0,0.0779375,0.742468535900116,0.1358036415167153,0.7794190693975096,1.219113450835378e-05,0.30978937447071075,0.0020187337431795387,14964,yes
4,2,s2-e3,0.08247395833333333,0.7302080392837524,0.14269710573988656,0.737364949210202,1.2147971989091994e-05,0.25479984283447266,0.0018777492432698513,15835,yes
5,0,s0-e1,0.06968229166666666,0.7047121524810791,0.11878824941689768,0.7527585699499963,1.1315790776240865e-05,0.2678890526294708,0.0018502123056585943,13379,yes
6,2,s2-e2,0.09305729166666667,0.7003098726272583,0.15822623174078762,0.634625309076363,1.2011899185422138e-05,0.27072811126708984,0.0017542325904207068,17867,yes
7,0,s0-e0,0.081625,0.7069888114929199,0.1393329617381096,0.625380352993423,1.124729091034602e-05,0.2988633066415787,0.001722382217867291,15672,yes
8,2,s2-e1,0.07986458333333334,0.7266943454742432,0.13790172444532314,0.6716005087981085,1.130397503914248e-05,0.16945397853851318,0.0016111064755358014,15334,yes
9,1,s1-e3,0.08119270833333334,0.7291288375854492,0.1403926533808311,0.5144293425199409,1.011698911481751e-05,0.328787237405777,0.0015157024760038833,15589,yes
10,1,s1-e2,0.07796875,0.6877557635307312,0.1315922071877867,0.3790906185850236,8.299853893325202e-06,0.3468905836343765,0.001194563011748139,14970,yes
11,1,s1-e0,0.09529166666666666,0.7177317142486572,0.16368551793694497,0.38105083560795255,9.383533002191726e-06,0.25087565183639526,0.0011826569695561988,18296,yes
12,1,s1-e1,0.07888020833333333,0.7182208299636841,0.1355336170302083,0.36060807104935805,8.321238797391958e-06,0.28098031878471375,0.0011094920012442923,15145,yes
