model,step,consumed_tokens,train_loss,lm_loss,state_stability_loss,logit_consistency_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_main_recurrent_iterations,avg_total_rule_applications_including_probes,validation_nll,validation_ppl,validation_tokens,stage1_last_relative_residual,stage2_last_relative_residual,stage3_last_relative_residual,mean_last_relative_residual,parameters,peak_vram_bytes
minicells-v2-settling,250,250000,5.223274230957031,5.212253570556641,0.10918894410133362,0.0020338036119937897,0.0002954100398908995,2.3562700748443604,9.576061674998527,26106.765858944662,38.30424669999411,8.932,11.932,5.110309809446335,165.72168906614547,49152,0.140951176173985,0.09987306362017989,0.07906504270310204,0.10662976083242232,1170816,217253376
minicells-v2-settling,500,500000,4.296160697937012,4.285061836242676,0.11005900800228119,0.0018575440626591444,0.00026837107640945905,1.6131222248077393,17.718355290999057,28219.323508768364,35.43671058199811,8.914,11.914,4.417590985695521,82.89634614317426,49152,0.11925877506534259,0.09452080292006333,0.07487664915000398,0.09621874237846997,1170816,217253376
minicells-v2-settling,1000,1000000,3.938995838165283,3.929460287094116,0.09443234652280807,0.0018462453735992312,0.00016238690182084986,1.6776180267333984,33.90102581499889,29497.632474518465,33.90102581499889,8.921,11.921,4.015602687994639,55.45670842505869,49152,0.10181643208488822,0.0869662278952698,0.0732583929784596,0.08734701765287253,1170816,217253376
minicells-v2-settling,2000,2000000,4.11277437210083,4.1031599044799805,0.09537459909915924,0.0015331294853240252,0.0,1.6933224201202393,65.97344887799932,30315.225806952705,32.98672443899966,8.952,11.952,3.843611096342405,46.693786122319075,49152,0.09895624794686834,0.0843821835393707,0.07346938798824947,0.08560260649149616,1170816,217253376
