model,display_name,depth_per_stage,total_recurrent_iterations,validation_nll,validation_ppl,stage1_relative_residual,stage2_relative_residual,stage3_relative_residual,mean_relative_residual,validation_tokens
minicells-v2-stable-011,1D stabilizing (011),2,6,3.9627887457609177,52.60382026723125,0.2512919493019581,0.19648106582462788,0.19180503860116005,0.21319268457591534,16384
minicells-v2-stable-011,1D stabilizing (011),4,12,3.930419161915779,50.92832040820698,0.13778473902493715,0.10304424213245511,0.11165269743651152,0.11749389286463459,16384
minicells-v2-stable-011,1D stabilizing (011),6,18,4.1134301126003265,61.15613062335972,0.10636126669123769,0.08156029973179102,0.08448847709223628,0.09080334783842166,16384
minicells-v2-stable-011,1D stabilizing (011),8,24,4.450484991073608,85.66848237775848,0.0927233686670661,0.07597236102446914,0.0748981679789722,0.08119796589016914,16384
minicells-v2-stable-011,1D stabilizing (011),12,36,5.333839148283005,207.23204344990063,0.07978458236902952,0.07422319566830993,0.0683799609541893,0.07412924633050959,16384
minicells-v2-stable-011,1D stabilizing (011),16,48,5.989087402820587,399.05027155304646,0.07017422933131456,0.0744329639710486,0.06052495865151286,0.06837738398462534,16384
minicells-v2-settling-012,1D settling (012),2,6,3.897250384092331,49.26679792537783,0.37468493171036243,0.24312384333461523,0.22619154769927263,0.2813334409147501,16384
minicells-v2-settling-012,1D settling (012),4,12,3.8756052404642105,48.21186923660726,0.09896441036835313,0.08448456134647131,0.0736698773689568,0.08570628302792709,16384
minicells-v2-settling-012,1D settling (012),6,18,3.953101322054863,52.0966851541552,0.08304781839251518,0.07437215698882937,0.06723134266212583,0.0748837726811568,16384
minicells-v2-settling-012,1D settling (012),8,24,4.166693061590195,64.5017955623483,0.0753762861713767,0.07414956437423825,0.06981763197109103,0.07311449417223533,16384
minicells-v2-settling-012,1D settling (012),12,36,5.142807573080063,171.19573877759098,0.06892875023186207,0.07528533367440104,0.07092021917924285,0.07171143436183532,16384
minicells-v2-settling-012,1D settling (012),16,48,6.008023828268051,406.67885839435075,0.06894270610064268,0.06322649330832064,0.053439614130184054,0.061869604513049126,16384
minicells-2d-k4-stable-011,2D stabilizing (011),2,6,3.9117203056812286,49.98486730310144,0.22606248036026955,0.1766416896134615,0.1706355456262827,0.19111323853333792,16384
minicells-2d-k4-stable-011,2D stabilizing (011),4,12,3.90713170170784,49.756031961280485,0.10951343644410372,0.09425376681610942,0.09532101871445775,0.09969607399155696,16384
minicells-2d-k4-stable-011,2D stabilizing (011),6,18,4.065739631652832,58.30801903412877,0.08168956218287349,0.07648578938096762,0.07746050227433443,0.07854528461272518,16384
minicells-2d-k4-stable-011,2D stabilizing (011),8,24,4.364206433296204,78.58701115481567,0.06993063120171428,0.07257697079330683,0.07358091324567795,0.07202950508023302,16384
minicells-2d-k4-stable-011,2D stabilizing (011),12,36,5.315362095832825,203.43816390511097,0.06071562389843166,0.07739682076498866,0.07811121735721827,0.07207455400687952,16384
minicells-2d-k4-stable-011,2D stabilizing (011),16,48,6.15936666727066,473.1283322684616,0.057343440828844905,0.07862966414541006,0.07112443074584007,0.06903251190669835,16384
minicells-2d-k4-settling-012,2D settling (012),2,6,3.8981578946113586,49.311528356332325,0.2750089764595032,0.18760404270142317,0.21301039680838585,0.22520780532310405,16384
minicells-2d-k4-settling-012,2D settling (012),4,12,3.876673385500908,48.2633940185134,0.08367436286062002,0.07278276607394218,0.0632153619080782,0.07322416361421347,16384
minicells-2d-k4-settling-012,2D settling (012),6,18,3.9458964616060257,51.72268473604516,0.06720277899876237,0.061390346847474575,0.05437315930612385,0.0609887617174536,16384
minicells-2d-k4-settling-012,2D settling (012),8,24,4.137226909399033,62.62890479010504,0.05913434876129031,0.055908695328980684,0.05096373590640724,0.055335593332226075,16384
minicells-2d-k4-settling-012,2D settling (012),12,36,4.991744577884674,147.19298926498942,0.05049001541920006,0.04904872947372496,0.04803053289651871,0.04918975926314791,16384
minicells-2d-k4-settling-012,2D settling (012),16,48,5.742916017770767,311.9728041332705,0.04738094285130501,0.04685729229822755,0.049202140187844634,0.0478134584457924,16384
