model,display_name,ppl_depth2,ppl_depth4,ppl_depth8,ppl_depth12,ppl_depth16,late_ppl_plateau_ratio,late_ppl_drift_percent,residual_depth4,residual_depth16,residual_ratio_16_to_4,best_ppl,best_depth,standard_011_ppl_2m,training_seconds_per_million
minicells-v2-stable-011,1D stabilizing (011),52.60382026723125,50.92832040820698,85.66848237775848,207.23204344990063,399.05027155304646,4.658075647861005,365.8075647861005,0.11749389286463459,0.06837738398462534,0.5819654308620392,50.92832040820698,4,46.10098306938179,25.640526835499315
minicells-v2-settling-012,1D settling (012),49.26679792537783,48.21186923660726,64.5017955623483,171.19573877759098,406.67885839435075,6.304923062199865,530.4923062199865,0.08570628302792709,0.061869604513049126,0.7218794506919538,48.21186923660726,4,,32.98672443899966
minicells-2d-k4-stable-011,2D stabilizing (011),49.98486730310144,49.756031961280485,78.58701115481567,203.43816390511097,473.1283322684616,6.020439323444981,502.04393234449805,0.09969607399155696,0.06903251190669835,0.6924295926893226,49.756031961280485,4,46.47428115086365,31.86152433299958
minicells-2d-k4-settling-012,2D settling (012),49.311528356332325,48.2633940185134,62.62890479010504,147.19298926498942,311.9728041332705,4.98129106965575,398.12910696557503,0.07322416361421347,0.0478134584457924,0.6529737737627279,48.2633940185134,4,,42.42699104800073
