seed,final_cells,spawned_children,safe_commits,conflict_write_rejections,child_reuse_hits,child_reuse_trials,history_mse,unsafe_reuse_mse,simultaneous_mse,sequential_mse,simultaneous_route,sequential_route,max_execution_fraction,shared_fit_mse,shared_history_mse,shared_unsafe_history_mse
90811,16,4,4,4,12,12,5.122973652070047e-32,0.024046784605835075,1.1307907178545105e-06,1.3423041749842607e-06,1.0,1.0,0.185546875,1.8611572669210508e-32,1.5256976278192634e-32,0.006754081440553182
90812,16,4,4,4,12,12,2.1630600687899143e-32,0.02631415592732873,1.2493700568565765e-06,1.3413813634520573e-06,1.0,1.0,0.1875,2.4253740530412315e-33,3.1732705099317816e-33,0.003451795463692127
90813,16,4,4,4,12,12,2.315930758125651e-32,0.029571586008738455,1.263201890073223e-06,1.7059741493539693e-06,1.0,1.0,0.2001953125,1.9565633271696647e-33,4.6432967252961014e-33,0.006728499820967439
