seed,controller_state_sha256,router_meta_accuracy,growth_meta_accuracy,write_meta_accuracy,formal_data_used,hidden_ids_used_as_targets
90811,5119a8aa3373f58f240e6dc07b00cbaa176bf1656d483032973f4071f3a05e22,1.0,1.0,1.0,False,False
90812,5119a8aa3373f58f240e6dc07b00cbaa176bf1656d483032973f4071f3a05e22,1.0,1.0,1.0,False,False
90813,5119a8aa3373f58f240e6dc07b00cbaa176bf1656d483032973f4071f3a05e22,1.0,1.0,1.0,False,False
