seed,parent_id,child_id,root_id,transition,candidate,family,rank,offline_oracle_auc,current_cosine_auc,auc,normalized_oracle_excess_recovery,old_fpr,current_tpr,historical_address_state_bytes
73611,4,8,4,A->B,rank-0,low_rank_gaussian,0,0.9289356696666402,0.5434207042626423,0.6079204585057336,0.25160056889091814,0.6648133397102356,0.7802108526229858,3080
73611,4,8,4,A->B,rank-8,low_rank_gaussian,8,0.9289356696666402,0.5434207042626423,0.849039228986818,0.8137332790674275,0.24702145159244537,0.783454954624176,15400
73611,4,8,4,A->B,rank-16,low_rank_gaussian,16,0.9289356696666402,0.5434207042626423,0.8774864769281611,0.8800538253709131,0.1715647429227829,0.7623682022094727,27720
73611,4,8,4,A->B,rank-32,low_rank_gaussian,32,0.9289356696666402,0.5434207042626423,0.8913834986636364,0.9124526737722966,0.11596505343914032,0.7234387397766113,52360
73611,4,8,4,A->B,rank-64,low_rank_gaussian,64,0.9289356696666402,0.5434207042626423,0.8988367291591377,0.9298287770497269,0.09054805338382721,0.6934306621551514,101640
73611,4,8,4,A->B,rank-128,low_rank_gaussian,128,0.9289356696666402,0.5434207042626423,0.8957723369839347,0.9226846004472433,0.06354249268770218,0.6350364685058594,200200
73611,4,8,4,A->B,full-covariance,full_covariance_gaussian,,0.9289356696666402,0.5434207042626423,0.9057481993394518,0.9459418463724194,0.1223193034529686,0.7599350810050964,591368
73611,5,9,5,A->B,rank-0,low_rank_gaussian,0,0.8799150485436893,0.4811709326272433,0.5444456702951849,0.11698844377330246,0.5380259156227112,0.5772727131843567,3080
73611,5,9,5,A->B,rank-8,low_rank_gaussian,8,0.8799150485436893,0.4811709326272433,0.824694763165637,0.8546509658153166,0.2119741141796112,0.699999988079071,15400
73611,5,9,5,A->B,rank-16,low_rank_gaussian,16,0.8799150485436893,0.4811709326272433,0.8357053545160341,0.883632685261818,0.2006472498178482,0.7060605883598328,27720
73611,5,9,5,A->B,rank-32,low_rank_gaussian,32,0.8799150485436893,0.4811709326272433,0.8463604491517113,0.911678677850216,0.16019417345523834,0.7015151381492615,52360
73611,5,9,5,A->B,rank-64,low_rank_gaussian,64,0.8799150485436893,0.4811709326272433,0.8519644258115132,0.926429282442699,0.10113269090652466,0.625,101640
73611,5,9,5,A->B,rank-128,low_rank_gaussian,128,0.8799150485436893,0.4811709326272433,0.8575849514563106,0.9412234467337486,0.07281553745269775,0.5651515126228333,200200
73611,5,9,5,A->B,full-covariance,full_covariance_gaussian,,0.8799150485436893,0.4811709326272433,0.8657724085515348,0.9627742042691733,0.12135922908782959,0.6757575273513794,591368
73611,2,10,2,A->B,rank-0,low_rank_gaussian,0,0.8751350924939849,0.5088365610907322,0.5444871744303764,0.1185897435897436,0.3226836919784546,0.4246913492679596,3080
73611,2,10,2,A->B,rank-8,low_rank_gaussian,8,0.8751350924939849,0.5088365610907322,0.8077886903588004,0.820474267849883,0.21246005594730377,0.6946502327919006,15400
73611,2,10,2,A->B,rank-16,low_rank_gaussian,16,0.8751350924939849,0.5088365610907322,0.8156976820626093,0.8415573172954256,0.19408945739269257,0.6872428059577942,27720
73611,2,10,2,A->B,rank-32,low_rank_gaussian,32,0.8751350924939849,0.5088365610907322,0.8402089167619874,0.9068970713995318,0.15335462987422943,0.6691358089447021,52360
73611,2,10,2,A->B,rank-64,low_rank_gaussian,64,0.8751350924939849,0.5088365610907322,0.8499053366465507,0.9327448795054043,0.11661341786384583,0.6304526925086975,101640
