run,task,receiver,source,mean_weight
r0-E,ROTATE,7,5,0.000880105770193
r0-E,ROTATE,7,6,0.0
r0-E,ROTATE,7,7,0.0
r0-E,INC,0,0,0.0
r0-E,INC,0,1,0.0
r0-E,INC,0,2,0.0004612735356204
r0-E,INC,0,3,0.0030980033334344
r0-E,INC,0,4,0.000707997533027
r0-E,INC,0,5,0.0006228892016224
r0-E,INC,0,6,0.0004375614516902
r0-E,INC,0,7,0.0010334851685911
r0-E,INC,1,0,0.0
r0-E,INC,1,1,0.0
r0-E,INC,1,2,0.0
r0-E,INC,1,3,0.0007952741580083
r0-E,INC,1,4,0.0002600848383735
r0-E,INC,1,5,0.000329916132614
r0-E,INC,1,6,0.0001880927884485
r0-E,INC,1,7,0.0001994528574869
r0-E,INC,2,0,0.0013132138410583
r0-E,INC,2,1,0.0
r0-E,INC,2,2,0.0
r0-E,INC,2,3,0.0
r0-E,INC,2,4,0.0005769534618593
r0-E,INC,2,5,0.000483377429191
r0-E,INC,2,6,0.0005904769641347
r0-E,INC,2,7,0.0003875282709486
r0-E,INC,3,0,0.0067259590141475
r0-E,INC,3,1,0.0015015016542747
r0-E,INC,3,2,0.0
r0-E,INC,3,3,0.0
r0-E,INC,3,4,0.0
r0-E,INC,3,5,0.0010367420036345
r0-E,INC,3,6,0.0009450893267057
r0-E,INC,3,7,0.0008596488041803
r0-E,INC,4,0,0.0021156559232622
r0-E,INC,4,1,0.0007831864058971
r0-E,INC,4,2,0.0008457337971776
r0-E,INC,4,3,0.0
r0-E,INC,4,4,0.0
r0-E,INC,4,5,0.0
r0-E,INC,4,6,0.0008049572934396
r0-E,INC,4,7,0.0005444255657494
r0-E,INC,5,0,0.0010683508589863
r0-E,INC,5,1,0.0005650989478453
r0-E,INC,5,2,0.0004785002383869
r0-E,INC,5,3,0.0005712421843782
r0-E,INC,5,4,0.0
r0-E,INC,5,5,0.0
r0-E,INC,5,6,0.0
r0-E,INC,5,7,0.0003517955483403
r0-E,INC,6,0,0.0008619405562058
r0-E,INC,6,1,0.0003580721968319
r0-E,INC,6,2,0.0004607955052051
r0-E,INC,6,3,0.0003463492030277
r0-E,INC,6,4,0.0004289631033316
r0-E,INC,6,5,0.0
r0-E,INC,6,6,0.0
r0-E,INC,6,7,0.0
r0-E,INC,7,0,0.0040682014077901
r0-E,INC,7,1,0.0010272428626194
r0-E,INC,7,2,0.0009125606156885
r0-E,INC,7,3,0.0010341894812881
r0-E,INC,7,4,0.000893214775715
r0-E,INC,7,5,0.0008670844254083
r0-E,INC,7,6,0.0
r0-E,INC,7,7,0.0
r0-E,SWAP,0,0,0.0
r0-E,SWAP,0,1,0.0
r0-E,SWAP,0,2,0.0006072784308344
r0-E,SWAP,0,3,0.0027057209517806
r0-E,SWAP,0,4,0.0011776280589401
r0-E,SWAP,0,5,0.000627675501164
r0-E,SWAP,0,6,0.0005883293924853
r0-E,SWAP,0,7,0.001244221930392
r0-E,SWAP,1,0,0.0
r0-E,SWAP,1,1,0.0
r0-E,SWAP,1,2,0.0
r0-E,SWAP,1,3,0.0005621912423521
r0-E,SWAP,1,4,0.0002468473394401
r0-E,SWAP,1,5,0.0002639186568558
r0-E,SWAP,1,6,0.0001855083683039
r0-E,SWAP,1,7,0.0001747413480188
r0-E,SWAP,2,0,0.0012160397600382
r0-E,SWAP,2,1,0.0
r0-E,SWAP,2,2,0.0
r0-E,SWAP,2,3,0.0
r0-E,SWAP,2,4,0.0005567895132116
r0-E,SWAP,2,5,0.0004279043059796
r0-E,SWAP,2,6,0.000565278227441
r0-E,SWAP,2,7,0.0003501697210595
r0-E,SWAP,3,0,0.0058668749406933
r0-E,SWAP,3,1,0.0012908189091831
r0-E,SWAP,3,2,0.0
r0-E,SWAP,3,3,0.0
r0-E,SWAP,3,4,0.0
r0-E,SWAP,3,5,0.0008697777520865
r0-E,SWAP,3,6,0.0008252923144027
r0-E,SWAP,3,7,0.0007412165869027
r0-E,SWAP,4,0,0.0035039188805967
r0-E,SWAP,4,1,0.0010211555054411
r0-E,SWAP,4,2,0.0011475457577034
r0-E,SWAP,4,3,0.0
r0-E,SWAP,4,4,0.0
r0-E,SWAP,4,5,0.0
r0-E,SWAP,4,6,0.0010819849558174
r0-E,SWAP,4,7,0.0006968386587686
r0-E,SWAP,5,0,0.0006820408161729
r0-E,SWAP,5,1,0.0003961079055443
r0-E,SWAP,5,2,0.0003391223435755
r0-E,SWAP,5,3,0.000400616438128
r0-E,SWAP,5,4,0.0
r0-E,SWAP,5,5,0.0
r0-E,SWAP,5,6,0.0
r0-E,SWAP,5,7,0.0002491395862307
r0-E,SWAP,6,0,0.0008055911166593
r0-E,SWAP,6,1,0.0003301410761196
r0-E,SWAP,6,2,0.0004402535851113
r0-E,SWAP,6,3,0.0003099859459325
r0-E,SWAP,6,4,0.0004104881372768
r0-E,SWAP,6,5,0.0
r0-E,SWAP,6,6,0.0
r0-E,SWAP,6,7,0.0
r0-E,SWAP,7,0,0.0044571505859494
r0-E,SWAP,7,1,0.0010436387965455
r0-E,SWAP,7,2,0.0009678588248789
r0-E,SWAP,7,3,0.0010590994497761
r0-E,SWAP,7,4,0.0009395879460498
r0-E,SWAP,7,5,0.0008807278354652
r0-E,SWAP,7,6,0.0
r0-E,SWAP,7,7,0.0
r0-E,REVERSE_ROTATE,0,0,0.0
r0-E,REVERSE_ROTATE,0,1,0.0
r0-E,REVERSE_ROTATE,0,2,0.0005751219578087
r0-E,REVERSE_ROTATE,0,3,0.0024597800802439
r0-E,REVERSE_ROTATE,0,4,0.0010746093466877
r0-E,REVERSE_ROTATE,0,5,0.0005727014504373
r0-E,REVERSE_ROTATE,0,6,0.0005627462523989
r0-E,REVERSE_ROTATE,0,7,0.0012256953632459
r0-E,REVERSE_ROTATE,1,0,0.0
r0-E,REVERSE_ROTATE,1,1,0.0
r0-E,REVERSE_ROTATE,1,2,0.0
r0-E,REVERSE_ROTATE,1,3,0.0004435443843249
r0-E,REVERSE_ROTATE,1,4,0.0002240067842649
r0-E,REVERSE_ROTATE,1,5,0.0002324590459465
r0-E,REVERSE_ROTATE,1,6,0.0001734341349219
r0-E,REVERSE_ROTATE,1,7,0.0001609169703442
r0-E,REVERSE_ROTATE,2,0,0.0010811315150931
r0-E,REVERSE_ROTATE,2,1,0.0
r0-E,REVERSE_ROTATE,2,2,0.0
r0-E,REVERSE_ROTATE,2,3,0.0
r0-E,REVERSE_ROTATE,2,4,0.0005193146062083
r0-E,REVERSE_ROTATE,2,5,0.0004005086666438
r0-E,REVERSE_ROTATE,2,6,0.0005281827761791
r0-E,REVERSE_ROTATE,2,7,0.0003311988839413
r0-E,REVERSE_ROTATE,3,0,0.0059165740385651
r0-E,REVERSE_ROTATE,3,1,0.0012993055861443
r0-E,REVERSE_ROTATE,3,2,0.0
r0-E,REVERSE_ROTATE,3,3,0.0
r0-E,REVERSE_ROTATE,3,4,0.0
r0-E,REVERSE_ROTATE,3,5,0.0009104770142585
r0-E,REVERSE_ROTATE,3,6,0.0008860233356244
r0-E,REVERSE_ROTATE,3,7,0.0007970493752509
r0-E,REVERSE_ROTATE,4,0,0.0031603556126356
r0-E,REVERSE_ROTATE,4,1,0.0009625301463529
r0-E,REVERSE_ROTATE,4,2,0.0011023815022781
r0-E,REVERSE_ROTATE,4,3,0.0
r0-E,REVERSE_ROTATE,4,4,0.0
r0-E,REVERSE_ROTATE,4,5,0.0
r0-E,REVERSE_ROTATE,4,6,0.0010329136857762
r0-E,REVERSE_ROTATE,4,7,0.0006642753141932
r0-E,REVERSE_ROTATE,5,0,0.0005770751740783
r0-E,REVERSE_ROTATE,5,1,0.0003492264368105
r0-E,REVERSE_ROTATE,5,2,0.0003096634754911
r0-E,REVERSE_ROTATE,5,3,0.0003485806228127
r0-E,REVERSE_ROTATE,5,4,0.0
r0-E,REVERSE_ROTATE,5,5,0.0
r0-E,REVERSE_ROTATE,5,6,0.0
r0-E,REVERSE_ROTATE,5,7,0.00022459779575
r0-E,REVERSE_ROTATE,6,0,0.0007422234048135
r0-E,REVERSE_ROTATE,6,1,0.0003134874568786
r0-E,REVERSE_ROTATE,6,2,0.0004312363162171
r0-E,REVERSE_ROTATE,6,3,0.0003028332430403
r0-E,REVERSE_ROTATE,6,4,0.0003988102835137
r0-E,REVERSE_ROTATE,6,5,0.0
r0-E,REVERSE_ROTATE,6,6,0.0
r0-E,REVERSE_ROTATE,6,7,0.0
r0-E,REVERSE_ROTATE,7,0,0.0043464512564241
r0-E,REVERSE_ROTATE,7,1,0.0010250785853713
r0-E,REVERSE_ROTATE,7,2,0.0009700985974632
r0-E,REVERSE_ROTATE,7,3,0.0010468396358191
r0-E,REVERSE_ROTATE,7,4,0.0009258435457013
r0-E,REVERSE_ROTATE,7,5,0.0008664070046506
r0-E,REVERSE_ROTATE,7,6,0.0
r0-E,REVERSE_ROTATE,7,7,0.0
r0-E,REVERSE_INC,0,0,0.0
r0-E,REVERSE_INC,0,1,0.0
r0-E,REVERSE_INC,0,2,0.0004292516096029
r0-E,REVERSE_INC,0,3,0.0032067270949482
r0-E,REVERSE_INC,0,4,0.0006801763083785
r0-E,REVERSE_INC,0,5,0.0005983284208923
r0-E,REVERSE_INC,0,6,0.0004080561047885
r0-E,REVERSE_INC,0,7,0.000972656533122
r0-E,REVERSE_INC,1,0,0.0
r0-E,REVERSE_INC,1,1,0.0
r0-E,REVERSE_INC,1,2,0.0
r0-E,REVERSE_INC,1,3,0.0007221512496471
r0-E,REVERSE_INC,1,4,0.0002382090169703
r0-E,REVERSE_INC,1,5,0.0003025491896551
r0-E,REVERSE_INC,1,6,0.0001745758927427
r0-E,REVERSE_INC,1,7,0.0001861882628872
r0-E,REVERSE_INC,2,0,0.0011349248234182
r0-E,REVERSE_INC,2,1,0.0
r0-E,REVERSE_INC,2,2,0.0
r0-E,REVERSE_INC,2,3,0.0
r0-E,REVERSE_INC,2,4,0.0005339703639037
r0-E,REVERSE_INC,2,5,0.000442799704615
r0-E,REVERSE_INC,2,6,0.0005365490796975
r0-E,REVERSE_INC,2,7,0.0003529306850396
r0-E,REVERSE_INC,3,0,0.0065264026634395
r0-E,REVERSE_INC,3,1,0.001385181560181
r0-E,REVERSE_INC,3,2,0.0
r0-E,REVERSE_INC,3,3,0.0
r0-E,REVERSE_INC,3,4,0.0
r0-E,REVERSE_INC,3,5,0.0009707813733257
r0-E,REVERSE_INC,3,6,0.0008735985029488
r0-E,REVERSE_INC,3,7,0.0007924078963696
r0-E,REVERSE_INC,4,0,0.0020859392825514
r0-E,REVERSE_INC,4,1,0.0007750437362119
r0-E,REVERSE_INC,4,2,0.0008437219075858
r0-E,REVERSE_INC,4,3,0.0
r0-E,REVERSE_INC,4,4,0.0
r0-E,REVERSE_INC,4,5,0.0
r0-E,REVERSE_INC,4,6,0.0008038379019126
r0-E,REVERSE_INC,4,7,0.0005478109233081
r0-E,REVERSE_INC,5,0,0.0009424209129065
r0-E,REVERSE_INC,5,1,0.0005125749739818
r0-E,REVERSE_INC,5,2,0.000433620851254
r0-E,REVERSE_INC,5,3,0.0005266513908281
r0-E,REVERSE_INC,5,4,0.0
r0-E,REVERSE_INC,5,5,0.0
r0-E,REVERSE_INC,5,6,0.0
r0-E,REVERSE_INC,5,7,0.0003282569814473
r0-E,REVERSE_INC,6,0,0.0007229073089547
r0-E,REVERSE_INC,6,1,0.0003148385439999
r0-E,REVERSE_INC,6,2,0.0004015327140223
r0-E,REVERSE_INC,6,3,0.0003079443704336
r0-E,REVERSE_INC,6,4,0.0003788983158301
r0-E,REVERSE_INC,6,5,0.0
r0-E,REVERSE_INC,6,6,0.0
r0-E,REVERSE_INC,6,7,0.0
r0-E,REVERSE_INC,7,0,0.0037940435577183
r0-E,REVERSE_INC,7,1,0.0009976635919883
r0-E,REVERSE_INC,7,2,0.0008663165499456
r0-E,REVERSE_INC,7,3,0.0010037724860012
r0-E,REVERSE_INC,7,4,0.0008637317223474
r0-E,REVERSE_INC,7,5,0.0008470139582641
r0-E,REVERSE_INC,7,6,0.0
r0-E,REVERSE_INC,7,7,0.0
r0-E,REVERSE_SWAP,0,0,0.0
r0-E,REVERSE_SWAP,0,1,0.0
r0-E,REVERSE_SWAP,0,2,0.000586939160712
r0-E,REVERSE_SWAP,0,3,0.0026047870051115
r0-E,REVERSE_SWAP,0,4,0.0011718999594449
r0-E,REVERSE_SWAP,0,5,0.0005978145636618
r0-E,REVERSE_SWAP,0,6,0.000575516896788
r0-E,REVERSE_SWAP,0,7,0.0012148963287472
r0-E,REVERSE_SWAP,1,0,0.0
r0-E,REVERSE_SWAP,1,1,0.0
r0-E,REVERSE_SWAP,1,2,0.0
r0-E,REVERSE_SWAP,1,3,0.0004507307603489
r0-E,REVERSE_SWAP,1,4,0.000216710177483
r0-E,REVERSE_SWAP,1,5,0.0002279873588122
r0-E,REVERSE_SWAP,1,6,0.0001666551252128
r0-E,REVERSE_SWAP,1,7,0.0001577129587531
r0-E,REVERSE_SWAP,2,0,0.0011673002736642
r0-E,REVERSE_SWAP,2,1,0.0
r0-E,REVERSE_SWAP,2,2,0.0
r0-E,REVERSE_SWAP,2,3,0.0
r0-E,REVERSE_SWAP,2,4,0.0005373216699808
r0-E,REVERSE_SWAP,2,5,0.0004138642689213
r0-E,REVERSE_SWAP,2,6,0.0005410097073763
r0-E,REVERSE_SWAP,2,7,0.0003336076042614
r0-E,REVERSE_SWAP,3,0,0.0061879716813564
r0-E,REVERSE_SWAP,3,1,0.0013324500760063
r0-E,REVERSE_SWAP,3,2,0.0
r0-E,REVERSE_SWAP,3,3,0.0
r0-E,REVERSE_SWAP,3,4,0.0
r0-E,REVERSE_SWAP,3,5,0.000938766170293
r0-E,REVERSE_SWAP,3,6,0.0009111758554354
r0-E,REVERSE_SWAP,3,7,0.0008181879529729
r0-E,REVERSE_SWAP,4,0,0.0033599529415369
r0-E,REVERSE_SWAP,4,1,0.0009964796481654
r0-E,REVERSE_SWAP,4,2,0.0011356736067682
r0-E,REVERSE_SWAP,4,3,0.0
r0-E,REVERSE_SWAP,4,4,0.0
r0-E,REVERSE_SWAP,4,5,0.0
r0-E,REVERSE_SWAP,4,6,0.0010725718457251
r0-E,REVERSE_SWAP,4,7,0.000690922490321
r0-E,REVERSE_SWAP,5,0,0.0006094529526308
r0-E,REVERSE_SWAP,5,1,0.0003581271448638
r0-E,REVERSE_SWAP,5,2,0.0003146468370687
r0-E,REVERSE_SWAP,5,3,0.0003612970467656
r0-E,REVERSE_SWAP,5,4,0.0
r0-E,REVERSE_SWAP,5,5,0.0
r0-E,REVERSE_SWAP,5,6,0.0
r0-E,REVERSE_SWAP,5,7,0.0002321613719686
r0-E,REVERSE_SWAP,6,0,0.0007909560226835
r0-E,REVERSE_SWAP,6,1,0.0003225402906537
r0-E,REVERSE_SWAP,6,2,0.0004353445256128
r0-E,REVERSE_SWAP,6,3,0.0003079849120695
r0-E,REVERSE_SWAP,6,4,0.0004100305086467
r0-E,REVERSE_SWAP,6,5,0.0
r0-E,REVERSE_SWAP,6,6,0.0
r0-E,REVERSE_SWAP,6,7,0.0
r0-E,REVERSE_SWAP,7,0,0.004036942962557
