run,replicate,variant,parameters,seconds_per_million_tokens,peak_vram_gib,avg_recurrent_iterations,mean_nll,mean_token_accuracy,mean_exact_match,effective_active_fraction,final_activity_entropy,final_plastic_entropy,final_plastic_tv,final_mean_plastic_strength,mean_plastic_to_reaction,plastic_distribution_change_l1,activity_mi,activity_mi_null_p99,topology_mi,topology_mi_null_p99,functional_specific_rows
r0-L,0,L,902016,70.00126898750003,0.913856029510498,8.971,0.9897572019781385,0.6145,0.026000000000000002,,,,,,,,,,,,
r0-E,0,E,902016,85.89544768333232,1.0428895950317383,8.971,1.098390062740871,0.567,0.016999999999999998,0.2518085241317749,0.5903581380844116,0.9400477409362793,0.16511642932891846,0.005213698372244835,0.014339652392663993,0.036007240414619446,0.004669158086813913,0.0007400522873693957,0.005411181509815328,0.00073193697899881,5.0
r1-L,1,L,902016,69.96710381562531,0.913856029510498,9.008,1.2383552940232414,0.45666666666666667,0.009,,,,,,,,,,,,
r1-E,1,E,902016,84.27017625416671,1.0431337356567383,9.008,0.8343785676956177,0.6758333333333334,0.072,0.3632167875766754,0.5368503332138062,0.9060690402984619,0.19511951506137848,0.005265052430331707,0.016621460854366887,0.0337892547249794,0.0036899431931220706,0.0004004269281152219,0.012010377469946341,0.0010511804740408511,6.0
r2-L,2,L,902016,67.04338040625035,0.913611888885498,8.941,0.7165889191286905,0.7306666666666667,0.122,,,,,,,,,,,,
r2-E,2,E,902016,84.14675734999832,1.0426454544067383,8.941,0.7858240938186645,0.7005000000000001,0.08900000000000001,0.4214307963848114,0.7188079953193665,0.9052128791809082,0.20281562209129333,0.005291857291013002,0.024407500202263083,0.035554416477680206,0.0024848111676884126,0.00028234563283778487,0.016501081101785824,0.0007017460757962069,6.0
