run,task,row,mean_activity
r1-E,REVERSE_ROTATE,7,1.482239842414856
r1-E,REVERSE_INC,0,0.9780442118644714
r1-E,REVERSE_INC,1,0.029811592772603
r1-E,REVERSE_INC,2,0.1457292437553405
r1-E,REVERSE_INC,3,0.1359665691852569
r1-E,REVERSE_INC,4,0.1035453230142593
r1-E,REVERSE_INC,5,0.1760521531105041
r1-E,REVERSE_INC,6,0.0755570009350776
r1-E,REVERSE_INC,7,1.3552942276000977
r1-E,REVERSE_SWAP,0,1.0526045560836792
r1-E,REVERSE_SWAP,1,0.0191697068512439
r1-E,REVERSE_SWAP,2,0.1163478195667266
r1-E,REVERSE_SWAP,3,0.1100580245256424
r1-E,REVERSE_SWAP,4,0.1161165833473205
r1-E,REVERSE_SWAP,5,0.1131285354495048
r1-E,REVERSE_SWAP,6,0.0653546825051307
r1-E,REVERSE_SWAP,7,1.4072200059890747
r1-E,ROTATE_INC,0,0.7945936322212219
r1-E,ROTATE_INC,1,0.0341802388429641
r1-E,ROTATE_INC,2,0.1626785993576049
r1-E,ROTATE_INC,3,0.1480951309204101
r1-E,ROTATE_INC,4,0.1159368231892585
r1-E,ROTATE_INC,5,0.1913232207298278
r1-E,ROTATE_INC,6,0.0832037627696991
r1-E,ROTATE_INC,7,1.46998929977417
r1-E,ROTATE_SWAP,0,1.0622764825820925
r1-E,ROTATE_SWAP,1,0.0169418677687644
r1-E,ROTATE_SWAP,2,0.1105504930019378
r1-E,ROTATE_SWAP,3,0.1086788475513458
r1-E,ROTATE_SWAP,4,0.1151526048779487
r1-E,ROTATE_SWAP,5,0.1069213673472404
r1-E,ROTATE_SWAP,6,0.0650137141346931
r1-E,ROTATE_SWAP,7,1.414464235305786
r1-E,INC_SWAP,0,0.8837555646896362
r1-E,INC_SWAP,1,0.0330570824444294
r1-E,INC_SWAP,2,0.1487828344106674
r1-E,INC_SWAP,3,0.1423196941614151
r1-E,INC_SWAP,4,0.1104575917124748
r1-E,INC_SWAP,5,0.1850422620773315
r1-E,INC_SWAP,6,0.0766993090510368
r1-E,INC_SWAP,7,1.419885754585266
r2-E,REVERSE,0,1.597467303276062
r2-E,REVERSE,1,0.3605475127696991
r2-E,REVERSE,2,0.1794739514589309
r2-E,REVERSE,3,0.1803863197565078
r2-E,REVERSE,4,0.1591242253780365
r2-E,REVERSE,5,0.1835459172725677
r2-E,REVERSE,6,0.2301091253757476
r2-E,REVERSE,7,0.1093457341194152
r2-E,ROTATE,0,1.4455970525741575
r2-E,ROTATE,1,0.3991727530956268
r2-E,ROTATE,2,0.216708242893219
r2-E,ROTATE,3,0.2161290943622589
r2-E,ROTATE,4,0.1770734935998916
r2-E,ROTATE,5,0.1891455203294754
r2-E,ROTATE,6,0.2395222336053848
r2-E,ROTATE,7,0.1166514679789543
r2-E,INC,0,1.6280381679534912
r2-E,INC,1,0.3298790752887726
r2-E,INC,2,0.1986334472894668
r2-E,INC,3,0.1395369172096252
r2-E,INC,4,0.1549695283174514
r2-E,INC,5,0.1803327202796936
r2-E,INC,6,0.250261127948761
r2-E,INC,7,0.1183488816022872
r2-E,SWAP,0,1.471339225769043
r2-E,SWAP,1,0.4052916765213012
r2-E,SWAP,2,0.2005405873060226
r2-E,SWAP,3,0.2131251394748687
r2-E,SWAP,4,0.1669973134994506
r2-E,SWAP,5,0.186190664768219
r2-E,SWAP,6,0.2386899590492248
r2-E,SWAP,7,0.1178255453705787
r2-E,REVERSE_ROTATE,0,1.421961545944214
r2-E,REVERSE_ROTATE,1,0.4060174226760864
r2-E,REVERSE_ROTATE,2,0.2288003861904144
r2-E,REVERSE_ROTATE,3,0.2109197378158569
r2-E,REVERSE_ROTATE,4,0.1831132173538208
r2-E,REVERSE_ROTATE,5,0.1954511404037475
r2-E,REVERSE_ROTATE,6,0.2369220107793808
r2-E,REVERSE_ROTATE,7,0.1168145909905433
r2-E,REVERSE_INC,0,1.568345308303833
r2-E,REVERSE_INC,1,0.3383515477180481
r2-E,REVERSE_INC,2,0.2002917528152465
r2-E,REVERSE_INC,3,0.1452411711215973
r2-E,REVERSE_INC,4,0.1719439327716827
r2-E,REVERSE_INC,5,0.1838453263044357
r2-E,REVERSE_INC,6,0.2698436975479126
r2-E,REVERSE_INC,7,0.1221376881003379
r2-E,REVERSE_SWAP,0,1.5953750610351562
r2-E,REVERSE_SWAP,1,0.3814266324043274
r2-E,REVERSE_SWAP,2,0.1786143630743026
r2-E,REVERSE_SWAP,3,0.1799131780862808
r2-E,REVERSE_SWAP,4,0.1563548892736435
r2-E,REVERSE_SWAP,5,0.1825009137392044
r2-E,REVERSE_SWAP,6,0.2195076048374176
r2-E,REVERSE_SWAP,7,0.1063077673316001
r2-E,ROTATE_INC,0,1.498897910118103
r2-E,ROTATE_INC,1,0.331254243850708
r2-E,ROTATE_INC,2,0.2164653837680816
r2-E,ROTATE_INC,3,0.161124438047409
r2-E,ROTATE_INC,4,0.1750631332397461
r2-E,ROTATE_INC,5,0.1981353610754013
r2-E,ROTATE_INC,6,0.287881851196289
r2-E,ROTATE_INC,7,0.1311778873205185
r2-E,ROTATE_SWAP,0,1.5444228649139404
r2-E,ROTATE_SWAP,1,0.4006657302379608
r2-E,ROTATE_SWAP,2,0.1862446069717407
r2-E,ROTATE_SWAP,3,0.1933545619249344
r2-E,ROTATE_SWAP,4,0.1616597324609756
r2-E,ROTATE_SWAP,5,0.1833676397800445
r2-E,ROTATE_SWAP,6,0.2233331501483917
r2-E,ROTATE_SWAP,7,0.1069517731666565
r2-E,INC_SWAP,0,1.5797560214996338
r2-E,INC_SWAP,1,0.3726533055305481
r2-E,INC_SWAP,2,0.1829078048467636
r2-E,INC_SWAP,3,0.1342379450798034
r2-E,INC_SWAP,4,0.1467606127262115
r2-E,INC_SWAP,5,0.1859594881534576
r2-E,INC_SWAP,6,0.2712744474411011
r2-E,INC_SWAP,7,0.1264505982398986
