run,row,task,baseline_nll,ablated_nll,delta_nll
r0-E,1,REVERSE,1.0543746812003,1.5494033425194875,0.4950286613191879
r0-E,1,ROTATE,0.9180463443483624,1.5289576966421945,0.610911352293832
r0-E,1,INC,1.263149230139596,1.9304075295584544,0.6672582994188581
r0-E,1,SWAP,1.043289645739964,1.5449473360606605,0.5016576903206962
r0-E,1,REVERSE_ROTATE,1.1965364170074464,1.694173652103969,0.4976372350965226
r0-E,1,REVERSE_INC,1.1869561086382183,1.9398531409672328,0.7528970323290143
r0-E,1,REVERSE_SWAP,1.17820839541299,1.6715028973988124,0.4932945019858223
r0-E,1,ROTATE_INC,1.0215113612583706,1.8605965157917568,0.8390851545333862
r0-E,1,ROTATE_SWAP,1.1810889904839652,1.5998929936545236,0.4188040031705584
r0-E,1,INC_SWAP,0.9407394531794956,1.7697006416320802,0.8289611884525845
r0-E,2,REVERSE,1.0543746812003,1.065514213017055,0.011139531816755
r0-E,2,ROTATE,0.9180463443483624,0.9309894139426096,0.0129430695942469
r0-E,2,INC,1.263149230139596,1.2583296816689626,-0.0048195484706334
r0-E,2,SWAP,1.043289645739964,1.0452003022602627,0.0019106565202986
r0-E,2,REVERSE_ROTATE,1.1965364170074464,1.217340875353132,0.0208044583456856
r0-E,2,REVERSE_INC,1.1869561086382183,1.1989629697799682,0.0120068611417496
r0-E,2,REVERSE_SWAP,1.17820839541299,1.199838010924203,0.021629615511213
r0-E,2,ROTATE_INC,1.0215113612583706,1.0318076481137957,0.010296286855425
r0-E,2,ROTATE_SWAP,1.1810889904839652,1.1859007930755616,0.0048118025915964
r0-E,2,INC_SWAP,0.9407394531794956,0.9480302401951382,0.0072907870156424
r0-E,3,REVERSE,1.0543746812003,1.0726922859464374,0.0183176047461375
r0-E,3,ROTATE,0.9180463443483624,0.9380337204251972,0.0199873760768345
r0-E,3,INC,1.263149230139596,1.256938398224967,-0.0062108319146292
r0-E,3,SWAP,1.043289645739964,1.037425122261047,-0.0058645234789167
r0-E,3,REVERSE_ROTATE,1.1965364170074464,1.2256581449508668,0.0291217279434203
r0-E,3,REVERSE_INC,1.1869561086382183,1.1970360980715071,0.0100799894332885
r0-E,3,REVERSE_SWAP,1.17820839541299,1.1988023328781128,0.0205939374651227
r0-E,3,ROTATE_INC,1.0215113612583706,1.0309212745938985,0.0094099133355276
r0-E,3,ROTATE_SWAP,1.1810889904839652,1.1927238355364118,0.0116348450524466
r0-E,3,INC_SWAP,0.9407394531794956,0.9553587688718524,0.0146193156923566
r0-E,4,REVERSE,1.0543746812003,1.0679714250564576,0.0135967438561577
r0-E,4,ROTATE,0.9180463443483624,0.9306990620068142,0.0126527176584516
r0-E,4,INC,1.263149230139596,1.2594541249956404,-0.0036951051439557
r0-E,4,SWAP,1.043289645739964,1.0457762602397374,0.0024866144997732
r0-E,4,REVERSE_ROTATE,1.1965364170074464,1.2203998265947615,0.0238634095873151
r0-E,4,REVERSE_INC,1.1869561086382183,1.1931199182782857,0.0061638096400669
r0-E,4,REVERSE_SWAP,1.17820839541299,1.2030230985369,0.02481470312391
r0-E,4,ROTATE_INC,1.0215113612583706,1.0280909763063704,0.0065796150479997
r0-E,4,ROTATE_SWAP,1.1810889904839652,1.1844958550589426,0.0034068645749774
r0-E,4,INC_SWAP,0.9407394531794956,0.945887588092259,0.0051481349127633
r0-E,5,REVERSE,1.0543746812003,1.060042289325169,0.0056676081248692
r0-E,5,ROTATE,0.9180463443483624,0.9249579644203186,0.0069116200719561
r0-E,5,INC,1.263149230139596,1.262789964675903,-0.0003592654636928
r0-E,5,SWAP,1.043289645739964,1.043775953565325,0.0004863078253609
r0-E,5,REVERSE_ROTATE,1.1965364170074464,1.2153553887775963,0.0188189717701501
r0-E,5,REVERSE_INC,1.1869561086382183,1.189197084563119,0.0022409759249004
r0-E,5,REVERSE_SWAP,1.17820839541299,1.1943604019709997,0.0161520065580096
r0-E,5,ROTATE_INC,1.0215113612583706,1.0239078957693917,0.002396534511021
r0-E,5,ROTATE_SWAP,1.1810889904839652,1.1858992331368583,0.004810242652893
r0-E,5,INC_SWAP,0.9407394531794956,0.94389411176954,0.0031546585900442
r0-E,6,REVERSE,1.0543746812003,1.0849121529715402,0.0305374717712403
r0-E,6,ROTATE,0.9180463443483624,0.9587312425885882,0.0406848982402257
r0-E,6,INC,1.263149230139596,1.2626049212047032,-0.0005443089348928
r0-E,6,SWAP,1.043289645739964,1.0390728861945016,-0.0042167595454625
r0-E,6,REVERSE_ROTATE,1.1965364170074464,1.2429071603502546,0.0463707433428082
r0-E,6,REVERSE_INC,1.1869561086382183,1.186135414668492,-0.0008206939697266
r0-E,6,REVERSE_SWAP,1.17820839541299,1.211828795841762,0.0336204004287719
r0-E,6,ROTATE_INC,1.0215113612583706,1.0305419983182635,0.0090306370598929
r0-E,6,ROTATE_SWAP,1.1810889904839652,1.2020105975014823,0.0209216070175171
r0-E,6,INC_SWAP,0.9407394531794956,0.9617521565301078,0.0210127033506121
r0-E,7,REVERSE,1.0543746812003,1.0550105701174055,0.0006358889171056
r0-E,7,ROTATE,0.9180463443483624,0.924583351271493,0.0065370069231305
r0-E,7,INC,1.263149230139596,1.3029236575535366,0.0397744274139404
r0-E,7,SWAP,1.043289645739964,1.0390654516220093,-0.0042241941179548
r0-E,7,REVERSE_ROTATE,1.1965364170074464,1.2276620755876813,0.0311256585802348
r0-E,7,REVERSE_INC,1.1869561086382183,1.1745146901266916,-0.0124414185115269
r0-E,7,REVERSE_SWAP,1.17820839541299,1.1869161312920706,0.0087077358790805
r0-E,7,ROTATE_INC,1.0215113612583706,1.0314508901323591,0.0099395288739885
r0-E,7,ROTATE_SWAP,1.1810889904839652,1.2022799151284354,0.0211909246444701
r0-E,7,INC_SWAP,0.9407394531794956,0.9553288807187762,0.0145894275392804
r1-E,1,REVERSE,0.8513736987113952,1.338545321055821,0.4871716223444257
r1-E,1,ROTATE,0.6586214876174927,1.2353613213130406,0.5767398336955478
r1-E,1,INC,1.15232777765819,1.6250034734180996,0.4726756957599096
r1-E,1,SWAP,0.7086138960293361,1.3466306046077183,0.6380167085783822
r1-E,1,REVERSE_ROTATE,0.9316229254858834,1.325542263303484,0.3939193378176007
r1-E,1,REVERSE_INC,0.8725099972316197,1.642561401639666,0.7700514044080462
r1-E,1,REVERSE_SWAP,0.7567580699920654,1.223992533002581,0.4672344630105155
r1-E,1,ROTATE_INC,0.817854848248618,1.4869334411621091,0.6690785929134914
r1-E,1,ROTATE_SWAP,0.8776079712595258,1.220179399081639,0.3425714278221131
r1-E,1,INC_SWAP,0.7164950047220503,1.4424936008453368,0.7259985961232865
r1-E,2,REVERSE,0.8513736987113952,0.8876664066314697,0.0362927079200744
r1-E,2,ROTATE,0.6586214876174927,0.6598869575772967,0.0012654699598039
r1-E,2,INC,1.15232777765819,1.1870317193440028,0.0347039416858128
r1-E,2,SWAP,0.7086138960293361,0.741117935180664,0.0325040391513279
r1-E,2,REVERSE_ROTATE,0.9316229254858834,0.956138550554003,0.0245156250681195
r1-E,2,REVERSE_INC,0.8725099972316197,0.890121557371957,0.0176115601403372
r1-E,2,REVERSE_SWAP,0.7567580699920654,0.7677101094382149,0.0109520394461495
r1-E,2,ROTATE_INC,0.817854848248618,0.8238678165844509,0.0060129683358328
r1-E,2,ROTATE_SWAP,0.8776079712595258,0.8992052030563354,0.0215972317968096
r1-E,2,INC_SWAP,0.7164950047220503,0.7265989249093192,0.0101039201872689
r1-E,3,REVERSE,0.8513736987113952,0.8803047347068786,0.0289310359954834
r1-E,3,ROTATE,0.6586214876174927,0.6617043771062578,0.0030828894887651
r1-E,3,INC,1.15232777765819,1.1686450678961615,0.0163172902379717
r1-E,3,SWAP,0.7086138960293361,0.7342029993874686,0.0255891033581324
r1-E,3,REVERSE_ROTATE,0.9316229254858834,0.950086761542729,0.0184638360568455
r1-E,3,REVERSE_INC,0.8725099972316197,0.8825383857318333,0.0100283885002135
r1-E,3,REVERSE_SWAP,0.7567580699920654,0.7632734063693455,0.00651533637728
r1-E,3,ROTATE_INC,0.817854848248618,0.8285396753038679,0.0106848270552498
r1-E,3,ROTATE_SWAP,0.8776079712595258,0.8941750853402274,0.0165671140807015
r1-E,3,INC_SWAP,0.7164950047220503,0.7294590636662075,0.0129640589441571
r1-E,4,REVERSE,0.8513736987113952,0.8864540072849819,0.0350803085735866
r1-E,4,ROTATE,0.6586214876174927,0.662316644191742,0.0036951565742492
r1-E,4,INC,1.15232777765819,1.1877120195116315,0.0353842418534415
