run,row,mean_activity
r0-E,0,2.125685453414917
r0-E,1,0.2977410554885864
r0-E,2,0.1412107497453689
r0-E,3,0.0844525396823883
r0-E,4,0.1085553616285324
r0-E,5,0.0984508991241455
r0-E,6,0.0592582188546657
r0-E,7,0.0846452414989471
r1-E,0,0.9664294719696044
r1-E,1,0.0244948733597993
r1-E,2,0.1308731883764267
r1-E,3,0.1218826919794082
r1-E,4,0.1152576655149459
r1-E,5,0.1418387591838836
r1-E,6,0.072201520204544
r1-E,7,1.4270224571228027
r2-E,0,1.535119891166687
r2-E,1,0.3725257813930511
r2-E,2,0.1988680809736251
r2-E,3,0.1773968935012817
r2-E,4,0.1653060466051101
r2-E,5,0.1868474632501602
r2-E,6,0.2467346489429474
r2-E,7,0.1172012388706207
