run,evolution_step,reaction_rms,local_diffusion_rms,plastic_diffusion_rms,plastic_to_reaction,state_residual,activity_entropy,plastic_entropy,plastic_tv,mean_plastic_strength,activity_r0,plastic_strength_r0,activity_r1,plastic_strength_r1,activity_r2,plastic_strength_r2,activity_r3,plastic_strength_r3,activity_r4,plastic_strength_r4,activity_r5,plastic_strength_r5,activity_r6,plastic_strength_r6,activity_r7,plastic_strength_r7
r0-E,1,0.0382153913378715,0.0072833816520869,1.9524688468663957e-05,0.0005109116318635,0.2516016066074371,0.8975058197975159,0.9979248642921448,0.027664678171277,0.0001798367302399,1.1309912204742432,0.0006349296309053,0.2492739409208297,1.410377626598347e-05,0.2528506517410278,6.026581104379147e-05,0.2439429014921188,2.164323632314336e-05,0.2596696615219116,5.491531192092225e-05,0.2399436086416244,2.768785816442687e-05,0.2534006834030151,2.891193798859604e-05,0.3699274957180023,0.0005962363211438
r0-E,2,0.0186194125562906,0.0065740784630179,4.807320146937855e-05,0.0025818860158324,0.1037930250167846,0.7453147172927856,0.9942435026168824,0.0452015176415443,0.0005984172457829,1.92337167263031,0.0021534024272114,0.1135618090629577,3.942292823921889e-05,0.1253061890602111,0.0001172089032479,0.1043729707598686,8.2122023741249e-05,0.1629300713539123,0.0001222092105308,0.0942984744906425,4.537676795735024e-05,0.1271796524524688,4.483691009227186e-05,0.3489792346954345,0.0021827586460858
r0-E,3,0.0173301547765731,0.0062480331398546,7.07059953128919e-05,0.0040799402631819,0.0775333493947982,0.8349563479423523,0.9912698864936828,0.0587817430496215,0.0009061915334314,1.5796068906784058,0.0022886358201503,0.1712862253189087,6.924390618223697e-05,0.2012355923652649,0.0002682455524336,0.1283330172300338,0.0002210939856013,0.3164633810520172,0.0005576073308475,0.1688132435083389,0.0001498330238973,0.2546223700046539,0.0002064170548692,0.1796391159296035,0.0034884554333984
r0-E,4,0.0169534720480442,0.005905186291784,9.764066635398194e-05,0.0057593313977122,0.0828951448202133,0.8852941989898682,0.9857123494148254,0.080867975950241,0.0013594988267868,1.0148959159851074,0.0021840021945536,0.2190526723861694,0.0001354645937681,0.305625170469284,0.0008087132009677,0.1558214277029037,0.0003956974833272,0.5104015469551086,0.0016452242853119,0.2929696142673492,0.0006491439999081,0.4249928295612335,0.0008217083523049,0.0762408673763275,0.0042360359802842
r0-E,5,0.0170728825032711,0.0055522741749882,0.0001205830994877,0.0070628435350954,0.1046834290027618,0.7425212860107422,0.9815227389335632,0.0921776592731475,0.0016308326739817,1.8861490488052368,0.0025343794841319,0.1489917039871215,0.0001773016847437,0.1658814400434494,0.000999026466161,0.1667500585317611,0.0004987748106941,0.2724940180778503,0.0020973968785256,0.1260017901659011,0.0007698476547375,0.1766610294580459,0.0008949404000304,0.0570712424814701,0.0050749937072396
r0-E,6,0.015439954586327,0.0053217373788356,0.0001477237965445,0.0095676314085721,0.0857214853167533,0.5431488752365112,0.9770170450210572,0.1035853177309036,0.0019222383853048,2.270315408706665,0.0026333041023463,0.0950978249311447,0.0002364337124163,0.0998679548501968,0.0013571399031206,0.2448917478322982,0.0010009120451286,0.1334074437618255,0.0025690179318189,0.0512651801109313,0.0008976096869446,0.0724623799324035,0.0010621154215186,0.0326920598745346,0.0056213745847344
r0-E,7,0.0131071154028177,0.005184571724385,0.000178489004611,0.0136177185922861,0.0633505433797836,0.4778801202774048,0.9719217419624328,0.1148220151662826,0.0023242880124598,1.8660452365875244,0.0029750633984804,0.1214462295174598,0.0003617578186094,0.1162728816270828,0.0016679468099027,0.6002364158630371,0.0017073166090995,0.1359830349683761,0.003234347095713,0.0466936528682708,0.0010460508055984,0.0761077627539634,0.0012636720202863,0.0372149720788002,0.0063381502404809
r0-E,8,0.012516988441348,0.0050621833652257,0.0002190814120694,0.0175027251243591,0.0622151382267475,0.5167815089225769,0.9651774168014526,0.1275635063648224,0.0027284556999802,1.0181347131729126,0.003175277961418,0.1828749775886535,0.0007227578316815,0.1138441711664199,0.0019523982191458,1.405097723007202,0.0028853809926658,0.1165541857481002,0.0035903281532227,0.0483302399516105,0.0011936557712033,0.0751917734742164,0.0014078610111027,0.0399723798036575,0.0068999854847788
r0-E,9,0.0133604304865002,0.0049338671378791,0.0002679350145626,0.0200543701648712,0.0721984058618545,0.5468831062316895,0.9582446217536926,0.1386144608259201,0.0033959702122956,1.982643485069275,0.0039351466111838,0.1324202865362167,0.001134805730544,0.0744651034474372,0.0021787914447486,0.6301323175430298,0.0052753230556845,0.0695807188749313,0.0042527290061116,0.0382017083466053,0.0014263347256928,0.0454251207411289,0.0015876166289672,0.027131425216794,0.0073770149610936
r0-E,10,0.0124736288562417,0.0048190611414611,0.000315023411531,0.0252551529556512,0.064913123846054,0.5213038325309753,0.9516128897666932,0.148420825600624,0.0040575098246335,2.5680387020111084,0.0050272126682102,0.0752892792224884,0.0013366152998059,0.0485885292291641,0.0024458060506731,0.1921094506978988,0.0074532674625515,0.0397444628179073,0.0048599387519061,0.0335778929293155,0.0016851372784003,0.0217837709933519,0.0017535219667479,0.0208678040653467,0.0078985793516039
r0-E,11,0.0117942355573177,0.0047318506985902,0.000355175230652,0.0301143061369657,0.0550495460629463,0.5121404528617859,0.945823848247528,0.1566646248102188,0.0046386178582906,2.5753729343414307,0.0059017483144998,0.1258342415094375,0.0014205729821696,0.0629827082157135,0.0027962797321379,0.0792373046278953,0.0090057337656617,0.0511119440197944,0.0055431830696761,0.0440859384834766,0.0019634240306913,0.0256198029965162,0.001992235193029,0.0357550829648971,0.0084857642650604
r0-E,12,0.0109153278172016,0.0046466458588838,0.0003926135541405,0.0359690114855766,0.0507354997098445,0.5903581380844116,0.9400477409362792,0.1651164293289184,0.0052136983722448,2.125685691833496,0.0066026458516716,0.2977413237094879,0.0014880753587931,0.1412107646465301,0.0031952136196196,0.0844525322318077,0.0104091931134462,0.1085552796721458,0.0063350447453558,0.0984509512782096,0.0023592552170157,0.0592582747340202,0.0023248100187629,0.0846452862024307,0.0089953485876321
r1-E,1,0.0303103495389223,0.0072819022461771,6.34606249150238e-06,0.0002093694929499,0.1854235231876373,0.8949981927871704,0.9993093013763428,0.018036751076579,7.041796197881922e-05,1.148455023765564,0.0001927749835886,0.2852324843406677,3.816393291344866e-05,0.2591896057128906,4.033660297864117e-05,0.255985289812088,3.104901406913996e-05,0.2661500573158264,4.529339639702812e-05,0.2393784075975418,1.0809801096911542e-05,0.2677215337753296,5.844217230333015e-05,0.277887761592865,0.0001464737870264
r1-E,2,0.0208812616765499,0.0067537683062255,1.925340802699793e-05,0.000922042352613,0.1067502349615097,0.678325891494751,0.9977652430534364,0.0314327850937843,0.0002240636385977,2.0633487701416016,0.0006194068701006,0.1718153953552246,0.0001186794106615,0.1221434324979782,8.036330109462142e-05,0.1247742548584938,0.0001181517291115,0.1328635364770889,0.0001000025440589,0.1026644334197044,2.8670145184150897e-05,0.1462173759937286,0.0001903833617689,0.1361729949712753,0.0005368517013266
r1-E,3,0.0180154126137495,0.006450324319303,3.5144803405273706e-05,0.0019508186960592,0.0766623839735984,0.8067601323127747,0.9957428574562072,0.0425596609711647,0.0003791131312027,1.5372225046157837,0.0008322332287207,0.1945877522230148,0.0001891639985842,0.2826029360294342,0.0002610736119095,0.1299432963132858,0.0001852459390647,0.3963387310504913,0.0003098409506492,0.160147562623024,5.593862078967504e-05,0.1753624230623245,0.0003077680885326,0.1237947642803192,0.0008916404331102
