replicate,arm,tokens,phase,ppl,nll,fixed4_ppl,clm01_start_ppl,textnca_frozen_ppl,ppl_vs_fixed4,ppl_vs_clm01,ppl_vs_textnca,health
0,fixed4,100000,saturation_search,16.304343819942776,2.7914315643310545,16.304343819942776,,,1.0,1.0831608050461665,1.0505347700154926,YELLOW
0,fixed4,200000,saturation_search,16.39751737581526,2.7971299438476565,16.39751737581526,,,1.0,1.0893506857860715,1.0565382045094522,YELLOW
0,fixed4,300000,saturation_search,15.841544729049813,2.762635902404785,15.841544729049813,,,1.0,1.052415266225211,1.0207153217823206,YELLOW
0,fixed4,400000,saturation_search,15.81331964019909,2.7608526000976563,15.81331964019909,,,1.0,1.050540164086807,1.0188966998523665,YELLOW
0,fixed4,500000,saturation_search,15.716028245477116,2.754681098937988,15.716028245477116,,,1.0,1.0440767193388978,1.012627941409373,YELLOW
0,fixed4,600000,saturation_search,15.469125558452827,2.7388461380004885,15.469125558452827,,,1.0,1.0276740160962088,0.9967193062386643,GREEN
0,fixed4,700000,saturation_search,15.105255539490553,2.7150427322387696,15.105255539490553,,,1.0,1.0035007192727416,0.9732741366012022,GREEN
0,fixed4,800000,saturation_search,15.078178492676235,2.7132485656738283,15.078178492676235,,,1.0,1.0017018860201088,0.9715294862514601,GREEN
0,fixed4,900000,saturation_search,14.808220482816557,2.6951824645996094,14.808220482816557,,,1.0,0.9837675282491074,0.9541353317283636,GREEN
0,fixed4,1000000,saturation_search,14.815307465147967,2.695660934448242,14.815307465147967,,,1.0,0.9842383439760212,0.9545919659502528,GREEN
0,fixed4,1100000,saturation_search,14.71799013549359,2.6890705642700197,14.71799013549359,,,1.0,0.9777731762699499,0.9483215364465561,GREEN
0,fixed4,1200000,saturation_search,14.464382262864925,2.6716892318725587,14.464382262864925,,,1.0,0.9609250215379261,0.9319808672918616,GREEN
0,fixed4,1300000,saturation_search,14.261781156739538,2.6575833129882813,14.261781156739538,,,1.0,0.9474654441616446,0.9189267076900516,GREEN
0,fixed4,1400000,saturation_search,14.185831905393483,2.652243713378906,14.185831905393483,,,1.0,0.9424198407850755,0.9140330836241702,GREEN
0,fixed4,1500000,saturation_search,14.302549894827582,2.6604378356933593,14.302549894827582,,,1.0,0.9501738695761128,0.9215535522514843,GREEN
0,fixed4,1600000,saturation_search,13.935321433447816,2.634426727294922,13.935321433447816,,,1.0,0.9257774583953428,0.8978919887148482,GREEN
0,fixed4,1700000,saturation_search,13.793371680343496,2.6241881637573243,13.793371680343496,,,1.0,0.9163471856688491,0.8887457665253479,GREEN
0,fixed4,1800000,saturation_search,13.857271910271649,2.6288101425170898,13.857271910271649,,,1.0,0.9205923258140756,0.8928630382225627,GREEN
0,fixed4,1900000,saturation_search,13.731699722430937,2.6197070083618166,13.731699722430937,,,1.0,0.9122500782771593,0.884772068666816,GREEN
0,fixed4,2000000,saturation_search,13.630128440987546,2.612282669067383,13.630128440987546,,,1.0,0.9055023040525244,0.8782275450742262,GREEN
