model,step,consumed_tokens,train_loss,learning_rate,grad_norm,elapsed_seconds,tokens_per_second,validation_nll,validation_ppl,validation_tokens
ln-c0-a0,125,125000,6.014060497283936,0.0002799038105676,0.9271677136421204,5.4465368070000295,22950.363585048537,5.959204435348511,387.3018779555615,24576
ln-c0-a0,250,250000,5.785134792327881,0.00017604722665,0.7123361825942993,11.487991523999996,21761.854496298645,5.744792540868123,312.5587779307051,24576
ln-c0-a0,500,500000,5.585024356842041,0.0,0.7930358648300171,21.53552405100004,23217.452188110638,5.539931257565816,254.66049287466825,24576
rms-c0-a0,125,125000,6.022519588470459,0.0002799038105676,3.521951913833618,6.51050731600003,19199.73266796025,5.960594018300374,387.8404401441501,24576
rms-c0-a0,250,250000,5.699441432952881,0.00017604722665,1.0463281869888306,13.913958499000046,17967.56832485642,5.667699178059896,289.36798367292505,24576
rms-c0-a0,500,500000,5.497806549072266,0.0,1.0811117887496948,25.56434953200005,19558.48707881761,5.4659725824991865,236.5057646553977,24576
ln-c2-a0,125,125000,5.777107238769531,0.0002799038105676,0.7656761407852173,4.724786004000009,26456.22466164073,5.726095676422119,306.7692009518541,24576
ln-c2-a0,250,250000,5.1363935470581055,0.00017604722665,1.445840835571289,11.375821699000028,21976.434460288336,5.130654414494832,169.127761496201,24576
ln-c2-a0,500,500000,4.970960140228272,0.0,1.45289146900177,21.502389855000047,23253.22921645999,4.861400862534841,129.2050739369041,24576
ln-c0-aux,125,125000,7.793412685394287,0.0002799038105676,1.014957070350647,5.225715276000017,23920.170426062763,5.930977821350098,376.5225056250914,24576
ln-c0-aux,250,250000,7.295046806335449,0.00017604722665,2.88724136352539,12.467497311000043,20052.13987729723,5.575033505757649,263.7583929136793,24576
ln-c0-aux,500,500000,7.011465072631836,0.0,1.7476253509521484,22.517391812000028,22205.05839106724,5.352620561917623,211.16093374360412,24576
rms-c2-a0,125,125000,5.780550956726074,0.0002799038105676,0.7817623019218445,6.1335603390000415,20379.68049408296,5.727801720301311,307.2930093624798,24576
rms-c2-a0,250,250000,5.134502410888672,0.00017604722665,1.5412249565124512,14.011096715000008,17843.000093800998,5.130548973878224,169.10992950086816,24576
rms-c2-a0,500,500000,4.974889755249023,0.0,1.441442608833313,26.683709373,18738.024500668813,4.865492165088654,129.73477382825064,24576
rms-c0-aux,125,125000,7.7958173751831055,0.0002799038105676,1.0254515409469604,6.308684753000023,19813.955664935973,5.933233737945557,377.3728678065378,24576
rms-c0-aux,250,250000,7.291985034942627,0.00017604722665,2.545321226119995,14.703855039000018,17002.343898039548,5.561446348826091,260.1989026732617,24576
rms-c0-aux,500,500000,7.031577110290527,0.0,1.8129431009292605,27.18168109200002,18394.74160217256,5.352249105771382,211.08251128307347,24576
ln-c2-aux,125,125000,7.59738826751709,0.0002799038105676,1.1225868463516235,4.940993407000008,25298.556323291166,5.789856831232707,326.9662096756638,24576
ln-c2-aux,250,250000,6.807027339935303,0.00017604722665,1.6198896169662476,11.144788549999989,22432.009264096832,5.214459717273712,183.9124294235267,24576
ln-c2-aux,500,500000,6.560212135314941,0.0,1.7465606927871704,21.75910448100001,22978.886857986214,4.9453772107760114,140.5238479650156,24576
rms-c2-aux,125,125000,7.601484775543213,0.0002799038105676,1.1313161849975586,6.0251054149999845,20746.52498009453,5.796898206075032,329.2766260265014,24576
rms-c2-aux,250,250000,6.808455467224121,0.00017604722665,1.4980368614196775,13.797140667999996,18119.696393313603,5.216636260350545,184.3131586925909,24576
rms-c2-aux,500,500000,6.560415744781494,0.0,1.7547919750213623,27.044179423000003,18488.266631405717,4.946956594785054,140.7459644408141,24576
