name,rms_norm,carry_bias,auxiliary_loss,parameters,ppl_125k,ppl_250k,validation_nll,validation_ppl,learning_slope_alpha,elapsed_seconds,tokens_per_second,peak_vram_bytes
ln-c0-a0,False,False,False,1170816,387.3018779555615,312.5587779307051,5.539931257565816,254.66049287466822,0.05262583323647584,22.629481716000043,22095.0707698479,157502464
rms-c0-a0,True,False,False,1169920,387.84044014415014,289.36798367292505,5.4659725824991865,236.50576465539774,0.06248894502879433,26.172332222000023,19104.143863026024,170213888
ln-c2-a0,False,True,False,1170816,306.7692009518541,169.127761496201,4.861400862534841,129.2050739369041,0.11808983759123896,23.13449011700004,21612.75210611114,157502464
ln-c0-aux,False,False,True,1170816,376.5225056250914,263.7583929136793,5.352620561917623,211.16093374360415,0.07401229539804524,23.825497813000027,20985.920375069036,193028608
rms-c2-a0,True,True,False,1169920,307.2930093624798,169.10992950086816,4.865492165088654,129.73477382825064,0.11769790225426505,28.44240413900002,17579.385960359225,170213888
rms-c0-aux,True,False,True,1169920,377.3728678065378,260.1989026732617,5.352249105771382,211.08251128307347,0.07433667731063687,28.923163531,17287.182277419182,206247936
ln-c2-aux,False,True,True,1170816,326.9662096756638,183.9124294235267,4.9453772107760114,140.5238479650156,0.11372355351331563,23.531899289000023,21247.753692101036,193028608
rms-c2-aux,True,True,True,1169920,329.2766260265014,184.3131586925909,4.946956594785054,140.7459644408141,0.11436995542332326,29.121083530999954,17169.690800403783,206247936
