term,label,order,effect_nll,abs_effect_nll,ppl_multiplier,ppl_percent_effect,direction
A,Aux stage loss,1,-0.03389834860960672,0.03389834860960672,0.966669762968831,-3.3330237031168997,improves
C,Carry bias +2,1,-0.5228866686423617,0.5228866686423617,0.5928068387924094,-40.71931612075906,improves
R,RMSNorm,1,-0.01716486116250371,0.01716486116250371,0.9829816157839492,-1.7018384216050841,improves
CA,Carry × Aux,2,0.11661873757839247,0.11661873757839247,1.1236909268857962,12.36909268857962,worsens
RA,RMSNorm × Aux,2,0.01776882509390476,0.01776882509390476,1.017927629863491,1.7927629863490946,worsens
RC,RMSNorm × Carry,2,0.020000204443931358,0.020000204443931358,1.0202015486007499,2.0201548600749852,worsens
RCA,RMSNorm × Carry × Aux,3,-0.019024784366289627,0.019024784366289627,0.9811550446354459,-1.8844955364554106,improves
