replicate,input_family,candidate_family,candidate_kind,matching_family,full_value,best_value,best_recruitment,min_small_value,first_positive_recruitment,full_beneficial,activation_barrier,nonmonotonic
1,DELAY_COPY,DELAY_COPY,trained,1,1.240137567743659,1.240137567743659,1.0,0.0001920182257890534,0.0001,1,0,0
1,DELAY_COPY,LOCAL_RULE,trained,0,1.0951781198382378,1.0951781198382378,1.0,-0.0003632362931966879,0.001,1,0,1
1,DELAY_COPY,LOOKUP,trained,0,0.9162305481731892,0.9162305481731892,1.0,-0.0006025526672601752,0.003,1,0,1
1,DELAY_COPY,MOD_ADD,trained,0,1.2139657754451036,1.2139657754451036,1.0,0.0002016928046941583,0.0001,1,0,0
1,DELAY_COPY,PARITY,trained,0,0.4555809684097767,0.9833857510238886,0.5,-0.00019232928752900528,0.0003,1,0,1
1,DELAY_COPY,RANDOM,untrained-control,0,-0.0050703193992376,0.0,0.0,-0.000245571136474581,,0,0,0
1,DELAY_COPY,REVERSE_INC,trained,0,1.2154120802879333,1.2154120802879333,1.0,0.00019218400120733615,0.0001,1,0,0
1,LOCAL_RULE,DELAY_COPY,trained,0,1.1229974515736103,1.1229974515736103,1.0,-0.0012465175241231858,0.003,1,0,1
1,LOCAL_RULE,LOCAL_RULE,trained,1,1.0110146068036556,1.0110146068036556,1.0,-0.004150442779064159,0.003,1,0,1
1,LOCAL_RULE,LOOKUP,trained,0,0.7480380795896053,0.7480380795896053,1.0,-0.005254523828625663,0.01,1,0,1
1,LOCAL_RULE,MOD_ADD,trained,0,1.1191996168345213,1.1191996168345213,1.0,-0.0013982225209474507,0.003,1,0,1
1,LOCAL_RULE,PARITY,trained,0,0.2316182255744934,0.8908468168228865,0.5,-0.0037696324288844923,0.003,1,0,1
1,LOCAL_RULE,RANDOM,untrained-control,0,-0.004452364519238433,0.0,0.0,-0.0006831809878348967,,0,0,1
1,LOCAL_RULE,REVERSE_INC,trained,0,1.118377422913909,1.118377422913909,1.0,-0.001421760767698281,0.003,1,0,1
1,LOOKUP,DELAY_COPY,trained,0,1.9767953027039766,1.9767953027039766,1.0,-0.003996497020125379,0.003,1,0,1
1,LOOKUP,LOCAL_RULE,trained,0,1.8928109761327505,1.8928109761327505,1.0,-0.007811747491359699,0.01,1,0,1
1,LOOKUP,LOOKUP,trained,1,2.208201417699456,2.208201417699456,1.0,-0.008567431941628446,0.01,1,0,1
1,LOOKUP,MOD_ADD,trained,0,1.869710173457861,1.869710173457861,1.0,-0.004109783098101605,0.003,1,0,1
1,LOOKUP,PARITY,trained,0,1.9832220859825611,1.9832220859825611,1.0,-0.0067978668957948555,0.003,1,0,1
