replicate,input_family,candidate_family,candidate_kind,matching_family,recruitment,mean_value,median_value,positive_fraction,mean_loss
0,DELAY_COPY,DELAY_COPY,trained,1,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,DELAY_COPY,trained,1,0.0001,0.00037767365574832383,0.0003771781921386,0.98828125,8.468058668076992
0,DELAY_COPY,DELAY_COPY,trained,1,0.0003,0.0011243112385272527,0.0011177062988281,0.98828125,8.467312030494213
0,DELAY_COPY,DELAY_COPY,trained,1,0.001,0.0037112254649400243,0.0036959648132324,0.98828125,8.4647251162678
0,DELAY_COPY,DELAY_COPY,trained,1,0.003,0.01105611585080619,0.010944604873657199,0.9921875,8.457380225881934
0,DELAY_COPY,DELAY_COPY,trained,1,0.01,0.03657693974673744,0.03577733039855955,1.0,8.431859401986003
0,DELAY_COPY,DELAY_COPY,trained,1,0.02,0.07260587625205513,0.0705456733703613,1.0,8.395830465480685
0,DELAY_COPY,DELAY_COPY,trained,1,0.05,0.17928471975028512,0.17182016372680659,1.0,8.289151621982455
0,DELAY_COPY,DELAY_COPY,trained,1,0.1,0.3665949981659651,0.3711271286010742,0.98828125,8.101841343566775
0,DELAY_COPY,DELAY_COPY,trained,1,0.25,0.7355954088270664,0.6572909355163574,0.984375,7.732840932905674
0,DELAY_COPY,DELAY_COPY,trained,1,0.5,1.0351097024977207,0.8556983470916748,0.90234375,7.43332663923502
0,DELAY_COPY,DELAY_COPY,trained,1,1.0,1.237115828320384,0.8803596496582031,0.796875,7.231320513412356
0,DELAY_COPY,LOCAL_RULE,trained,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,LOCAL_RULE,trained,0,0.0001,0.00037163682281966375,0.0003719329833984,1.0,8.46806470490992
0,DELAY_COPY,LOCAL_RULE,trained,0,0.0003,0.0011068470776080628,0.0011038780212402001,0.99609375,8.467329494655132
0,DELAY_COPY,LOCAL_RULE,trained,0,0.001,0.0036540459841489328,0.0036385059356689,0.9921875,8.464782295748591
0,DELAY_COPY,LOCAL_RULE,trained,0,0.003,0.01088562794029708,0.0108017921447753,1.0,8.457550713792443
0,DELAY_COPY,LOCAL_RULE,trained,0,0.01,0.03601207584142681,0.03530454635620115,1.0,8.432424265891314
0,DELAY_COPY,LOCAL_RULE,trained,0,0.02,0.07147858291864391,0.0695109367370605,1.0,8.396957758814096
0,DELAY_COPY,LOCAL_RULE,trained,0,0.05,0.17636981420218942,0.16940069198608393,1.0,8.292066527530551
0,DELAY_COPY,LOCAL_RULE,trained,0,0.1,0.3605009224265814,0.3631551265716553,0.98828125,8.107935419306159
0,DELAY_COPY,LOCAL_RULE,trained,0,0.25,0.726484727114439,0.6502342224121094,0.984375,7.741951614618301
0,DELAY_COPY,LOCAL_RULE,trained,0,0.5,1.0256394743919373,0.8515365123748779,0.90625,7.442796867340803
0,DELAY_COPY,LOCAL_RULE,trained,0,1.0,1.236636221408844,0.8902490139007568,0.80859375,7.231800120323896
0,DELAY_COPY,LOOKUP,trained,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,LOOKUP,trained,0,0.0001,0.00015616603195663526,0.0001626014709472,0.96875,8.468280175700784
0,DELAY_COPY,LOOKUP,trained,0,0.0003,0.00045296736061568757,0.0004703998565673,0.96875,8.467983374372125
0,DELAY_COPY,LOOKUP,trained,0,0.001,0.0014577042311429535,0.0015144348144530998,0.96875,8.466978637501597
0,DELAY_COPY,LOOKUP,trained,0,0.003,0.0042826924473046805,0.0044479370117187,0.97265625,8.464153649285436
0,DELAY_COPY,LOOKUP,trained,0,0.01,0.014040978625416709,0.014241695404052651,0.9765625,8.454395363107324
0,DELAY_COPY,LOOKUP,trained,0,0.02,0.028280479833483647,0.027918338775634752,0.98828125,8.440155861899257
0,DELAY_COPY,LOOKUP,trained,0,0.05,0.07954940199851986,0.07983350753784174,0.99609375,8.38888693973422
0,DELAY_COPY,LOOKUP,trained,0,0.1,0.23403436504304406,0.25513434410095215,0.97265625,8.234401976689696
0,DELAY_COPY,LOOKUP,trained,0,0.25,0.4685673173516989,0.45630598068237305,0.95703125,7.9998690243810415
0,DELAY_COPY,LOOKUP,trained,0,0.5,0.8345511462539434,0.6437873840332031,0.8515625,7.633885195478797
0,DELAY_COPY,LOOKUP,trained,0,1.0,0.9026847165077925,0.28281450271606445,0.5703125,7.565751625224948
0,DELAY_COPY,MOD_ADD,trained,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,MOD_ADD,trained,0,0.0001,0.0003842674195766046,0.0003840923309326,1.0,8.468052074313164
0,DELAY_COPY,MOD_ADD,trained,0,0.0003,0.001144234091043423,0.0011377334594725999,0.99609375,8.467292107641697
0,DELAY_COPY,MOD_ADD,trained,0,0.001,0.003777522593736604,0.0037584304809569497,0.9921875,8.464658819139004
0,DELAY_COPY,MOD_ADD,trained,0,0.003,0.011254010722041085,0.01114869117736815,1.0,8.4571823310107
0,DELAY_COPY,MOD_ADD,trained,0,0.01,0.03722590208053584,0.0363545417785644,1.0,8.431210439652205
0,DELAY_COPY,MOD_ADD,trained,0,0.02,0.07387542352080341,0.07188034057617185,1.0,8.394560918211937
0,DELAY_COPY,MOD_ADD,trained,0,0.05,0.18228402920067308,0.17502427101135248,1.0,8.286152312532067
0,DELAY_COPY,MOD_ADD,trained,0,0.1,0.37146314047276974,0.3763144016265869,0.98828125,8.09697320125997
0,DELAY_COPY,MOD_ADD,trained,0,0.25,0.7422470562160015,0.6635713577270508,0.984375,7.726189285516739
0,DELAY_COPY,MOD_ADD,trained,0,0.5,1.038768719881773,0.8581531047821045,0.90625,7.429667621850967
0,DELAY_COPY,MOD_ADD,trained,0,1.0,1.233527610078454,0.8633596897125244,0.79296875,7.234908731654286
0,DELAY_COPY,PARITY,trained,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,PARITY,trained,0,0.0001,0.0003936700522899244,0.00036001205444329996,0.96484375,8.46804267168045
0,DELAY_COPY,PARITY,trained,0,0.0003,0.0011630039662122304,0.0010592937469482001,0.96484375,8.467273337766528
0,DELAY_COPY,PARITY,trained,0,0.001,0.0038207359611987643,0.00346422195434565,0.9609375,8.464615605771542
0,DELAY_COPY,PARITY,trained,0,0.003,0.011383170261979058,0.0102601051330566,0.9609375,8.457053171470761
0,DELAY_COPY,PARITY,trained,0,0.01,0.037925420328974675,0.03332567214965815,0.97265625,8.430510921403766
0,DELAY_COPY,PARITY,trained,0,0.02,0.07690834626555439,0.06700706481933591,0.97265625,8.391527995467186
0,DELAY_COPY,PARITY,trained,0,0.05,0.20239402912557122,0.1728124618530273,0.9765625,8.26604231260717
0,DELAY_COPY,PARITY,trained,0,0.1,0.44554881751537323,0.41865444183349604,0.95703125,8.022887524217367
0,DELAY_COPY,PARITY,trained,0,0.25,0.9242326710373163,0.6705954074859619,0.86328125,7.544203670695424
0,DELAY_COPY,PARITY,trained,0,0.5,1.1304496452212334,0.6565649509429932,0.7578125,7.337986696511507
0,DELAY_COPY,PARITY,trained,0,1.0,0.5898294486105442,-0.12308740615844725,0.47265625,7.878606893122196
0,DELAY_COPY,RANDOM,untrained-control,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,RANDOM,untrained-control,0,0.0001,-5.62518835067749e-07,0.0,0.1015625,8.468436904251575
0,DELAY_COPY,RANDOM,untrained-control,0,0.0003,-1.5404075384140015e-06,-9.5367431640625e-07,0.125,8.468437882140279
0,DELAY_COPY,RANDOM,untrained-control,0,0.001,-4.827976226806641e-06,-2.86102294921875e-06,0.171875,8.468441169708967
0,DELAY_COPY,RANDOM,untrained-control,0,0.003,-1.4424324035644531e-05,-8.58306884765625e-06,0.1953125,8.468450766056776
0,DELAY_COPY,RANDOM,untrained-control,0,0.01,-4.8194080591191625e-05,-2.7894973754882812e-05,0.2109375,8.468484535813332
0,DELAY_COPY,RANDOM,untrained-control,0,0.02,-9.699352085588662e-05,-5.6743621826171875e-05,0.203125,8.468533335253596
0,DELAY_COPY,RANDOM,untrained-control,0,0.05,-0.00024712271988389534,-0.0001485347747802,0.1953125,8.468683464452624
0,DELAY_COPY,RANDOM,untrained-control,0,0.1,-0.0005013160407542907,-0.000309944152832,0.1953125,8.468937657773495
0,DELAY_COPY,RANDOM,untrained-control,0,0.25,-0.001264560967683761,-0.0007815361022948501,0.19140625,8.469700902700424
0,DELAY_COPY,RANDOM,untrained-control,0,0.5,-0.0025075711309909526,-0.00151062011718745,0.19140625,8.470943912863731
0,DELAY_COPY,RANDOM,untrained-control,0,1.0,-0.004937276244163487,-0.00297164916992185,0.2109375,8.473373617976904
0,DELAY_COPY,REVERSE_INC,trained,0,0.0,0.0,0.0,0.0,8.46843634173274
0,DELAY_COPY,REVERSE_INC,trained,0,0.0001,0.00038604810833926817,0.000385046005249,1.0,8.468050293624401
0,DELAY_COPY,REVERSE_INC,trained,0,0.0003,0.0011498872190713466,0.00114393234252925,0.99609375,8.467286454513669
0,DELAY_COPY,REVERSE_INC,trained,0,0.001,0.00379741005599494,0.0037736892700194497,0.99609375,8.464638931676745
0,DELAY_COPY,REVERSE_INC,trained,0,0.003,0.011314883828163097,0.011214256286621049,1.0,8.457121457904577
0,DELAY_COPY,REVERSE_INC,trained,0,0.01,0.037431953474879216,0.0366387367248535,1.0,8.431004388257861
0,DELAY_COPY,REVERSE_INC,trained,0,0.02,0.07428556680679317,0.0722627639770507,1.0,8.394150774925947
0,DELAY_COPY,REVERSE_INC,trained,0,0.05,0.18308343365788457,0.17584037780761713,1.0,8.285352908074856
0,DELAY_COPY,REVERSE_INC,trained,0,0.1,0.37170783057808876,0.37373781204223633,0.98828125,8.096728511154652
0,DELAY_COPY,REVERSE_INC,trained,0,0.25,0.7451682295650244,0.6630713939666748,0.984375,7.723268112167716
0,DELAY_COPY,REVERSE_INC,trained,0,0.5,1.0412939954549074,0.8614428043365479,0.90625,7.427142346277833
0,DELAY_COPY,REVERSE_INC,trained,0,1.0,1.238795455545187,0.8868606090545654,0.796875,7.229640886187553
0,LOCAL_RULE,DELAY_COPY,trained,0,0.0,0.0,0.0,0.0,8.535871839150786
0,LOCAL_RULE,DELAY_COPY,trained,0,0.0001,0.00038168765604491156,0.00038695335388180005,1.0,8.535490151494741
0,LOCAL_RULE,DELAY_COPY,trained,0,0.0003,0.0011383593082427523,0.0011460781097412,1.0,8.534733479842544
0,LOCAL_RULE,DELAY_COPY,trained,0,0.001,0.0037646759301423536,0.0037856101989746,1.0,8.532107163220644
0,LOCAL_RULE,DELAY_COPY,trained,0,0.003,0.011229189112782431,0.01124858856201165,1.0,8.524642650038004
0,LOCAL_RULE,DELAY_COPY,trained,0,0.01,0.03718188777565951,0.037391662597656194,1.0,8.498689951375127
0,LOCAL_RULE,DELAY_COPY,trained,0,0.02,0.07376612350344654,0.07389974594116205,1.0,8.46210571564734
0,LOCAL_RULE,DELAY_COPY,trained,0,0.05,0.1818746607750654,0.17996430397033686,1.0,8.353997178375721
0,LOCAL_RULE,DELAY_COPY,trained,0,0.1,0.37030835822224617,0.36305809020996094,1.0,8.16556348092854
0,LOCAL_RULE,DELAY_COPY,trained,0,0.25,0.7411135267466307,0.6977307796478271,1.0,7.794758312404156
0,LOCAL_RULE,DELAY_COPY,trained,0,0.5,1.0407564211636782,1.0003464221954346,0.9921875,7.495115417987108
0,LOCAL_RULE,DELAY_COPY,trained,0,1.0,1.2401195205748081,1.1191127300262451,0.9375,7.295752318575978
