input_family,replicates,full_beneficial_replicates,activation_barrier_replicates,family_barrier_supported,mean_full_value,mean_min_small_value
REVERSE_INC,3,3,0,0,1.0977974832057953,0.00029730113844073254
MOD_ADD,3,3,0,0,1.1406019056836765,0.000381817420323654
PARITY,3,3,0,0,5.80111559232076,0.0006966590881347217
LOOKUP,3,3,0,0,2.2617514673620462,-0.0027644472817580056
DELAY_COPY,3,3,0,0,1.1096847107013066,0.00025299377739426216
LOCAL_RULE,3,3,0,0,1.0289564970880747,-0.0011906164387862127
