alpha,A_ranking_accuracy,ranking_gain_vs_zero,A_answer_nll,A_answer_nll_gain_vs_zero,A_mean_target_margin,A_margin_gain_vs_zero,B_answer_nll,B_control_answer_nll_increase_vs_zero,association_pass,locality_pass,joint_pass
0.0,0.0625,0.0,9.080850937787224,0.0,-7.142652209527892,0.0,9.119345010663363,0.0,False,True,False
0.125,0.0546875,-0.0078125,8.847735443805677,0.23311549398154696,-6.9139068051161265,0.22874540441176539,9.02814972881779,-0.09119528184557346,False,True,False
0.25,0.0546875,-0.0078125,8.194529468657205,0.886321469130019,-6.041151020861319,1.1015011886665729,8.609681407432385,-0.5096636032309778,False,True,False
0.5,0.28125,0.21875,6.841921154729921,2.238929783057303,-4.4154258831593785,2.7272263263685135,7.7803413151625564,-1.3390036955008062,False,True,False
0.75,0.7421875,0.6796875,5.383336339061616,3.6975145987256077,-3.495462892282063,3.6471893172458287,7.559002384476598,-1.560342626186765,False,True,False
1.0,0.8203125,0.7578125,5.61370897940381,3.4671419583834133,-3.9587403034192943,3.1839119061085976,9.438332322467069,0.3189873118037063,True,False,False
