run,row,task,baseline_nll,ablated_nll,delta_nll,delta_token_accuracy
r0-A,1,REVERSE,1.029020392213549,1.0998245286941528,0.0708041364806038,0.0199999999999999
r0-A,1,ROTATE,0.8360345309121268,0.8865993315832955,0.0505648006711687,0.0083333333333334
r0-A,1,INC,1.216770361491612,1.3510705287115914,0.1343001672199792,0.0549999999999999
r0-A,1,SWAP,0.8882117690358843,0.949511512007032,0.0612997429711478,0.0066666666666667
r0-A,1,REVERSE_ROTATE,1.1815410120146614,1.283986837523324,0.1024458255086626,0.0416666666666666
r0-A,1,REVERSE_INC,1.1135405690329416,1.399146122591836,0.2856055535588944,0.1316666666666667
r0-A,1,REVERSE_SWAP,1.173553089414324,1.2430917705808366,0.0695386811665126,0.0383333333333333
r0-A,1,ROTATE_INC,0.9293774339130948,1.1571352679388864,0.2277578340257917,0.1066666666666666
r0-A,1,ROTATE_SWAP,1.154459835461208,1.2065032243728635,0.0520433889116558,0.0516666666666666
r0-A,1,INC_SWAP,0.8661323131833758,1.0668127257483346,0.2006804125649588,0.1516666666666667
r0-A,2,REVERSE,1.029020392213549,1.0305942692075456,0.0015738769939965,0.0
r0-A,2,ROTATE,0.8360345309121268,0.8355123165675572,-0.0005222143445695,-0.0033333333333332
r0-A,2,INC,1.216770361491612,1.2186361851011005,0.0018658236094881,0.01
r0-A,2,SWAP,0.8882117690358843,0.8910697981289455,0.0028580290930612,0.0016666666666667
r0-A,2,REVERSE_ROTATE,1.1815410120146614,1.1849430162566048,0.0034020042419433,0.0033333333333333
r0-A,2,REVERSE_INC,1.1135405690329416,1.1198176990236557,0.0062771299907138,0.005
r0-A,2,REVERSE_SWAP,1.173553089414324,1.1770296675818308,0.0034765781675067,0.0
r0-A,2,ROTATE_INC,0.9293774339130948,0.934980867249625,0.0056034333365303,-0.0066666666666667
r0-A,2,ROTATE_SWAP,1.154459835461208,1.163795954159328,0.00933611869812,0.0
r0-A,2,INC_SWAP,0.8661323131833758,0.8729661325045994,0.0068338193212236,0.0066666666666667
r0-A,3,REVERSE,1.029020392213549,1.029180531161172,0.0001601389476231,0.0
r0-A,3,ROTATE,0.8360345309121268,0.8357848896299089,-0.0002496412822178,0.0016666666666667
r0-A,3,INC,1.216770361491612,1.2169184327125548,0.0001480712209427,0.0
r0-A,3,SWAP,0.8882117690358843,0.8879268111501422,-0.0002849578857421,-0.0016666666666665
r0-A,3,REVERSE_ROTATE,1.1815410120146614,1.1818497855322705,0.0003087735176088,0.0
r0-A,3,REVERSE_INC,1.1135405690329416,1.114036145891462,0.0004955768585204,0.0
r0-A,3,REVERSE_SWAP,1.173553089414324,1.1736779873711722,0.0001248979568482,0.0
r0-A,3,ROTATE_INC,0.9293774339130948,0.9286760636738368,-0.0007013702392578,0.0
