run,replicate,variant,parameters,seconds_per_million_tokens,peak_vram_gib,avg_recurrent_iterations,logical_active_fraction,mean_nll,mean_token_accuracy,mean_exact_match,region_mi,region_mi_null_p99,region_mi_p,edge_mi,edge_mi_null_p99,edge_mi_p,composition_reuse_margin_mean,composition_reuse_positive,functional_specific_rows
r0-A,0,A,903168,53.065787937499984,0.8275051116943359,8.99,1.0,1.038864130667278,0.5854999999999999,0.022000000000000002,-2.2204460492503126e-16,-2.2204460492503126e-16,1.0,0.0,0.0,1.0,0.0,0,1
r0-B,0,B,903168,59.417822884374516,0.9333643913269043,8.99,0.3750000298023224,1.049059429168701,0.5814999999999999,0.031,0.00020439553667813705,0.00024005636731110747,0.03296703296703297,0.0,0.0,1.0,-9.071062283178e-05,1,1
r0-C,0,C,903168,73.27232197291617,1.005277156829834,8.99,0.37500003166496754,1.2573137999262127,0.4836666666666666,0.003,0.00019961050680983235,0.00017581171657347428,0.001998001998001998,0.021070806410726624,0.0016110915966785525,0.000999000999000999,-4.061272505460437e-05,2,6
r1-A,1,A,903168,53.6955265322914,0.8275051116943359,8.971,1.0,0.956147181885583,0.63,0.05600000000000001,-2.2204460492503126e-16,-2.2204460492503126e-16,1.0,0.0,0.0,1.0,0.0,0,0
r1-B,1,B,903168,60.302389431249935,0.9337611198425293,8.971,0.3750000335276127,1.0552041518688202,0.5704999999999999,0.032999999999999995,0.0015991424584683377,0.0001731977946962845,0.000999000999000999,0.0,0.0,1.0,-0.00013426843287657939,2,1
r1-C,1,C,903168,74.10572016041682,1.005765438079834,8.971,0.3750000298023224,1.421364889894213,0.34299999999999997,0.001,0.0001591967323339029,0.0002644373966398294,0.45554445554445555,0.001501848960599606,0.0015981610497668357,0.024975024975024976,-5.420810687832104e-05,0,7
r2-A,2,A,903168,52.71072952604221,0.8275051116943359,9.008,1.0,0.7035441713162829,0.7465,0.188,-2.2204460492503126e-16,-2.2204460492503126e-16,1.0,0.0,0.0,1.0,0.0,0,0
r2-B,2,B,903168,58.74671489166232,0.9335169792175293,9.008,0.37500003539025784,0.7560516664300645,0.7294999999999999,0.16999999999999998,0.00045629125714269695,0.00010695577189439039,0.000999000999000999,0.0,0.0,1.0,-9.98454327515071e-05,1,1
r2-C,2,C,903168,73.16581344479083,1.005521297454834,9.008,0.375000037252903,1.2524465579986575,0.4913333333333334,0.01,0.0007755257498763565,0.00013421067185184895,0.000999000999000999,0.057512394348670386,0.002113390487139811,0.000999000999000999,-6.492633805097829e-05,1,6
