run,composite,left,right,true_reuse,wrong_pair_mean,wrong_pair_max,reuse_margin_vs_best_wrong
r0-A,REVERSE_ROTATE,REVERSE,ROTATE,1.0,0.9999999999999998,1.0,0.0
r0-A,REVERSE_INC,REVERSE,INC,1.0,0.9999999999999998,1.0,0.0
r0-A,REVERSE_SWAP,REVERSE,SWAP,1.0,0.9999999999999998,1.0,0.0
r0-A,ROTATE_INC,ROTATE,INC,1.0,0.9999999999999998,1.0,0.0
r0-A,ROTATE_SWAP,ROTATE,SWAP,1.0,0.9999999999999998,1.0,0.0
r0-A,INC_SWAP,INC,SWAP,1.0,0.9999999999999998,1.0,0.0
r0-B,REVERSE_ROTATE,REVERSE,ROTATE,0.9998777154546452,0.999878914815528,0.9999252987085137,-4.758325386833295e-05
r0-B,REVERSE_INC,REVERSE,INC,0.9994453844928236,0.999498174519208,0.999659051122058,-0.0002136666292346
r0-B,REVERSE_SWAP,REVERSE,SWAP,0.999831049911421,0.9997406398943338,0.999785481814834,4.556809658706751e-05
r0-B,ROTATE_INC,ROTATE,INC,0.9996592613008748,0.9996131745851357,0.9997999626391708,-0.0001407013382961
r0-B,ROTATE_SWAP,ROTATE,SWAP,0.999519239528314,0.9995420719317312,0.9996124812924642,-9.32417641500427e-05
r0-B,INC_SWAP,INC,SWAP,0.999886432499082,0.9998587779365208,0.9999810713471106,-9.463884802862754e-05
r0-C,REVERSE_ROTATE,REVERSE,ROTATE,0.9998318621903388,0.9998246180790707,0.999892492084313,-6.06298939741512e-05
r0-C,REVERSE_INC,REVERSE,INC,0.99981349086519,0.9997589246320236,0.999866191206016,-5.270034082582864e-05
r0-C,REVERSE_SWAP,REVERSE,SWAP,0.9998729219428796,0.9998581933620374,0.9999144254627768,-4.1503519897290175e-05
r0-C,ROTATE_INC,ROTATE,INC,0.9997530654546504,0.9995465382724308,0.9996711122554748,8.195319917547739e-05
r0-C,ROTATE_SWAP,ROTATE,SWAP,0.9995642399492314,0.9996283230467098,0.999756943465432,-0.0001927035162004
r0-C,INC_SWAP,INC,SWAP,0.999595868361743,0.9994849433161443,0.9995739606403484,2.1907721394653912e-05
r1-A,REVERSE_ROTATE,REVERSE,ROTATE,1.0,0.9999999999999998,1.0,0.0
r1-A,REVERSE_INC,REVERSE,INC,1.0,0.9999999999999998,1.0,0.0
r1-A,REVERSE_SWAP,REVERSE,SWAP,1.0,0.9999999999999998,1.0,0.0
r1-A,ROTATE_INC,ROTATE,INC,1.0,0.9999999999999998,1.0,0.0
r1-A,ROTATE_SWAP,ROTATE,SWAP,1.0,0.9999999999999998,1.0,0.0
r1-A,INC_SWAP,INC,SWAP,1.0,0.9999999999999998,1.0,0.0
r1-B,REVERSE_ROTATE,REVERSE,ROTATE,0.9999290838586276,0.9989106152451412,0.9999411009267984,-1.2017068170777634e-05
r1-B,REVERSE_INC,REVERSE,INC,0.997744902829824,0.9930816554811736,0.9970470594757522,0.0006978433540718
r1-B,REVERSE_SWAP,REVERSE,SWAP,0.999547120769272,0.999272754257186,0.9994671625436472,7.995822562500976e-05
r1-B,ROTATE_INC,ROTATE,INC,0.998447166023122,0.995626465256852,0.9990844995240018,-0.0006373335008799
r1-B,ROTATE_SWAP,ROTATE,SWAP,0.9991358421607996,0.9991790829287496,0.9996590659288768,-0.0005232237680772
r1-B,INC_SWAP,INC,SWAP,0.997527861644651,0.9934495019029989,0.9979386994844794,-0.0004108378398284
r1-C,REVERSE_ROTATE,REVERSE,ROTATE,0.9998549235653932,0.9998233963145748,0.99987233696202,-1.7413396626975164e-05
r1-C,REVERSE_INC,REVERSE,INC,0.9997601334717414,0.9998090401802322,0.9998743603729666,-0.0001142269012252
r1-C,REVERSE_SWAP,REVERSE,SWAP,0.999848051981373,0.9997635320947206,0.9998635974883576,-1.5545506984571134e-05
r1-C,ROTATE_INC,ROTATE,INC,0.9999176004803072,0.9998787999191034,0.9999674639589042,-4.9863478597034216e-05
r1-C,ROTATE_SWAP,ROTATE,SWAP,0.9998192479196052,0.9997353702442068,0.9998471025418804,-2.785462227505864e-05
r1-C,INC_SWAP,INC,SWAP,0.999832398413376,0.999862937086474,0.9999327431489372,-0.000100344735561
r2-A,REVERSE_ROTATE,REVERSE,ROTATE,1.0,0.9999999999999998,1.0,0.0
r2-A,REVERSE_INC,REVERSE,INC,1.0,0.9999999999999998,1.0,0.0
r2-A,REVERSE_SWAP,REVERSE,SWAP,1.0,0.9999999999999998,1.0,0.0
r2-A,ROTATE_INC,ROTATE,INC,1.0,0.9999999999999998,1.0,0.0
r2-A,ROTATE_SWAP,ROTATE,SWAP,1.0,0.9999999999999998,1.0,0.0
r2-A,INC_SWAP,INC,SWAP,1.0,0.9999999999999998,1.0,0.0
r2-B,REVERSE_ROTATE,REVERSE,ROTATE,0.999824487359794,0.999487590034182,0.999701442179828,0.000123045179966
r2-B,REVERSE_INC,REVERSE,INC,0.998407072066366,0.9979836963219488,0.9986080033634754,-0.0002009312971092
r2-B,REVERSE_SWAP,REVERSE,SWAP,0.9999016179821204,0.9997260393594268,0.9999539451589046,-5.232717678416154e-05
r2-B,ROTATE_INC,ROTATE,INC,0.9994864940036128,0.999419813167193,0.9996152652070752,-0.0001287712034625
r2-B,ROTATE_SWAP,ROTATE,SWAP,0.9997503461114012,0.9998316441022868,0.9999415258258584,-0.0001911797144572
r2-B,INC_SWAP,INC,SWAP,0.9998096878752596,0.99987853840175,0.9999585962599216,-0.0001489083846618
r2-C,REVERSE_ROTATE,REVERSE,ROTATE,0.9999598407646512,0.999647717074244,0.9999614624055264,-1.6216408752489642e-06
r2-C,REVERSE_INC,REVERSE,INC,0.9993839650744656,0.9983059657073842,0.999415805178665,-3.184010419932104e-05
r2-C,REVERSE_SWAP,REVERSE,SWAP,0.9999283806450072,0.999692644247828,0.9999007090460166,2.7671598990641755e-05
r2-C,ROTATE_INC,ROTATE,INC,0.9988518800849844,0.9979219342563556,0.9990951410097416,-0.0002432609247572
r2-C,ROTATE_SWAP,ROTATE,SWAP,0.9998858351802392,0.9995201948183337,0.9999591347059448,-7.329952570545029e-05
r2-C,INC_SWAP,INC,SWAP,0.9993117152111868,0.998195834560642,0.999378922642946,-6.720743175925303e-05
