rank,stage,expert_id,usage,routed_samples,cluster0_samples,cluster1_samples,pi0,pi1,geometry_separation,adam_metric_disagreement,split_regret,eligible
1,1,s1-e3,0.07029166666666667,13496,7550,5946,0.5594250148192057,0.4405749851807943,0.3620625138282776,4.143306205430216e-12,7.178150978609204e-14,yes
2,2,s2-e3,0.07347916666666666,14108,5930,8178,0.42032889140912955,0.5796711085908705,0.2622263729572296,3.1316358570063666e-12,5.606687841446583e-14,yes
3,0,s0-e3,0.10030208333333333,19258,9372,9886,0.4866548966663205,0.5133451033336796,0.35824528336524963,1.8359002323406023e-12,4.60033598806142e-14,yes
4,2,s2-e0,0.08515625,16350,7756,8594,0.47437308868501527,0.5256269113149847,0.32664912939071655,1.9610677858931675e-12,4.163962117005842e-14,yes
5,1,s1-e0,0.105421875,20241,10438,9803,0.5156859838940764,0.4843140161059236,0.24270686507225037,1.2873191019246884e-12,3.389450651217379e-14,yes
6,2,s2-e1,0.08699479166666667,16703,11513,5190,0.6892773753217984,0.3107226246782015,0.27511128783226013,1.6560304753358523e-12,3.0855207926904116e-14,yes
7,1,s1-e1,0.09254166666666666,17768,6776,10992,0.3813597478613237,0.6186402521386762,0.32551775872707367,1.3713037141156214e-12,2.9939462213080625e-14,yes
8,0,s0-e0,0.07911979166666666,15191,6720,8471,0.4423671910999934,0.5576328089000065,0.33630406856536865,1.4471102171061076e-12,2.8243464730347194e-14,yes
9,2,s2-e2,0.087703125,16839,5743,11096,0.34105350674030527,0.6589464932596948,0.2767634838819504,1.208885526227657e-12,2.382719486379085e-14,yes
10,0,s0-e2,0.07513020833333334,14425,8042,6383,0.5575043327556326,0.4424956672443674,0.32397906482219696,1.148730179415848e-12,2.1290697703845227e-14,yes
11,1,s1-e2,0.065078125,12495,4724,7771,0.37807122849139657,0.6219287715086035,0.3447114825248718,1.2521657632841366e-12,1.9160689530802475e-14,yes
12,0,s0-e1,0.07878125,15126,8338,6788,0.5512362818987174,0.44876371810128257,0.2980430871248245,5.500923261765214e-13,1.0720473959262666e-14,yes
