model,parameters,ppl_500k,ppl_1m,ppl_2m,ppl_5m,ppl_10m,nll_10m,learning_slope_alpha,elapsed_seconds,tokens_per_second,peak_vram_bytes
minicells-v2,1170816,88.98716104733823,57.69352912162701,39.42153140845981,23.417037608504,19.44867213327214,2.967778796950976,0.14218091837225655,300.95555063200004,33227.49814382961,157502464
transformer-s,1183936,85.44783025908995,56.62754719502699,37.02724740961693,22.9051203396136,18.963440556993035,2.942512944340706,0.14222749566763226,162.40048628100004,61576.1702997434,87670784
