arm,audited_cell_updates,skipped_zero_or_tiny,rank_min,rank_max,violation_mean,violation_median,violation_p95,violation_max,update_norm_mean
current_adamw_grad_projection,512,0,49,60,0.08975995041346263,0.08081818571628258,0.15541607267566976,0.24016044023169605,0.07564726223426987
adamw_no_decay_grad_projection,512,0,49,60,0.08976096427798166,0.08081690341069486,0.15541748399034339,0.2401622149014558,0.0756535072450788
sgd_no_decay_grad_projection,512,0,49,60,0.004237371583374213,0.001822784293844588,0.01531454215578215,0.0902347360932367,5.460531349243958e-05
sgd_with_decay_grad_projection,512,0,49,60,0.32449151506981383,0.32404920569797907,0.42547762083782753,0.434843097080762,8.038057724846226e-05
adamw_final_update_projection,512,0,49,60,1.8985333905838396e-06,1.2443975115444286e-06,5.436547412073904e-06,1.532595192860867e-05,0.07531283062144212
