replicate,stage,candidate,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,17,ARITH_A,ARITHMETIC,0,0.727405309677124,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,17,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,17,ARITH_A,ARITHMETIC,0,0.6999709010124207,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,18,ARITH_A,ARITHMETIC,0,0.7261513471603394,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,18,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,18,ARITH_A,ARITHMETIC,0,0.7029415369033813,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,19,ARITH_A,ARITHMETIC,0,0.7257411479949951,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,19,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,19,ARITH_A,ARITHMETIC,0,0.6943024396896362,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,20,STORY,STORY,1,0.085202157497406,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,20,STORY,STORY,1,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,20,STORY,STORY,1,0.3431509137153625,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,21,STATE_MACHINE,SELECTED,0,0.6816418170928955,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,21,STATE_MACHINE,SELECTED,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,21,STATE_MACHINE,SELECTED,0,0.6809180974960327,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,22,ARITH_A,ARITHMETIC,0,0.7277074456214905,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,22,ARITH_A,ARITHMETIC,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,22,ARITH_A,ARITHMETIC,0,0.6989750266075134,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,23,STORY,STORY,0,0.1955357789993286,1
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,23,STORY,STORY,0,,1
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,23,STORY,STORY,0,0.1370666623115539,1
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,24,ARITH_A,ARITHMETIC,0,0.7257717251777649,1
