token_id,token,count,fraction
12,l,608,0.07301549177374805
37, ,508,0.06100636483727633
5,e,384,0.046115047436051396
15,o,353,0.04239221808574516
1,a,332,0.039870301429086104
13,m,296,0.03554701573195629
3,c,287,0.03446619430767383
14,n,263,0.03158400384292062
18,r,258,0.030983547496097035
8,h,243,0.029182178455626276
