tensor,count,min,max,mean_abs,clip_fraction,q88_mae,q88_max_error
embedding.weight,352,-2.784468650817871,2.844702959060669,0.8014076352119446,0.0,0.0008733110153116286,0.0019464194774627686
update_in.weight,2816,-0.3524087071418762,0.32402652502059937,0.05987424775958061,0.0,0.0009718391811475158,0.0019526034593582153
update_in.bias,32,-0.08771778643131256,0.2531924843788147,0.11313003301620483,0.0,0.0010054350132122636,0.0019417256116867065
update_out.weight,512,-0.3845442831516266,0.4210734963417053,0.14256855845451355,0.0,0.001002807985059917,0.0019529834389686584
update_out.bias,16,-0.16907162964344025,0.23277053236961365,0.1173551008105278,0.0,0.0010759152937680483,0.0017913579940795898
output.weight,704,-1.3449821472167969,1.3663849830627441,0.5724046230316162,0.0,0.000965437910053879,0.0019487738609313965
output.bias,44,-0.6331014037132263,0.3433755040168762,0.18826493620872498,0.0,0.0010206056758761406,0.0019527934491634369
