model,parameters,ppl_125k,ppl_250k,ppl_500k,nll_500k,learning_slope_alpha,elapsed_seconds,tokens_per_second,peak_vram_bytes
textnca-s,1170816,387.3018779555615,312.5587779307051,254.66049287466822,5.539931257565816,0.05262583323647584,20.734731102000012,24114.12993688505,157502464
minitextnca-s-plus,1169920,329.2766260265014,184.3131586925909,140.7459644408141,4.946956594785054,0.11436995542332326,26.27151157000003,19032.022526292705,207087616
transformer-s,1183936,266.45911408036875,141.2140594658985,112.25786731902147,4.72079861164093,0.12129169007547999,10.064910755000028,49677.53934148009,87670784
