heldout_family,estimator,features,train_rows,test_rows,spearman,pearson,auc_positive_utility,sign_accuracy,top1_selection_accuracy,median_normalized_regret,positive_fraction
PARITY,local-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.595338453330392,0.5526670531102457,0.7877350486679933,0.7899925595238095,0.2682291666666667,0.14971000260207237,0.765625
PARITY,boundary-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.35350591375230794,0.23223244225730624,0.6614362071359156,0.7267485119047619,0.3307291666666667,0.2327065794387814,0.765625
LOOKUP,proposal-norm,"[""proposal_parent_rms""]",23040,5376,0.2662477087589032,0.40502581568676593,0.4971281300044384,0.5639880952380952,0.19921875,1.0015400754532946,0.66796875
LOOKUP,probe-kl,"[""probe_kl""]",23040,5376,0.3495151878682322,-0.04393903574318436,0.6470628797327898,0.6073288690476191,0.17447916666666666,0.15232696475809632,0.66796875
LOOKUP,local-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.571561634834822,0.3896185139973407,0.6930333926943097,0.5745907738095238,0.35546875,0.44857215209675966,0.66796875
LOOKUP,boundary-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.7308985981927875,0.572876683104766,0.7941406582126028,0.6962425595238095,0.3776041666666667,0.009180565813433482,0.66796875
LOOKUP,local-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.7757924512127039,0.653789934721539,0.8579433332787306,0.7868303571428571,0.3111979166666667,0.07440763946829682,0.66796875
LOOKUP,boundary-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.5735955349652005,0.8141438892269395,0.720199112783515,0.6715029761904762,0.31640625,0.3999602397802701,0.66796875
DELAY_COPY,proposal-norm,"[""proposal_parent_rms""]",23040,5376,0.05028502845673518,0.14957228076018503,0.44461642361774173,0.31826636904761907,0.1171875,1.000779147829145,0.7535342261904762
DELAY_COPY,probe-kl,"[""probe_kl""]",23040,5376,0.5758697685883061,0.15423279040944093,0.7330733152308072,0.32905505952380953,0.3489583333333333,0.02090969385077048,0.7535342261904762
DELAY_COPY,local-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.2244673638825356,0.20840967098314778,0.5851038876960266,0.4375,0.24739583333333334,0.9979871246242494,0.7535342261904762
DELAY_COPY,boundary-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.356567888097046,0.28941033644396047,0.7249432006073506,0.6158854166666666,0.3515625,0.0907934783003217,0.7535342261904762
DELAY_COPY,local-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.542913423363116,0.3132294115122469,0.848596619516262,0.8046875,0.26171875,0.08507223037427289,0.7535342261904762
DELAY_COPY,boundary-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.5010016748964072,0.4918493805197329,0.8186365351206085,0.7632068452380952,0.2643229166666667,0.07379395720237418,0.7535342261904762
LOCAL_RULE,proposal-norm,"[""proposal_parent_rms""]",23040,5376,0.11568477699473959,0.2647762680384019,0.48206526904992414,0.36235119047619047,0.20182291666666666,1.0008002286130866,0.6787574404761905
LOCAL_RULE,probe-kl,"[""probe_kl""]",23040,5376,0.40476057305726304,-0.024549807782566192,0.6510293926059174,0.6581101190476191,0.3424479166666667,0.019586428278485224,0.6787574404761905
LOCAL_RULE,local-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.340667757712961,0.3086330121611095,0.6475910224707994,0.5388764880952381,0.2747395833333333,0.9985907732607786,0.6787574404761905
LOCAL_RULE,boundary-ridge,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.4713708135796801,0.4494183881433966,0.7544083672296096,0.6331845238095238,0.4153645833333333,0.06608691002753131,0.6787574404761905
LOCAL_RULE,local-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine""]",23040,5376,0.5695282432683921,0.4582760336187435,0.7783698463127257,0.7239583333333334,0.3125,0.08778599089279202,0.6787574404761905
LOCAL_RULE,boundary-mlp,"[""parent_state_rms"", ""parent_settling_rms"", ""proposal_parent_rms"", ""proposal_parent_alignment"", ""child_memory_norm"", ""child_parent_memory_cosine"", ""interface_settling_rms"", ""proposal_interface_rms"", ""proposal_interface_alignment"", ""base_entropy"", ""base_margin"", ""probe_logit_shift_rms"", ""probe_kl"", ""probe_entropy_delta"", ""probe_margin_delta""]",23040,5376,0.454449438264681,0.4698069292545923,0.683174059315852,0.6938244047619048,0.265625,0.08816352142655694,0.6787574404761905
