input_family,rows,pearson,spearman,sign_agreement,mean_abs_error
ALL,32256,0.24125416546309048,0.7700432528118718,0.8773561507936508,6.287604898973436
REVERSE_INC,5376,0.2364100062070613,0.7350017404267435,0.8857886904761905,5.973361704318985
MOD_ADD,5376,0.2662022588455233,0.7089326738824776,0.8807663690476191,5.646021712086828
PARITY,5376,0.7766537855051961,0.8414159916078264,0.9157366071428571,1.412437778259378
LOOKUP,5376,0.2880961682363144,0.8937341274342192,0.8852306547619048,12.360009522767335
DELAY_COPY,5376,0.2741896884456702,0.7674266287038406,0.8841145833333334,3.8980821576290543
LOCAL_RULE,5376,0.1213672350968979,0.5827104704598915,0.8125,8.435716518779037
