model,parameters,ppl_250k,ppl_500k,ppl_1m,ppl_2m,tokens_per_second,peak_vram_bytes,elapsed_seconds
minicells-2d-k4,1173632,169.7854533247233,86.00666032411313,58.0610787045954,49.2219711557774,22584.777382789245,486587904,88.55522310900005
minicells-v2,1170816,163.95688615147833,86.36497335762198,58.25660218603352,49.406392152016174,30658.510656391503,157502464,65.23474093099992
