model,step,consumed_tokens,train_loss,learning_rate,grad_norm,elapsed_seconds,tokens_per_second,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
minicells-v2,250,250000,5.142454147338867,0.0002954100398908995,1.4072892665863037,8.498976943000002,29415.30512162491,5.09960350394249,163.95688615147833,49152,1170816,157502464
minicells-v2,500,500000,4.724361896514893,0.00026837107640945905,1.596907377243042,18.33818445399993,27265.51263862655,4.458582192659378,86.36497335762198,49152,1170816,157502464
minicells-v2,1000,1000000,4.067564964294434,0.00016238690182084986,2.0353071689605713,34.42287756199994,29050.447575130056,4.064857428272565,58.25660218603352,49152,1170816,157502464
minicells-v2,2000,2000000,3.8841428756713867,0.0,1.7647627592086792,65.23474093099992,30658.510656391503,3.900079811612765,49.406392152016174,49152,1170816,157502464
