replicate,policy,parameters,phase1_alive_cells,phase1_edges,phase1_nll,phase1_ppl,phase1_wall_seconds,ablation_language_nll,ablation_skill_nll,base_language_nll,base_memory_drift,base_skill_nll,donor_alive_cells,donor_language_nll,donor_language_ratio,donor_skill_nll,elapsed_seconds,newborn_cells,newborn_count,recipient_alive_cells,recipient_language_nll,recipient_language_ratio,recipient_skill_nll,selected_cell_count,selected_cells,skill,skill_improvement,tissue_causal_fraction,transplant_recovery,donor_language_recruitment,donor_skill_recruitment,force_off_skill_nll,force_on_language_delta_nll,force_on_language_nll,recipient_language_recruitment,recipient_skill_recruitment,recruitment_causal_fraction,recruitment_gap,recruitment_selectivity
0,S,395712,7,14,4.638154059648514,103.35338719887304,40.783231187999974,4.638154059648514,9.978390966142927,4.638154059648514,0.0,9.978390966142927,8,5.546702176332474,1.1958857133677898,6.98032147543771,10.990605939999966,[7],1,8,5.546702176332474,1.1958857133677898,6.98032147543771,1,[7],REVERSE_INC,2.998069490705217,1.0,1.0,,,,,,,,,,
0,C,395712,7,14,4.638154059648514,103.35338719887304,40.783231187999974,,,4.638154059648514,0.0,9.978390966142927,10,5.359673589468002,1.1555617861201803,6.906641006469727,15.864455274999955,"[7, 8, 9]",3,10,5.359673589468002,1.1555617861201803,6.906641006469727,3,"[7, 8, 9]",REVERSE_INC,3.0717499596732,1.0,1.0,0.8425496853888035,0.9013822078704834,9.978475434439522,0.12576746940612793,5.48544105887413,0.8425496853888035,0.9013822078704834,1.000027498428487,0.058832522481679916,1.0698267692718098
1,S,395712,7,14,4.582965970039368,97.80404831904815,41.45725089700002,4.582965970039368,9.902867998395648,4.582965970039368,0.0,9.902867998395648,8,5.4974930584430695,1.19954917718838,6.80231659752982,11.120189177999976,[7],1,8,5.4974930584430695,1.19954917718838,6.80231659752982,1,[7],REVERSE_INC,3.100551400865828,1.0,1.0,,,,,,,,,,
1,C,395712,7,14,4.582965970039368,97.80404831904815,41.45725089700002,,,4.582965970039368,0.0,9.902867998395648,10,5.206954389810562,1.1361538409515692,6.8118727547781805,16.052586615999985,"[7, 8, 9]",3,10,5.206954389810562,1.1361538409515692,6.8118727547781805,3,"[7, 8, 9]",REVERSE_INC,3.090995243617467,1.0,1.0,0.9160303883254528,0.9159679487347603,9.90294987814767,0.005322098731994629,5.212276488542557,0.9160303883254528,0.9159679487347603,1.0000264897696596,-6.243959069252014e-05,0.9999318367692946
2,S,395712,7,14,4.652176767587662,104.81289074217213,39.69870771199999,4.652176767587662,9.968307086399623,4.652176767587662,0.0,9.968307086399623,8,5.748355180025101,1.2356269908045328,7.062877518790109,10.600107964000017,[7],1,8,5.748355180025101,1.2356269908045328,7.062877518790109,1,[7],REVERSE_INC,2.905429567609514,1.0,1.0,,,,,,,,,,
2,C,395712,7,14,4.652176767587662,104.81289074217213,39.69870771199999,,,4.652176767587662,0.0,9.968307086399623,10,5.65659162402153,1.2159021263834515,7.031851087297712,15.68383120499999,"[7, 8, 9]",3,10,5.65659162402153,1.2159021263834515,7.031851087297712,3,"[7, 8, 9]",REVERSE_INC,2.936455999101911,1.0,1.0,0.9182523861527443,0.9182503446936607,9.968165397644043,-0.0004284977912902832,5.65616312623024,0.9182523861527443,0.9182503446936607,0.99995174838117,-2.041459083557129e-06,0.9999977767995877
