replicate,policy,intervention,normal_nll,altered_nll,delta_nll,causal_fraction,ablated_language_nll
0,C,recruitment_off_skill,6.906641006469727,9.978475434439522,3.071834427969796,1.000027498428487,
0,C,recruitment_forced_on_language,5.359673589468002,5.48544105887413,0.1257674694061279,,
0,C,newborn_tissue_off,6.906641006469727,9.978390966142928,3.0717499596732,1.0,4.638154059648514
1,C,recruitment_off_skill,6.8118727547781805,9.90294987814767,3.091077123369489,1.0000264897696596,
1,C,recruitment_forced_on_language,5.206954389810562,5.212276488542557,0.0053220987319946,,
1,C,newborn_tissue_off,6.8118727547781805,9.902867998395648,3.090995243617467,1.0,4.582965970039368
2,C,recruitment_off_skill,7.031851087297712,9.968165397644045,2.936314310346331,0.99995174838117,
2,C,recruitment_forced_on_language,5.65659162402153,5.65616312623024,-0.0004284977912902,,
2,C,newborn_tissue_off,7.031851087297712,9.968307086399625,2.936455999101911,1.0,4.652176767587662
