replicate,static_skill_improvement,conditional_skill_improvement,conditional_over_static_skill_improvement,static_language_ratio,conditional_language_ratio,conditional_recipient_language_ratio,conditional_transplant_recovery,skill_recruitment,language_recruitment,recruitment_selectivity,recruitment_gap,recruitment_causal_fraction,force_on_language_delta_nll,newborn_count,base_memory_drift,tissue_causal_fraction
0,2.998069490705217,3.0717499596732,1.0245759710361655,1.1958857133677898,1.1555617861201803,1.1555617861201803,1.0,0.9013822078704834,0.8425496853888035,1.0698267692718098,0.058832522481679916,1.000027498428487,0.12576746940612793,3,0.0,1.0
1,3.100551400865828,3.090995243617467,0.9969179168435355,1.19954917718838,1.1361538409515692,1.1361538409515692,1.0,0.9159679487347603,0.9160303883254528,0.9999318367692946,-6.243959069252014e-05,1.0000264897696596,0.005322098731994629,3,0.0,1.0
2,2.905429567609514,2.936455999101911,1.0106787759848967,1.2356269908045328,1.2159021263834515,1.2159021263834515,1.0,0.9182503446936607,0.9182523861527443,0.9999977767995877,-2.041459083557129e-06,0.99995174838117,-0.0004284977912902832,3,0.0,1.0
