replicate,policy,skill,base_skill_nll,donor_skill_nll,recipient_skill_nll,skill_improvement,transplant_recovery,base_language_nll,donor_language_nll,recipient_language_nll,donor_language_ratio,recipient_language_ratio,selected_cells,selected_cell_count,donor_alive_cells,recipient_alive_cells,donor_skill_recruitment,donor_language_recruitment,recipient_skill_recruitment,recipient_language_recruitment
0,S,REVERSE_INC,9.978390966142928,6.98032147543771,6.98032147543771,2.998069490705217,1.0,4.638154059648514,5.546702176332474,5.546702176332474,1.1958857133677898,1.1958857133677898,[7],1,8,8,,,,
0,C,REVERSE_INC,9.978390966142928,6.906641006469727,6.906641006469727,3.0717499596732,1.0,4.638154059648514,5.359673589468002,5.359673589468002,1.1555617861201803,1.1555617861201803,"[7, 8, 9]",3,10,10,0.9013822078704834,0.8425496853888035,0.9013822078704834,0.8425496853888035
1,S,REVERSE_INC,9.902867998395648,6.80231659752982,6.80231659752982,3.100551400865828,1.0,4.582965970039368,5.4974930584430695,5.4974930584430695,1.19954917718838,1.19954917718838,[7],1,8,8,,,,
1,C,REVERSE_INC,9.902867998395648,6.8118727547781805,6.8118727547781805,3.090995243617467,1.0,4.582965970039368,5.206954389810562,5.206954389810562,1.1361538409515692,1.1361538409515692,"[7, 8, 9]",3,10,10,0.9159679487347604,0.9160303883254528,0.9159679487347604,0.9160303883254528
2,S,REVERSE_INC,9.968307086399625,7.062877518790109,7.062877518790109,2.905429567609514,1.0,4.652176767587662,5.748355180025101,5.748355180025101,1.2356269908045328,1.2356269908045328,[7],1,8,8,,,,
2,C,REVERSE_INC,9.968307086399625,7.031851087297712,7.031851087297712,2.936455999101911,1.0,4.652176767587662,5.65659162402153,5.65659162402153,1.2159021263834515,1.2159021263834515,"[7, 8, 9]",3,10,10,0.9182503446936608,0.9182523861527444,0.9182503446936608,0.9182523861527444
