topology,effect,metric,replicates,geometric_mean_ratio,bootstrap_95_lower,bootstrap_95_upper,min_ratio,max_ratio,percent_change
1d,core_recipe_H_over_A,final_ppl_2m,5,0.9805994786034429,0.9784072338176742,0.9832309656040422,0.9770763006393802,0.9849562918909659,-1.9400521396557124
1d,core_recipe_H_over_A,seconds_per_million_tokens,5,0.8282496111713534,0.8109026400185311,0.8459676717661464,0.7995925992404638,0.8509396784592442,-17.17503888286466
1d,core_recipe_H_over_A,depth_robustness_ratio_2_to_4,5,0.5295366540245158,0.5061757833557504,0.5563784514983334,0.4924182396142443,0.5775217562276109,-47.04633459754842
1d,random_depth_main,final_ppl_2m,5,1.019397770004424,1.0172586525393377,1.021944491458889,1.016902352092739,1.0238435713267566,1.9397770004424109
1d,random_depth_main,seconds_per_million_tokens,5,0.8083794703932176,0.7980584372182353,0.8154639077700676,0.7889351707271074,0.8179976416006874,-19.162052960678245
1d,random_depth_main,depth_robustness_ratio_2_to_4,5,0.6019687024459209,0.5842458941186438,0.6208749811683211,0.5763516210700703,0.6378251948543128,-39.80312975540791
1d,stability_loss_main,final_ppl_2m,5,0.9619399879589566,0.9603980547777508,0.9635408670079604,0.9595433393509193,0.9647824045928993,-3.8060012041043367
1d,stability_loss_main,seconds_per_million_tokens,5,1.0245802144981124,1.0055100527162044,1.0409283533574376,0.9887988297441369,1.0480307307017622,2.458021449811243
1d,stability_loss_main,depth_robustness_ratio_2_to_4,5,0.8796747270628871,0.8595312030385499,0.896634275952865,0.8440946506710463,0.9054545992958527,-12.032527293711293
2d,core_recipe_H_over_A,final_ppl_2m,5,0.9845004722802159,0.9808729553360616,0.9882182752333398,0.9787368460598691,0.9901856135321974,-1.5499527719784134
2d,core_recipe_H_over_A,seconds_per_million_tokens,5,0.827508375282666,0.8007724126157909,0.8551369907038855,0.7887113038903745,0.8623332475112258,-17.249162471733403
2d,core_recipe_H_over_A,depth_robustness_ratio_2_to_4,5,0.5598820202648884,0.5466294049190609,0.5732379224341547,0.5408817697847524,0.5825071223303564,-44.01179797351116
2d,random_depth_main,final_ppl_2m,5,1.0213071730109151,1.0202405941401296,1.0225579114438714,1.019805137377731,1.0235619275432961,2.1307173010915115
2d,random_depth_main,seconds_per_million_tokens,5,0.8119996182818895,0.7984052065265483,0.8276007724116089,0.7925767319785372,0.8391541085771103,-18.80003817181105
2d,random_depth_main,depth_robustness_ratio_2_to_4,5,0.6198339059339567,0.6102755516105433,0.6284125385999952,0.6041571620994554,0.6299442939858172,-38.01660940660433
2d,stability_loss_main,final_ppl_2m,5,0.9639611845453024,0.9610819965021979,0.966754434418754,0.9585450791345094,0.9675095907368013,-3.603881545469756
2d,stability_loss_main,seconds_per_million_tokens,5,1.0190994634130388,1.0025313632568333,1.035493562668818,0.9951229604249003,1.0488748876986802,1.9099463413038809
2d,stability_loss_main,depth_robustness_ratio_2_to_4,5,0.9032774988668397,0.8931452162976076,0.9174483601009349,0.8888737104268697,0.9301580383474705,-9.672250113316029
