seed,parent_id,child_id,root_id,parent_birth_domain,birth_domain,old_domains,current_domain,old_train_samples,old_test_samples,current_train_samples,current_test_samples,valid,current_cosine_auc,offline_oracle_auc,sketch_gate_auc,normalized_oracle_excess_recovery,sketch_gate_old_fpr,sketch_gate_current_tpr,historical_sketch_bytes
73611,4,8,4,A,B,A,B,2837,1259,2863,1233,True,0.5434207042626423,0.9289356696666402,0.8774864769281611,0.8800538253709131,0.1715647429227829,0.7623682022094727,27720
73611,5,9,5,A,B,A,B,2860,1236,2776,1320,True,0.4811709326272433,0.8799150485436893,0.8357053545160341,0.883632685261818,0.2006472498178482,0.7060605883598328,27720
73611,2,10,2,A,B,A,B,2844,1252,2881,1215,True,0.5088365610907322,0.8751350924939849,0.8156976820626093,0.8415573172954256,0.19408945739269257,0.6872428059577942,27720
73611,6,11,6,A,B,A,B,2821,1275,2881,1215,True,0.5037979504559025,0.8895905753247801,0.8454062777374324,0.8865878684295333,0.21490195393562317,0.7596707940101624,27720
73611,8,12,4,B,C,B,C,2835,1261,2760,1336,True,0.8354112552056869,0.9880346365160243,0.980119855451666,0.9837823374159256,0.13084852695465088,0.9588323831558228,27720
73611,0,13,0,A,C,A+B,C,5676,2504,2862,1234,True,0.5228590495078215,0.9401049083217258,0.9332387466924881,0.9843988069675915,0.20766772329807281,0.917341947555542,27720
73611,1,14,1,A,C,A+B,C,5676,2420,2818,1278,True,0.5863671930573339,0.9276022064434356,0.9332059390318033,1.0131050132668316,0.22892561554908752,0.9217527508735657,27720
73611,3,15,3,A,C,A+B,C,5668,2482,2817,1279,True,0.5204197351501569,0.9545944246581642,0.9441673560188478,0.977062920102557,0.2336825132369995,0.9405785799026489,27720
73612,4,8,4,A,B,A,B,2823,1273,2811,1285,True,0.5254302927304905,0.9014995674912352,0.8538117318384526,0.8812256861177725,0.17753338813781738,0.7112840414047241,27720
73612,5,9,5,A,B,A,B,2868,1228,2848,1248,True,0.48452638227678946,0.9034911885074751,0.8569626712185752,0.8846851712895882,0.17833875119686127,0.7323718070983887,27720
73612,2,10,2,A,B,A,B,2892,1204,2857,1239,True,0.5005513636278319,0.8915201279565828,0.8560431464663122,0.9093865705565851,0.17358803749084473,0.7497981786727905,27720
73612,6,11,6,A,B,A,B,2908,1188,2878,1218,True,0.5123588097726028,0.8675638431385558,0.8226580252442321,0.8778285222211148,0.1986531913280487,0.6912972331047058,27720
73612,8,12,4,B,C,B,C,2807,1289,2785,1311,True,0.832412853227953,0.9886329139541944,0.9786736210107351,0.9796180472926699,0.20403413474559784,0.9694889783859253,27720
73612,0,13,0,A,C,A+B,C,5708,2454,2903,1193,True,0.574852559517588,0.9486284431528387,0.9486272476433092,0.9999973351900716,0.17929910123348236,0.9279128313064575,27720
73612,1,14,1,A,C,A+B,C,5720,2446,2951,1145,True,0.6278822567457073,0.962225467477425,0.9453471847807846,0.9634847409236171,0.17865903675556183,0.9231441020965576,27720
73612,3,15,3,A,C,A+B,C,5634,2518,2829,1267,True,0.511706870751583,0.9225345468428421,0.9076721794084956,0.9648256750947412,0.22954726219177246,0.8792423009872437,27720
73613,4,8,4,A,B,A,B,2814,1282,2783,1313,True,0.5401493287454271,0.9285306065707974,0.8859889049027307,0.9007265735147942,0.14040561020374298,0.7486671805381775,27720
73613,5,9,5,A,B,A,B,2828,1268,2804,1292,True,0.48727122012676893,0.8754602455293923,0.8332946743366116,0.8876963095431637,0.19164037704467773,0.7244581580162048,27720
73613,2,10,2,A,B,A,B,2856,1240,2837,1259,True,0.4972610110430705,0.8812709779907248,0.8221444310640805,0.8449225082951825,0.21451613306999207,0.7243844270706177,27720
73613,6,11,6,A,B,A,B,2842,1254,2936,1160,True,0.516401996370236,0.8992761095528791,0.8548444976076555,0.8887195830600048,0.17065390944480896,0.7301723957061768,27720
73613,8,12,4,B,C,B,C,2834,1262,2783,1313,True,0.8061431280272974,0.9838485799085821,0.967790702025219,0.9668121835008856,0.13391442596912384,0.9421173334121704,27720
73613,0,13,0,A,C,A+B,C,5542,2362,2876,1220,True,0.5382754264932469,0.9662820477228246,0.9563026609847171,0.9785979606402526,0.14479254186153412,0.9245901703834534,27720
73613,1,14,1,A,C,A+B,C,5670,2466,2821,1275,True,0.6081198416106102,0.929802013262726,0.9219173703544679,0.9816551745572245,0.17072181403636932,0.8784313797950745,27720
73613,3,15,3,A,C,A+B,C,5684,2506,2919,1177,True,0.5226369203291878,0.9618034813304484,0.9442134120252431,0.9619100547823318,0.2186751812696457,0.9337297677993774,27720
