arm,step,cell_id,certificate_rank,parameter_dtype,machine_epsilon,basis_orthogonality_error,gradient_analytic_norm,gradient_analytic_violation_norm,gradient_analytic_rho,gradient_safe_ideal_violation_norm,gradient_safe_ideal_rho,gradient_float_commit_violation_norm,gradient_float_commit_rho,optimizer_raw_update_norm,optimizer_raw_violation_norm,optimizer_raw_rho,matched_safe_update_norm,matched_safe_ideal_violation_norm,matched_safe_ideal_rho,matched_safe_float_commit_norm,matched_safe_float_commit_violation_norm,matched_safe_float_commit_rho,roundoff_bound_norm,machine_floor_envelope_norm,committed_update_norm,committed_violation_norm,committed_rho,committed_excess_factor,eligible_for_ratio
current_adamw_grad_projection,1,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,1.6898202113185475e-06,7.158763965063399e-13,4.2364056939983555e-07,2.4369914802847943e-22,1.4421602156027335e-16,1.0169333807225706e-07,0.059455997174469345,0.007677182471449636,0.0018056290189816624,0.2351942298748979,0.007461825148430165,1.2602263800289571e-18,1.6888982989558344e-16,0.007461825995695938,1.0128198508950438e-07,1.3573351234392884e-05,9.88045286667737e-06,9.88045286667737e-06,0.007677182471449636,0.0018056290189816624,0.2351942298748979,182.74759703285395,True
current_adamw_grad_projection,1,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,1.975999155927725e-06,5.785724279714085e-13,2.9279993679945204e-07,2.8633184214291077e-22,1.4490484031026377e-16,1.0749579989852907e-07,0.05391055708500394,0.007677696428265785,0.0018282033378738181,0.2381187319601756,0.007456855570546624,1.3071804633865508e-18,1.7529915270850929e-16,0.007456855327065026,1.0748695674560036e-07,1.4414515507022259e-05,1.0196390510771178e-05,1.0196390510771178e-05,0.007677696428265785,0.0018282033378738181,0.2381187319601756,179.29907018984375,True
current_adamw_grad_projection,1,2,60,torch.float32,1.1920928955078125e-07,3.920330339574255e-06,1.8821437530646159e-06,5.989789178187162e-13,3.1824291680347154e-07,2.7509847254149896e-22,1.4616230672794338e-16,9.877736811338514e-08,0.052041967851678014,0.0076775473227556155,0.0018269969240912133,0.2379662211493175,0.007456997729147648,1.3031690668533111e-18,1.7475787363586422e-16,0.0074569970037278496,9.927229246010195e-08,1.3312636763897645e-05,9.403005951112793e-06,9.403005951112793e-06,0.0076775473227556155,0.0018269969240912133,0.2379662211493175,194.29924149681077,True
current_adamw_grad_projection,1,3,49,torch.float32,1.1920928955078125e-07,5.138758647397377e-06,1.7122383424116826e-06,7.818982493985917e-13,4.566526925785871e-07,2.247295878557731e-22,1.312490103096661e-16,8.955073136115781e-08,0.05174838832035919,0.007677255902148721,0.0016565975651567626,0.21577990707501515,0.007496395313361888,1.1533297603016752e-18,1.5385124611103848e-16,0.0074963959433236044,9.004871777267192e-08,1.2012268089023575e-05,9.520496134299753e-06,9.520496134299753e-06,0.007677255902148721,0.0016565975651567626,0.21577990707501515,174.00328110932088,True
current_adamw_grad_projection,1,4,60,torch.float32,1.1920928955078125e-07,8.425881056896194e-06,1.7982256805910066e-06,1.223942646421891e-12,6.806390652921989e-07,2.621892967275371e-22,1.4580444465759516e-16,1.1287146544999135e-07,0.06203808222355939,0.00767712954902585,0.0018437427473867469,0.24016043178803712,0.007452444618645927,1.329425812054017e-18,1.7838788210888674e-16,0.0074524454426845394,1.140583069429686e-07,1.530481609294173e-05,1.0830566778661596e-05,1.0830566778661596e-05,0.00767712954902585,0.0018437427473867469,0.24016043178803712,170.23511188900036,True
current_adamw_grad_projection,1,5,53,torch.float32,1.1920928955078125e-07,5.678672305444112e-06,3.4266948330285915e-06,1.1975117189594241e-12,3.4946552795337067e-07,4.484852648559843e-22,1.3087983806822684e-16,9.103429528943168e-08,0.02650669809839464,0.007678366144414863,0.001761443696058624,0.22940345158453715,0.007473595035410449,1.2137938952716119e-18,1.6241098019367736e-16,0.007473594229290423,9.039518869812122e-08,1.2095276506161582e-05,9.198467056879704e-06,9.198467056879704e-06,0.007678366144414863,0.001761443696058624,0.22940345158453715,191.49317871842652,True
current_adamw_grad_projection,1,6,60,torch.float32,1.1920928955078125e-07,3.095485046437789e-06,2.1541211026043923e-06,6.021345975201704e-13,2.7952680877234474e-07,3.1225989131345015e-22,1.4495930193336458e-16,9.848815176639059e-08,0.045402211318071976,0.007677816944170573,0.0018207912810367056,0.23714960831661297,0.00745879294115968,1.3091575058586924e-18,1.755186819350353e-16,0.007458793003992601,9.812867270488244e-08,1.315610617593964e-05,9.356803664749954e-06,9.356803664749954e-06,0.007677816944170573,0.0018207912810367056,0.23714960831661297,194.59543518009292,True
current_adamw_grad_projection,1,7,53,torch.float32,1.1920928955078125e-07,7.079248571757639e-06,1.0540401318025114e-06,5.965705391768638e-13,5.659846538828365e-07,1.4131180483494432e-22,1.340668164060414e-16,9.771449906547277e-08,0.09023480566999832,0.007675470873991428,0.0017184016196310126,0.22388224095200074,0.007480638275651367,1.2164757283095134e-18,1.6261656873170897e-16,0.007480638909321168,9.926244585348798e-08,1.3269247059873869e-05,1.0060236412613993e-05,1.0060236412613993e-05,0.007675470873991428,0.0017184016196310126,0.22388224095200074,170.81125623214982,True
current_adamw_grad_projection,2,0,58,torch.float32,1.1920928955078125e-07,4.814231254404896e-06,3.6267784532614645e-06,1.5315796085628125e-12,4.2229753713946993e-07,5.188773869209944e-22,1.4306839902349928e-16,1.030597007717493e-07,0.028346709884731962,0.011837824796460871,0.0022081404485756956,0.18653261781977534,0.011630056391568692,1.844395166718983e-18,1.5858866927387326e-16,0.01163005560343417,1.0129451640159064e-07,8.709719012149864e-06,9.88440364335553e-06,9.88440364335553e-06,0.011837824796460871,0.0022081404485756956,0.18653261781977534,223.39642615263355,True
current_adamw_grad_projection,2,1,60,torch.float32,1.1920928955078125e-07,3.342961442244951e-06,4.329783400865377e-06,1.293520477604147e-12,2.987494656997429e-07,6.34319377756273e-22,1.4650141104737997e-16,1.058279557810786e-07,0.024391198714168047,0.011769734613011841,0.0021894996170012167,0.18602795126583827,0.011564287452665665,1.890571978160226e-18,1.6348365482081072e-16,0.011564287742602968,1.0662172346977162e-07,9.219912703916557e-06,1.0200293045581434e-05,1.0200293045581434e-05,0.011769734613011841,0.0021894996170012167,0.18602795126583827,214.6506582915934,True
