step,loss,jam_loss,base_loss,lr_shared,lr_router,lr_cells,elapsed_seconds
1,2.7212324142456055,2.5509510040283203,0.851406991481781,5e-07,1e-06,2e-06,0.3898444175720215
20,2.1840732097625732,1.9878894090652466,0.9809185862541199,9.999999999999999e-06,1.9999999999999998e-05,3.9999999999999996e-05,1.301623821258545
40,1.6889264583587646,1.5120489597320557,0.884387195110321,1.9999999999999998e-05,3.9999999999999996e-05,7.999999999999999e-05,2.2113125324249268
60,1.5199108123779297,1.3165373802185059,1.0168671607971191,3e-05,6e-05,0.00012,3.123652219772339
80,1.4933335781097412,1.2982152700424194,0.975591778755188,2.9981498719186746e-05,5.996299743837349e-05,0.00011992599487674699,4.03362250328064
100,1.3596372604370117,1.1839957237243652,0.8782079219818115,2.9922105831618062e-05,5.9844211663236124e-05,0.00011968842332647225,4.926746368408203
120,1.1880426406860352,0.9919238686561584,0.9805941581726074,2.9821950449778164e-05,5.964390089955633e-05,0.00011928780179911266,6.27080774307251
140,1.1405103206634521,0.9614821076393127,0.8951408863067627,2.9681336742269942e-05,5.9362673484539884e-05,0.00011872534696907977,7.172445297241211
160,1.022482991218567,0.8540876507759094,0.841976523399353,2.95006917483016e-05,5.90013834966032e-05,0.0001180027669932064,8.074581623077393
180,1.0774744749069214,0.8920745849609375,0.9269996881484985,2.9280564080782617e-05,5.8561128161565233e-05,0.00011712225632313047,8.95721697807312
200,0.9473831057548523,0.7634216547012329,0.9198071956634521,2.9021622260204402e-05,5.8043244520408803e-05,0.00011608648904081761,9.835141897201538
220,0.8914906978607178,0.7049197554588318,0.9328545928001404,2.8724652684365506e-05,5.744930536873101e-05,0.00011489861073746202,11.189558744430542
240,0.8829804062843323,0.6803032159805298,1.0133860111236572,2.8390557240107357e-05,5.6781114480214714e-05,0.00011356222896042943,12.06761622428894
260,0.8137472867965698,0.6096307635307312,1.0205824375152588,2.802035056431357e-05,5.604070112862714e-05,0.00011208140225725428,12.950160026550293
280,0.865041971206665,0.6642948389053345,1.0037356615066528,2.76151569624911e-05,5.52303139249822e-05,0.0001104606278499644,13.809432029724121
300,0.7386468648910522,0.528314471244812,1.0516619682312012,2.7176206994291315e-05,5.435241398858263e-05,0.00010870482797716526,14.683156967163086
320,0.7031752467155457,0.48785677552223206,1.0765923261642456,2.6704833736340844e-05,5.340966747268169e-05,0.00010681933494536338,16.04233407974243
340,0.6836451888084412,0.48845475912094116,0.9759521484375,2.6202468733731626e-05,5.240493746746325e-05,0.0001048098749349265,16.896113872528076
360,0.645538330078125,0.46025457978248596,0.9264188408851624,2.5670637652465535e-05,5.134127530493107e-05,0.00010268255060986214,17.75253462791443
380,0.633928656578064,0.44863077998161316,0.9264894723892212,2.5110955646056885e-05,5.022191129211377e-05,0.00010044382258422754,18.627650022506714
400,0.6264503002166748,0.4038579761981964,1.112961769104004,2.452512245036427e-05,4.905024490072854e-05,9.810048980145708e-05,19.480775833129883
420,0.5358676910400391,0.3437947928905487,0.9603643417358398,2.3914917221548654e-05,4.782983444309731e-05,9.565966888619462e-05,20.75700569152832
440,0.48723334074020386,0.3169921040534973,0.8512060642242432,2.3282193132834552e-05,4.6564386265669105e-05,9.312877253133821e-05,21.609359741210938
460,0.45102399587631226,0.26021820306777954,0.9540289044380188,2.2628871746483882e-05,4.5257743492967764e-05,9.051548698593553e-05,22.509493589401245
480,0.4674490690231323,0.281879186630249,0.927849292755127,2.1956937178074516e-05,4.391387435614903e-05,8.782774871229806e-05,23.37898302078247
500,0.5039910674095154,0.2601096034049988,1.219407320022583,2.1268430070806482e-05,4.2536860141612965e-05,8.507372028322593e-05,24.245166301727295
520,0.4166983366012573,0.23111963272094727,0.9278934597969055,2.0565441398135653e-05,4.1130882796271307e-05,8.226176559254261e-05,25.597804069519043
540,0.4109017252922058,0.23057891428470612,0.9016140699386597,1.985010611355605e-05,3.97002122271121e-05,7.94004244542242e-05,26.44691228866577
560,0.41985344886779785,0.19979147613048553,1.1003098487854004,1.912459666681629e-05,3.824919333363258e-05,7.649838666726515e-05,27.30892276763916
580,0.38581138849258423,0.1886526197195053,0.9857938885688782,1.8391116406261052e-05,3.6782232812522103e-05,7.356446562504421e-05,28.167943239212036
600,0.38763147592544556,0.20353931188583374,0.9204608201980591,1.7651892887334634e-05,3.530378577466927e-05,7.060757154933853e-05,29.036975145339966
620,0.335723340511322,0.1278046816587448,1.03959321975708,1.690917110756822e-05,3.381834221513644e-05,6.763668443027287e-05,30.316226959228516
640,0.33256790041923523,0.1281381994485855,1.0221484899520874,1.6165206688596192e-05,3.2330413377192384e-05,6.466082675438477e-05,31.181975603103638
660,0.33617156744003296,0.14003264904022217,0.980694591999054,1.542225902590738e-05,3.084451805181476e-05,6.168903610362952e-05,32.04916524887085
680,0.29798561334609985,0.11643685400485992,0.9077438116073608,1.4682584427135161e-05,2.9365168854270322e-05,5.8730337708540645e-05,32.924442768096924
700,0.3064725399017334,0.11607462167739868,0.9519896507263184,1.3948429259725409e-05,2.7896858519450818e-05,5.5793717038901635e-05,33.79549956321716
720,0.3208951950073242,0.09480902552604675,1.1304309368133545,1.3222023128792328e-05,2.6444046257584656e-05,5.288809251516931e-05,35.12362217903137
740,0.2853066027164459,0.0900668278336525,0.9761987924575806,1.2505572105881047e-05,2.5011144211762095e-05,5.002228842352419e-05,36.01481628417969
760,0.33008402585983276,0.10636736452579498,1.1185832023620605,1.1801252029200809e-05,2.3602504058401618e-05,4.7205008116803236e-05,36.86599898338318
780,0.27330324053764343,0.07595609128475189,0.9867357015609741,1.1111201895675873e-05,2.2222403791351746e-05,4.444480758270349e-05,37.72068667411804
800,0.24728292226791382,0.08075395226478577,0.8326448202133179,1.0437517364882113e-05,2.0875034729764226e-05,4.175006945952845e-05,38.57043957710266
820,0.2750314474105835,0.06736548990011215,1.038329839706421,9.782244394597828e-06,1.9564488789195656e-05,3.912897757839131e-05,39.857460498809814
840,0.2832236886024475,0.08154839277267456,1.0083764791488647,9.147373027297135e-06,1.829474605459427e-05,3.658949210918854e-05,40.70129132270813
860,0.25200316309928894,0.08106265217065811,0.8547025918960571,8.53483134645646e-06,1.706966269291292e-05,3.413932538582584e-05,41.544389963150024
880,0.26136812567710876,0.06761420518159866,0.9687695503234863,7.94647962102832e-06,1.589295924205664e-05,3.178591848411328e-05,42.404727935791016
900,0.2401016503572464,0.05777283012866974,0.9116441011428833,7.384104655865712e-06,1.4768209311731425e-05,2.953641862346285e-05,43.26790976524353
920,0.23540903627872467,0.054025620222091675,0.9069170951843262,6.849414365254452e-06,1.3698828730508903e-05,2.7397657461017806e-05,44.5482439994812
940,0.23815307021141052,0.05526868253946304,0.9144219160079956,6.34403258603367e-06,1.268806517206734e-05,2.537613034413468e-05,45.491046667099
960,0.20455767214298248,0.05363905802369118,0.7545930743217468,5.869494146056648e-06,1.1738988292113296e-05,2.347797658422659e-05,46.368261098861694
980,0.22758379578590393,0.04405339062213898,0.9176520109176636,5.4272402029691305e-06,1.0854480405938261e-05,2.1708960811876522e-05,47.23263144493103
1000,0.24031591415405273,0.055204298347234726,0.9255580306053162,5.018613867460864e-06,1.0037227734921728e-05,2.0074455469843456e-05,48.088035106658936
1020,0.24029287695884705,0.04907923936843872,0.9560681581497192,4.644856124282624e-06,9.289712248565249e-06,1.8579424497130497e-05,49.371434450149536
1040,0.21414628624916077,0.03660639747977257,0.8876994252204895,4.307102063416277e-06,8.614204126832554e-06,1.722840825366511e-05,50.23443651199341
1060,0.2317763864994049,0.038642313331365585,0.9656703472137451,4.006377432843846e-06,8.012754865687692e-06,1.6025509731375385e-05,51.091570138931274
1080,0.21968521177768707,0.040969863533973694,0.8935767412185669,3.7435955233845644e-06,7.487191046769129e-06,1.4974382093538258e-05,51.94269633293152
1100,0.2179386019706726,0.04346410185098648,0.8723725080490112,3.519554395060707e-06,7.039108790121414e-06,1.4078217580242827e-05,52.812923431396484
1120,0.22639618813991547,0.04636549949645996,0.9001534581184387,3.334934453415514e-06,6.669868906831028e-06,1.3339737813662056e-05,54.0992329120636
1140,0.2642296850681305,0.039774056524038315,1.122278094291687,3.1902963831439286e-06,6.380592766287857e-06,1.2761185532575714e-05,54.988651275634766
1160,0.20607617497444153,0.033300451934337616,0.863878607749939,3.0860794453115987e-06,6.172158890623197e-06,1.2344317781246395e-05,55.87692904472351
1180,0.24202267825603485,0.0396430678665638,1.0118980407714844,3.0226001433334606e-06,6.045200286666921e-06,1.2090400573333843e-05,56.73422837257385
1200,0.21829074621200562,0.045619361102581024,0.8633569478988647,3.0000512617632703e-06,6.0001025235265406e-06,1.2000205047053081e-05,57.593907833099365
