replicate,method,arm,nll,ppl,sample_variation,position_variation,temporal_variation,usage_entropy,router_logit_variance,program_usage,program_coactivation,tokens_per_second,shuffle_permutations
0,copy_random,dynamic,2.891981929540634,18.02900643600386,0.0488203736022114,0.3079187832772732,0.1646765501548846,0.9912571658690772,0.0956141461307803,"[0.3102688491344452, 0.209286168217659, 0.2358229011297226, 0.2446221262216568]","[[0.3102688491344452, 0.0, 0.0, 0.0], [0.0, 0.209286168217659, 0.0, 0.0], [0.0, 0.0, 0.2358229011297226, 0.0], [0.0, 0.0, 0.0, 0.2446221560239792]]",28253.888415804508,
0,copy_random,static,2.9132464031378427,18.41648897262291,0.0,0.0,0.1818181872367859,0.7755491137504578,0.0966811391214529,"[0.583333432674408, 0.0833333358168602, 0.0833333358168602, 0.25]","[[0.583333432674408, 0.0, 0.0, 0.0], [0.0, 0.0833333358168602, 0.0, 0.0], [0.0, 0.0, 0.0833333358168602, 0.0], [0.0, 0.0, 0.0, 0.25]]",35234.481697916744,
0,copy_random,shuffled,2.915310151047177,18.45453520865405,0.0500733716051197,0.3079187832772732,0.1646765501548846,0.9912571658690772,0.0962428704111112,"[0.3102688491344452, 0.209286168217659, 0.2358229011297226, 0.2446221262216568]","[[0.3102688491344452, 0.0, 0.0, 0.0], [0.0, 0.209286168217659, 0.0, 0.0], [0.0, 0.0, 0.2358229011297226, 0.0], [0.0, 0.0, 0.0, 0.2446221560239792]]",27899.685464078342,3.0
0,copy_geometry,dynamic,2.890221506357193,17.99729567546806,0.0340440534831335,0.3038707077503204,0.118898334292074,0.9959278951088588,0.4528702224294345,"[0.238345667719841, 0.2222900390625, 0.2514309585094452, 0.287933349609375]","[[0.2383456826210022, 0.0, 0.0, 0.0], [0.0, 0.2222900390625, 0.0, 0.0], [0.0, 0.0, 0.2514309585094452, 0.0], [0.0, 0.0, 0.0, 0.2879333794116974]]",30096.61763736091,
0,copy_geometry,static,2.9205048978328705,18.550651279291102,0.0,0.0,0.1363636404275894,0.5,0.453822919478019,"[0.5, 0.0, 0.0, 0.5]","[[0.5, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.5]]",42017.3757338482,
0,copy_geometry,shuffled,2.9204762644237943,18.5501201185089,0.0343120921040988,0.3038707077503204,0.118898334292074,0.9959278951088588,0.4525790073805385,"[0.238345667719841, 0.2222900390625, 0.2514309585094452, 0.287933349609375]","[[0.2383456826210022, 0.0, 0.0, 0.0], [0.0, 0.2222900390625, 0.0, 0.0], [0.0, 0.0, 0.2514309585094452, 0.0], [0.0, 0.0, 0.0, 0.2879333794116974]]",29784.0119272883,3.0
1,copy_random,dynamic,2.8914839029312134,18.02002974655796,0.0466541107743978,0.3015809518595536,0.1684755266954501,0.9950574512283008,0.0907233888283371,"[0.2380812019109726, 0.2202283889055252, 0.2912699282169342, 0.250420480966568]","[[0.2380812168121338, 0.0, 0.0, 0.0], [0.0, 0.2202284187078476, 0.0, 0.0], [0.0, 0.0, 0.2912699580192566, 0.0], [0.0, 0.0, 0.0, 0.250420480966568]]",29023.053994591945,
1,copy_random,static,2.917594571908315,18.49674132377758,0.0,0.0,0.2272727340459823,0.8129072785377502,0.0917826006188988,"[0.0833333358168602, 0.0833333358168602, 0.5, 0.3333333432674408]","[[0.0833333358168602, 0.0, 0.0, 0.0], [0.0, 0.0833333358168602, 0.0, 0.0], [0.0, 0.0, 0.5, 0.0], [0.0, 0.0, 0.0, 0.3333333432674408]]",40578.70952771074,
1,copy_random,shuffled,2.913345608446333,18.418316076720465,0.0460237363715552,0.3015809518595536,0.1684755266954501,0.9950574512283008,0.0915496995051701,"[0.2380812019109726, 0.2202283889055252, 0.2912699282169342, 0.250420480966568]","[[0.2380812168121338, 0.0, 0.0, 0.0], [0.0, 0.2202284187078476, 0.0, 0.0], [0.0, 0.0, 0.2912699580192566, 0.0], [0.0, 0.0, 0.0, 0.250420480966568]]",31214.2433519368,3.0
1,copy_geometry,dynamic,2.8892591694990792,17.97998454539842,0.0361076235615958,0.3067619477709134,0.0978523017838597,0.9952794487277666,0.467630968739589,"[0.2347310334444046, 0.2241584062576294, 0.2473958283662796, 0.2937147319316864]","[[0.2347310334444046, 0.0, 0.0, 0.0], [0.0, 0.2241584062576294, 0.0, 0.0], [0.0, 0.0, 0.2473958283662796, 0.0], [0.0, 0.0, 0.0, 0.2937147617340088]]",27290.911532476253,
1,copy_geometry,static,2.9178490936756134,18.501449746241157,0.0,0.0,0.1818181872367859,0.9591479301452636,0.4753210271398226,"[0.3333333432674408, 0.3333333432674408, 0.1666666716337204, 0.1666666716337204]","[[0.3333333432674408, 0.0, 0.0, 0.0], [0.0, 0.3333333432674408, 0.0, 0.0], [0.0, 0.0, 0.1666666716337204, 0.0], [0.0, 0.0, 0.0, 0.1666666716337204]]",39066.24216422751,
1,copy_geometry,shuffled,2.9181527396043143,18.507068489142696,0.035299633965931,0.3067619477709134,0.0978523017838597,0.9952794487277666,0.4698723757432566,"[0.2347310334444046, 0.2241584062576294, 0.2473958283662796, 0.2937147319316864]","[[0.2347310334444046, 0.0, 0.0, 0.0], [0.0, 0.2241584062576294, 0.0, 0.0], [0.0, 0.0, 0.2473958283662796, 0.0], [0.0, 0.0, 0.0, 0.2937147617340088]]",30343.714243323106,3.0
2,copy_random,dynamic,2.889391303062439,17.98236046179125,0.0440518809482455,0.312050590912501,0.1596661197642485,0.988623005648454,0.0953845198576649,"[0.1805250495672226, 0.2685547173023224, 0.2871060073375702, 0.2638143002986908]","[[0.1805250495672226, 0.0, 0.0, 0.0], [0.0, 0.2685547173023224, 0.0, 0.0], [0.0, 0.0, 0.2871060073375702, 0.0], [0.0, 0.0, 0.0, 0.2638143002986908]]",31054.3744051663,
2,copy_random,static,2.911933938662211,18.39233383992466,0.0,0.0,0.3636363744735718,0.7772926092147827,0.0963141890242695,"[0.0, 0.25, 0.4166666567325592, 0.3333333432674408]","[[0.0, 0.0, 0.0, 0.0], [0.0, 0.25, 0.0, 0.0], [0.0, 0.0, 0.416666716337204, 0.0], [0.0, 0.0, 0.0, 0.3333333432674408]]",44067.61943814922,
2,copy_random,shuffled,2.912397543589274,18.40086259334633,0.0437044013395077,0.312050590912501,0.1596661197642485,0.988623005648454,0.0957287749689486,"[0.1805250495672226, 0.2685547173023224, 0.2871060073375702, 0.2638143002986908]","[[0.1805250495672226, 0.0, 0.0, 0.0], [0.0, 0.2685547173023224, 0.0, 0.0], [0.0, 0.0, 0.2871060073375702, 0.0], [0.0, 0.0, 0.0, 0.2638143002986908]]",31640.272376579727,3.0
2,copy_geometry,dynamic,2.8886443376541138,17.968933276012226,0.0311027412923673,0.3172213323414325,0.1072683626164992,0.9964856132864952,0.4627412594854831,"[0.2331780195236206, 0.2855258285999298, 0.2272881418466568, 0.2540079653263092]","[[0.2331780344247818, 0.0, 0.0, 0.0], [0.0, 0.2855258882045746, 0.0, 0.0], [0.0, 0.0, 0.2272881418466568, 0.0], [0.0, 0.0, 0.0, 0.2540079951286316]]",30310.906875136225,
2,copy_geometry,static,2.918852756420771,18.520028283816306,0.0,0.0,0.1363636404275894,0.7295739650726318,0.4681143636504809,"[0.3333333432674408, 0.5, 0.0, 0.1666666716337204]","[[0.3333333432674408, 0.0, 0.0, 0.0], [0.0, 0.5, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.1666666716337204]]",40163.718928169386,
2,copy_geometry,shuffled,2.918894002834956,18.520792184327576,0.0303296285370985,0.3172213323414325,0.1072683626164992,0.9964856132864952,0.4641261891358428,"[0.2331780195236206, 0.2855258285999298, 0.2272881418466568, 0.2540079653263092]","[[0.2331780344247818, 0.0, 0.0, 0.0], [0.0, 0.2855258882045746, 0.0, 0.0], [0.0, 0.0, 0.2272881418466568, 0.0], [0.0, 0.0, 0.0, 0.2540079951286316]]",31205.45871048561,3.0
