replicate,policy,skill,base_skill_nll,donor_skill_nll,recipient_skill_nll,skill_improvement,transplant_recovery,base_language_nll,donor_language_nll,recipient_language_nll,donor_language_ratio,recipient_language_ratio,selected_cells,selected_cell_count,donor_alive_cells,recipient_alive_cells,donor_skill_recruitment,donor_language_recruitment,recipient_skill_recruitment,recipient_language_recruitment,donor_skill_shadow_pressure,donor_language_shadow_pressure,recipient_skill_shadow_pressure,recipient_language_shadow_pressure
0,N,REVERSE_INC,9.978390966142928,6.936309814453125,6.936309814453125,3.0420811516898016,1.0,4.638154059648514,5.436072111129761,5.436072111129761,1.1720335377436155,1.1720335377436155,[7],1,8,8,0.9116893038153648,0.8844223618507385,0.9116893038153648,0.8844223618507385,,,,
0,P,REVERSE_INC,9.978390966142928,8.21025630405971,8.21025630405971,1.7681346620832166,1.0,4.638154059648514,4.819564521312714,4.819564521312714,1.039112642514929,1.039112642514929,[7],1,8,8,0.1802636459469795,0.083044059574604,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,0.0038352373521775,0.0038151998160174
1,N,REVERSE_INC,9.902867998395648,6.80155440739223,6.80155440739223,3.101313591003418,1.0,4.582965970039368,5.473649621009827,5.473649621009827,1.1943465556570143,1.1943465556570143,[7],1,8,8,0.918322280049324,0.9183227382600307,0.918322280049324,0.9183227382600307,,,,
1,P,REVERSE_INC,9.902867998395648,8.529450961521693,8.529450961521693,1.3734170368739544,1.0,4.582965970039368,4.950571626424789,4.950571626424789,1.080211299579487,1.080211299579487,[7],1,8,8,0.1067249411717057,0.1716131092980504,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,0.0041958652436733,0.0042311266588512
2,N,REVERSE_INC,9.968307086399625,7.021109104156494,7.021109104156494,2.9471979822431287,1.0,4.652176767587662,5.673046916723251,5.673046916723251,1.219439243205058,1.219439243205058,[7],1,8,8,0.9183314442634584,0.9183316119015216,0.9183314442634584,0.9183316119015216,,,,
2,P,REVERSE_INC,9.968307086399625,8.674147401537214,8.674147401537214,1.294159684862409,1.0,4.652176767587662,5.324948251247406,5.324948251247406,1.1446143423326116,1.1446143423326116,[7],1,8,8,0.1412573270499706,0.2441373523324728,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,0.0038276075501926,0.003852396417642
