replicate,policy,parameters,phase1_alive_cells,phase1_edges,phase1_nll,phase1_ppl,phase1_wall_seconds,base_language_nll,base_memory_drift,base_skill_nll,donor_alive_cells,donor_language_nll,donor_language_ratio,donor_language_recruitment,donor_language_shadow_pressure,donor_skill_nll,donor_skill_recruitment,donor_skill_shadow_pressure,elapsed_seconds,feedback_sensor_max_delta,force_off_skill_nll,force_on_language_delta_nll,force_on_language_nll,newborn_cells,newborn_count,recipient_alive_cells,recipient_language_nll,recipient_language_ratio,recipient_language_recruitment,recipient_language_shadow_pressure,recipient_skill_nll,recipient_skill_recruitment,recipient_skill_shadow_pressure,recruitment_causal_fraction,recruitment_gap,recruitment_selectivity,selected_cell_count,selected_cells,skill,skill_improvement,tissue_causal_fraction,transplant_recovery
0,N,395712,7,14,4.638154059648514,103.35338719887304,43.59924497000003,4.638154059648514,0.0,9.978390966142927,8,5.436072111129761,1.1720335377436157,0.8844223618507385,,6.936309814453125,0.9116893038153648,,16.099059992000036,,9.978476796831403,0.0715135931968689,5.50758570432663,[7],1,8,5.436072111129761,1.1720335377436157,0.8844223618507385,,6.936309814453125,0.9116893038153648,,1.0000282144637822,0.027266941964626312,1.0308302267567813,1,[7],REVERSE_INC,3.0420811516898016,1.0,1.0
0,P,395712,7,14,4.638154059648514,103.35338719887304,43.59924497000003,4.638154059648514,0.0,9.978390966142927,8,4.819564521312714,1.039112642514929,0.08304405957460403,0.0038151998160174116,8.21025630405971,0.18026364594697952,0.0038352373521775007,19.508273357000007,0.0,9.978476796831403,2.230732351541519,7.050296872854233,[7],1,8,4.819564521312714,1.039112642514929,0.08304405957460403,0.0038151998160174116,8.21025630405971,0.18026364594697952,0.0038352373521775007,1.0000485430721524,0.09721958637237549,2.1706988660042157,1,[7],REVERSE_INC,1.7681346620832166,1.0,1.0
1,N,395712,7,14,4.582965970039368,97.80404831904815,42.645120419999955,4.582965970039368,0.0,9.902867998395648,8,5.473649621009827,1.1943465556570143,0.9183227382600307,,6.80155440739223,0.918322280049324,,15.952595882999958,,9.90294987814767,-0.017603546380996704,5.45604607462883,[7],1,8,5.473649621009827,1.1943465556570143,0.9183227382600307,,6.80155440739223,0.918322280049324,,1.0000264016358293,-4.5821070671081543e-07,0.9999995010352161,1,[7],REVERSE_INC,3.101313591003418,1.0,1.0
1,P,395712,7,14,4.582965970039368,97.80404831904815,42.645120419999955,4.582965970039368,0.0,9.902867998395648,8,4.950571626424789,1.080211299579487,0.1716131092980504,0.004231126658851281,8.529450961521693,0.10672494117170572,0.004195865243673325,18.946237209999993,0.0,9.90294987814767,2.3424566984176636,7.293028324842453,[7],1,8,4.950571626424789,1.080211299579487,0.1716131092980504,0.004231126658851281,8.529450961521693,0.10672494117170572,0.004195865243673325,1.0000596175450165,-0.06488816812634468,0.621892707429188,1,[7],REVERSE_INC,1.3734170368739544,1.0,1.0
2,N,395712,7,14,4.652176767587662,104.81289074217213,39.82290470200007,4.652176767587662,0.0,9.968307086399623,8,5.673046916723251,1.219439243205058,0.9183316119015217,,7.021109104156494,0.9183314442634583,,15.077535062000038,,9.968165397644043,0.01857072114944458,5.691617637872696,[7],1,8,5.673046916723251,1.219439243205058,0.9183316119015217,,7.021109104156494,0.9183314442634583,,0.9999519242492586,-1.6763806343078613e-07,0.9999998174536723,1,[7],REVERSE_INC,2.9471979822431287,1.0,1.0
2,P,395712,7,14,4.652176767587662,104.81289074217213,39.82290470200007,4.652176767587662,0.0,9.968307086399623,8,5.324948251247406,1.1446143423326116,0.2441373523324728,0.0038523964176420122,8.674147401537214,0.14125732704997063,0.0038276075501926243,18.084005616000013,0.0,9.968165397644043,1.706558734178543,7.031506985425949,[7],1,8,5.324948251247406,1.1446143423326116,0.2441373523324728,0.0038523964176420122,8.674147401537214,0.14125732704997063,0.0038276075501926243,0.9998905167907507,-0.10288002528250217,0.5785977676107612,1,[7],REVERSE_INC,1.294159684862409,1.0,1.0
