consumed_tokens,minicells_ppl,transformer_ppl,ppl_ratio
10000000,9.886910831867894,9.885882202983815,1.0001040502873653
25000000,7.799878276147191,7.799100212304284,1.0000997632831643
50000000,6.483799467351741,6.506131416630142,0.9965675533049765
75000000,5.647407328705407,5.634520680911992,1.0022870885605357
100000000,5.3532357975464855,5.328995153085013,1.00454882088745
