model,parameters,nll_100m,learning_slope_alpha,elapsed_seconds,tokens_per_second,peak_vram_bytes,ppl_10m,ppl_25m,ppl_50m,ppl_75m,ppl_100m
minicells-30m-v0,29602800,1.6777012000481288,0.13771977867525095,7933.248874662,12605.176212155648,1124464128,9.886910831867894,7.799878276147191,6.483799467351741,5.647407328705407,5.3532357975464855
transformer-30m,29458432,1.673162693778674,0.13855367097607824,3522.1270439,28391.93440599788,674000896,9.885882202983815,7.799100212304284,6.506131416630142,5.634520680911992,5.328995153085013
