model,step,consumed_tokens,train_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
minicells-v2-fixed,250,250000,5.183289527893066,,0.0002954100398908995,1.247545599937439,8.886675562000846,28132.00484880897,35.546702248003385,12.0,1.0,5.069241752227147,159.05367951034944,49152,1170816,157502464
minicells-v2-fixed,500,500000,4.299493312835693,,0.00026837107640945905,1.6695125102996826,17.087013427002148,29261.98906181366,34.174026854004296,12.0,1.0,4.416762938102086,82.82773243487433,49152,1170816,157502464
minicells-v2-fixed,1000,1000000,3.973703384399414,,0.00016238690182084986,1.9347304105758667,32.09554967500026,31156.96755861814,32.09554967500026,12.0,1.0,4.020360812544823,55.72120711071805,49152,1170816,157502464
minicells-v2-fixed,2000,2000000,4.1333465576171875,,0.0,1.8227882385253906,60.92042859700018,32829.709935732186,30.46021429850009,12.0,1.0,3.8598769853512445,47.45951279444928,49152,1170816,157502464
