model,mode,threshold,last_token_ppl,avg_total_steps,iteration_fraction,ppl_ratio_to_fixed
minicells-v2-fixed,fixed,,100.03561122041847,12.0,1.0,1.0
minicells-v2-fixed,adaptive,0.0075,100.03561122041847,12.0,1.0,1.0
minicells-v2-fixed,adaptive,0.01,99.66054368742138,11.875,0.9895833333333334,0.996250659855812
minicells-v2-fixed,adaptive,0.0125,101.18553648439568,10.854166666666666,0.9045138888888888,1.0114951590733368
minicells-v2-fixed,adaptive,0.015,116.50646883641193,8.791666666666666,0.7326388888888888,1.1646499423060608
minicells-v2-fixed,adaptive,0.02,217.19874746097705,5.229166666666667,0.4357638888888889,2.171214278707222
minicells-v2-stable,fixed,,94.2904212377824,12.0,1.0,1.0
minicells-v2-stable,adaptive,0.0075,95.41279340156282,8.25,0.6875,1.011903352949819
minicells-v2-stable,adaptive,0.01,96.26935074183008,7.041666666666667,0.5868055555555556,1.0209875985075645
minicells-v2-stable,adaptive,0.0125,98.84957016564984,6.333333333333333,0.5277777777777778,1.0483521959921054
minicells-v2-stable,adaptive,0.015,98.93842823431312,5.875,0.4895833333333333,1.049294583007635
minicells-v2-stable,adaptive,0.02,105.1253832662914,4.875,0.40625,1.114910527350231
minicells-2d-k4-fixed,fixed,,90.86774209813322,12.0,1.0,1.0
minicells-2d-k4-fixed,adaptive,0.0075,90.86774209813322,12.0,1.0,1.0
minicells-2d-k4-fixed,adaptive,0.01,89.35924114867444,11.666666666666666,0.9722222222222222,0.9833989387803908
minicells-2d-k4-fixed,adaptive,0.0125,95.7736036981633,9.166666666666666,0.7638888888888888,1.05398903380621
minicells-2d-k4-fixed,adaptive,0.015,155.3972474589675,5.6875,0.4739583333333333,1.710147560298629
minicells-2d-k4-fixed,adaptive,0.02,873.7251608468226,3.1875,0.265625,9.61535018558332
minicells-2d-k4-stable,fixed,,85.28028385948967,12.0,1.0,1.0
minicells-2d-k4-stable,adaptive,0.0075,87.55205396010477,6.416666666666667,0.5347222222222222,1.0266388665445596
minicells-2d-k4-stable,adaptive,0.01,89.16366652071716,5.708333333333333,0.4756944444444444,1.0455366995216135
minicells-2d-k4-stable,adaptive,0.0125,95.39016772984976,4.666666666666667,0.3888888888888889,1.1185489003181257
minicells-2d-k4-stable,adaptive,0.015,101.80606980805248,3.8333333333333335,0.3194444444444445,1.1937820232375302
minicells-2d-k4-stable,adaptive,0.02,124.20758238429644,3.208333333333333,0.2673611111111111,1.456463050579716
