model,step,consumed_tokens,train_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
transformer-s,250,250000,5.056407451629639,,0.0002954100398908995,1.0391457080841064,4.959890556000346,50404.33799442541,19.839562224001384,,,4.9447963039080305,140.44224040210938,49152,1183936,87670784
transformer-s,500,500000,4.29447078704834,,0.00026837107640945905,1.1966472864151,9.165782417000742,54550.716703965976,18.331564834001483,,,4.39079291621844,80.70438543321593,49152,1183936,87670784
transformer-s,1000,1000000,3.9610023498535156,,0.00016238690182084986,1.4998935461044312,17.59780361599985,56825.2733023344,17.59780361599985,,,4.03847195704778,56.73957602141388,49152,1183936,87670784
transformer-s,2000,2000000,4.118597984313965,,0.0,1.6560975313186646,33.5760199250019,59566.32157317517,16.78800996250095,,,3.8604270766178765,47.48562703990679,49152,1183936,87670784
