model,display_name,parameters,stable_training,final_ppl_2m,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,projected_t4_hours_per_billion_tokens,peak_vram_bytes,peak_vram_gib,avg_recurrent_iterations,best_adaptive_steps,best_adaptive_iteration_saving,training_cost_ratio_to_transformer,ppl_ratio_to_transformer
transformer-s,Transformer-S (LLM baseline),1183936,False,47.48562703990679,33.5760199250019,59566.32157317517,16.78800996250095,4.663336100694708,87670784,0.0816497802734375,,,,1.0,1.0
minicells-v2-fixed,MiniCells 1D fixed,1170816,False,47.45951279444928,60.92042859700018,32829.709935732186,30.46021429850009,8.461170638472247,157502464,0.14668560028076172,12.0,11.875,0.01041666666666663,1.8144029200922847,0.9994500600058296
minicells-v2-stable,MiniCells 1D stabilizing,1170816,True,46.10098306938179,51.28105367099863,39000.75869796481,25.640526835499315,7.122368565416477,158716928,0.14781665802001953,8.952,,,1.5273118667889796,0.970840777371196
minicells-2d-k4-fixed,MiniCells 2D fixed,1173632,False,47.61286213888017,81.0159381190033,24686.500538477074,40.50796905950165,11.252213627639346,486587904,0.4531702995300293,12.0,11.666666666666666,0.02777777777777779,2.412910711274505,1.0026794444320268
minicells-2d-k4-stable,MiniCells 2D stabilizing,1173632,True,46.47428115086365,63.72304866599916,31385.817877027348,31.86152433299958,8.850423425833217,492533248,0.458707332611084,8.952,,,1.8978738042309984,0.9787020630854637
