input_family,one_cell_normalized_specificity,three_cell_normalized_specificity,delta_normalized_specificity,one_cell_example_top1,three_cell_example_top1,delta_example_top1,one_cell_skill_improvement,three_cell_skill_improvement,one_cell_joint_pass,three_cell_joint_pass
REVERSE_INC,0.22485130706165232,0.22344866459839016,-0.0014026424632621604,0.22786458333333334,0.08072916666666667,-0.14713541666666669,0.8344641413007459,0.8335164388020827,0,0
MOD_ADD,0.21617950030290198,0.2224746190318899,0.006295118728987914,0.09375,0.20703125,0.11328125,0.8403040340968543,0.8407455171857562,0,0
PARITY,-12.423036477322043,0.17497890045246675,12.59801537777451,0.6575520833333334,0.9921875,0.33463541666666663,3.804858343941824,5.5551572754269545,0,0
LOOKUP,0.14677211677827723,0.08261027409628162,-0.06416184268199561,0.17708333333333334,0.028645833333333332,-0.1484375,2.367874894823347,2.368547666640508,0,0
DELAY_COPY,0.21198457654982952,0.21890982693509922,0.006925250385269699,0.09375,0.22786458333333334,0.13411458333333334,0.7798730078197668,0.7818049022129611,0,0
LOCAL_RULE,0.22252353641034553,0.23478370215467517,0.012260165744329643,0.3111979166666667,0.3294270833333333,0.01822916666666663,0.8830662000746955,0.8836834998357862,0,0
